state_long,utility,building_id,latitude,longitude,year,run_type,savings_year1_pvonly_anloss,annual_energy_pvonly_anloss,year_1_bill_pvonly_anloss,savings_year1_withbattery_anloss,annual_energy_withbattery_anloss,year_1_bill_withbattery_anloss,savings_year1_pvonly_3dshade,annual_energy_pvonly_3dshade,year_1_bill_pvonly_3dshade,savings_year1_withbattery_3dshade,annual_energy_withbattery_3dshade,year_1_bill_withbattery_3dshade
arizona,aps,112157,35.14,-111.67,2018,tmy,871.1418873155018,10661.061598165294,759.7227975143699,1097.7651501136709,10441.082275138482,533.0995347162008,873.7168470634723,10658.506898274953,757.1478377663962,1059.933066255479,10435.232000790244,570.9316185743938
arizona,aps,112157,35.14,-111.67,2018,amy,878.9990713051129,10650.104536170453,751.8656135247589,1157.4860973303335,10424.14885464404,473.3785874995402,880.7304704768738,10648.904729942415,750.1342144,1211.970818991365,10415.226519859014,418.8938658385092
arizona,aps,112157,35.14,-111.67,2019,tmy,868.7151689,10661.061598165294,717.6678129818332,1108.957429939828,10439.730036104309,477.4255519173606,870.7537354574732,10658.506898274953,715.6292463997108,1125.3787508185142,10431.010523899047,461.0042310386747
arizona,aps,112157,35.14,-111.67,2019,amy,878.5145472705839,10719.254722873073,707.8684345865983,1153.1018314073222,10491.345892658444,433.2811504498661,881.3167575741124,10717.35566061659,705.0662243,1185.7136698333625,10481.408334301635,400.66931202382585
arizona,aps,112157,35.14,-111.67,2020,tmy,848.2421197052778,10661.061598165294,868.6931721438065,1038.8509497554644,10441.217710200664,678.0843420936196,850.6726796436011,10658.506898274953,866.2626122054803,1041.6402642956637,10432.526748871649,675.2950275534165
arizona,aps,112157,35.14,-111.67,2020,amy,905.8186887315038,11125.508316655689,811.1166031175766,1196.172250296036,10893.453973373653,520.7630415530512,909.1564621483826,11121.899018270953,807.7788297007003,1208.9837044929275,10884.579492181614,507.95158735615905
arizona,aps,112157,35.14,-111.67,2021,tmy,854.0837440799132,10661.061598165294,789.5128069474363,1077.7036513003682,10439.882702451889,565.8928997269787,856.6113454045969,10658.506898274953,786.9852056227487,1139.3810458408852,10431.163394393876,504.21550518646166
arizona,aps,112157,35.14,-111.67,2021,amy,883.5173745101156,10742.528350121114,760.0791765172312,1128.8359529907957,10519.779001225597,514.7605980365528,886.6072291300061,10741.579942424125,756.9893219,1188.0563491206067,10513.027338185348,455.5402019067406
arizona,aps,112157,35.14,-111.67,2022,tmy,856.3338255881193,10661.061598165294,790.4139332223563,1081.2374590012441,10438.301289242174,565.5102998,859.1382363263688,10658.506898274953,787.6095224841076,1109.7809700741814,10431.266526059597,536.9667887362979
arizona,aps,112157,35.14,-111.67,2022,amy,877.6793471643628,10700.79259534596,769.0684116461144,1181.3449438577195,10481.689419369617,465.40281495275826,880.4592220779668,10698.840499947202,766.2885367325091,1239.107489940064,10469.972830907645,407.64026887041507
arizona,aps,112157,35.14,-111.67,2023,tmy,865.8847006,10661.061598165294,758.2434290073318,1074.7352679340588,10441.207607300441,549.3928616449101,868.1368959957647,10658.506898274953,755.9912335831984,1076.9296920588342,10433.991107426158,547.1984375201321
arizona,aps,112157,35.14,-111.67,2023,amy,886.3927238277089,10899.815068224143,737.7354057512534,1190.0877232377586,10673.596814852683,434.04040634120736,889.0473618726448,10895.528972262284,735.0807677063174,1186.298695,10661.22875225932,437.82943456328576
