Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,11325095.902333762,220260.33102648953,180000.0,7497767.675616469,47931.92220102081,3358746.8228322463
 01/01  02:00:00,11651954.448218158,232258.8123254897,180000.0,7906201.753695254,37294.79738239103,3275809.934157486
 01/01  03:00:00,11964037.525624972,248022.82802040846,180000.0,8442816.434897464,31976.23497307613,3040832.877076488
 01/01  04:00:00,12348163.97902435,261082.1329799242,180000.0,8887361.460936215,31976.23497307613,2967354.9994776
 01/01  05:00:00,13152334.208792582,280787.46158207767,180000.0,9558140.330386192,31976.23497307613,3081041.0311936983
 01/01  06:00:00,14921509.304140173,279350.56560365064,180000.0,9509227.699727442,64860.517186767,4871670.552615166
 01/01  07:00:00,15261495.964939147,259362.8167065186,180000.0,8828835.107512403,228957.6256692875,5748826.930854985
 01/01  08:00:00,14859140.33515136,230518.46120938254,180000.0,7846959.364102178,289926.5118248485,6296665.756224597
 01/01  09:00:00,11599840.937440243,144392.14972803797,180000.0,4915178.27017819,262036.48943453867,6083607.028714721
 01/01  10:00:00,10653754.114846742,128323.39160703523,180000.0,4368190.010124844,221822.96877874315,5743006.956979359
 01/01  11:00:00,5464315.27224903,4230.078200459739,180000.0,143993.89780687552,215985.52223193413,4910354.441086592
 01/01  12:00:00,4692182.786732017,0.0,135000.0,0.0,208202.26016952205,4342331.890478516
 01/01  13:00:00,4635839.967462379,0.0,0.0,0.0,202364.81362271303,4428156.244972482
 01/01  14:00:00,4646664.393996387,1413.2919939593708,10130.487644785644,0.0,200418.99810711003,4429825.949788948
 01/01  15:00:00,3812988.6507462077,0.0,0.0,0.0,118694.7464517836,3689418.237832839
 01/01  16:00:00,4096122.1882995665,0.0,0.0,0.0,156638.1490060423,3934165.1304263403
 01/01  17:00:00,4966515.685280302,0.0,0.0,0.0,291872.32734045153,4666221.752233476
 01/01  18:00:00,6224035.13226803,0.0,0.0,0.0,468292.93408845767,5739342.2291724235
 01/01  19:00:00,7129901.670010442,20318.1161486243,0.0,691638.452455858,545801.2521266444,5850424.971404983
 01/01  20:00:00,8536959.9510528,52083.77888799508,0.0,1772956.900366232,519208.4400800699,6163900.075354593
 01/01  21:00:00,11802275.167000381,137892.40946404837,135000.0,4693923.983379798,375704.5458043478,6419419.169442713
 01/01  22:00:00,9645350.325716896,125428.59512553447,180000.0,4269649.744679249,144638.95332649042,4879092.579997767
 01/01  23:00:00,9663795.065717865,172896.97105373308,180000.0,5885496.106980663,80848.63467330507,3304218.2941006906
 01/01  24:00:00,10622938.450735664,210544.68739539856,180000.0,7167042.490443466,31976.23497307613,3005450.7663710103
 01/02  01:00:00,11041511.475868002,222976.93923112392,180000.0,7590242.326358607,31976.23497307613,2995926.824647658
 01/02  02:00:00,11470491.493071258,235491.14973495598,180000.0,8016232.074781384,31976.23497307613,2986402.8829243057
 01/02  03:00:00,11991112.679922666,250620.65450112853,180000.0,8531247.698589973,31976.23497307613,2976878.9412009525
 01/02  04:00:00,12661567.382196933,270026.1711809007,180000.0,9191820.82590782,31976.23497307613,2967354.9994776
 01/02  05:00:00,13252413.188937154,287159.77570022334,180000.0,9775056.96985207,31976.23497307613,2957831.057754248
 01/02  06:00:00,13522585.892555593,290544.9922405972,180000.0,9890291.370132366,42905.23211904637,3102444.3290564343
 01/02  07:00:00,14027911.1528704,273474.6841492064,180000.0,9309209.867058389,196203.0644899702,4053510.0529768807
 01/02  08:00:00,13779130.39428984,253886.46101312846,180000.0,8642417.324034449,203662.02396644838,4484094.343485461
 01/02  09:00:00,13163546.716944003,169848.7612195839,135000.0,5781733.577175733,215985.52223193413,6846351.856931999
 01/02  10:00:00,21025081.756416906,221452.82528604227,0.0,7538360.754138436,221822.96877874315,13031034.420856921
 01/02  11:00:00,16161645.01427822,90575.68940037208,0.0,3083240.0596960587,123883.58782672496,12854194.344431894
 01/02  12:00:00,8602247.835649215,11468.239729220275,0.0,390384.3998474117,119991.95679551894,8073754.603193084
 01/02  13:00:00,6818178.896632815,31654.314690958206,227465.47639538976,0.0,202364.81362271303,6351375.38305657
 01/02  14:00:00,6565423.962989196,55004.64675153505,395299.0209256611,0.0,200418.99810711003,5909825.630743306
 01/02  15:00:00,6499014.306371335,54546.102800037566,390078.121944784,0.0,205607.83948205138,5843906.575682878
 01/02  16:00:00,6445130.715276595,28687.392210585287,204819.80725506583,0.0,231552.0463567582,5974752.560587002
 01/02  17:00:00,6690323.007443648,2516.6240566013203,17958.65044660809,0.0,356732.8445272185,6304693.282706846
 01/02  18:00:00,6074769.937714233,0.0,0.0,0.0,468292.9340884577,5590077.034618627
 01/02  19:00:00,6870422.689907641,8958.570786438182,0.0,304954.0611750018,442997.33238561865,6091793.84768625
 01/02  20:00:00,7354574.20095672,58448.55411180594,0.0,1989616.91224061,421593.3617139855,4856104.616526408
 01/02  21:00:00,10486742.705691613,126393.82544837121,0.0,4302506.649417214,490345.50993195846,5527161.661984595
 01/02  22:00:00,9454110.716138527,104317.64089005004,180000.0,3551022.70216746,371002.15830830723,5201227.762184854
 01/02  23:00:00,9729467.869174512,129391.33803001513,180000.0,4404543.420347158,325599.7962775703,4649598.255610296
 01/02  24:00:00,9663179.83221409,151733.73930957087,180000.0,5165089.512913224,139450.11195154904,3998982.196487031
 01/03  01:00:00,9863588.2756536,186658.45629413775,180000.0,6353943.68772806,35965.1567800623,3086631.824193805
 01/03  02:00:00,10214807.918411514,200940.15242147536,135000.0,6840099.497435121,31976.23497307613,2986402.8829243057
 01/03  03:00:00,9802719.851170473,193304.2948155409,0.0,6580171.229523365,31976.23497307613,2976878.9412009525
 01/03  04:00:00,9430899.097906603,182964.91595204474,0.0,6228213.796846345,31976.23497307613,2967354.9994776
 01/03  05:00:00,9609344.808786958,188329.27299633008,0.0,6410819.092405768,31976.23497307613,2957831.057754248
 01/03  06:00:00,9618157.708011873,188694.6241675095,0.0,6423255.822109891,31976.23497307613,2957831.057754248
 01/03  07:00:00,10866578.25468915,177926.5578914364,0.0,6056705.663588941,130369.63954540169,4486062.90946742
 01/03  08:00:00,10692439.65516379,157747.82918985988,0.0,5369812.02691535,118046.14127991593,5031763.415988308
 01/03  09:00:00,10126418.34412811,108003.49127874973,0.0,3676490.8233346227,192960.03863063184,6134336.9914993495
 01/03  10:00:00,11574465.360999767,104819.56343173543,0.0,3568108.3870530394,221822.96877874315,7667303.654379489
 01/03  11:00:00,4531675.152515913,1050.0346085690833,0.0,35743.68343912564,215985.52223193413,4269144.579313116
 01/03  12:00:00,4176465.0867980006,0.0,0.0,0.0,164097.1084825205,4005719.342231501
 01/03  13:00:00,3886321.684262666,5068.665837510817,36971.09691650134,0.0,117397.53610804825,3721565.4765334222
 01/03  14:00:00,4180780.345140709,40546.02802233444,296880.5595294233,0.0,116100.32576431293,3722377.7653630534
 01/03  15:00:00,4628205.976083273,52154.9432096421,382361.5071644497,0.0,162151.2929669175,4026662.566280679
 01/03  16:00:00,4031984.9536275547,17888.953248633065,129807.69426502775,0.0,131666.849889137,3747302.547357573
 01/03  17:00:00,4277801.9651411595,2573.160314376112,18548.111781236035,0.0,194095.09768140028,4054163.9896577736
 01/03  18:00:00,4253793.963451127,0.0,0.0,0.0,206256.44465391908,4031137.5497900588
 01/03  19:00:00,6408510.089850767,0.0,0.0,0.0,442997.33238561865,5943793.879590815
 01/03  20:00:00,7044847.121902982,7372.578711476449,0.0,250966.1276328431,421593.3617139855,6336104.297480767
 01/03  21:00:00,10641076.605372041,93058.92862085176,0.0,3167770.7179011274,375542.39451138093,6964369.505429206
 01/03  22:00:00,9111802.522301963,64139.95389549398,180000.0,2183354.900049294,314573.50835581997,6323193.707413498
 01/03  23:00:00,9539992.868354302,104358.58395912754,180000.0,3552416.423944047,203175.57008754762,5459707.231454106
 01/03  24:00:00,9563216.909057315,153618.3664771978,180000.0,5229243.128737595,75238.19993664973,3897192.94235316
 01/04  01:00:00,9964707.901411964,181437.00580020138,180000.0,6176202.999920958,47931.92220102081,3358746.8228322463
 01/04  02:00:00,10426888.770170653,197297.37249349023,180000.0,6716097.515479748,37294.79738239103,3275809.934157486
 01/04  03:00:00,10771950.115262931,208527.10286682492,180000.0,7098362.9420624,31976.23497307613,3232694.684703094
 01/04  04:00:00,11242063.130052274,229515.76150089133,180000.0,7812826.983443171,31976.23497307613,2967354.9994776
 01/04  05:00:00,12152666.988466268,248464.04165720067,180000.0,8457835.559442336,33143.724282437935,3212834.5124267577
 01/04  06:00:00,12821151.992188916,262572.02764722146,180000.0,8938078.192471458,53834.22926501661,3370267.5737980716
 01/04  07:00:00,14354889.833225729,247648.8618610814,180000.0,8430086.446850548,163448.50331065286,5318192.537007495
 01/04  08:00:00,13603769.059321228,256116.561617791,180000.0,8718331.021925882,75011.18812649604,4359240.045860707
 01/04  09:00:00,11574480.664147357,238079.6826426674,180000.0,8104346.980775847,31976.23497307613,3005450.7663710103
 01/04  10:00:00,13745532.84339076,261915.44064072843,180000.0,8915727.654766507,79227.12174363589,4296251.838883127
 01/04  11:00:00,10204698.025251137,137696.12341779258,180000.0,4687242.311896182,123883.58782672496,5066124.669187266
 01/04  12:00:00,6865282.257468193,83746.99099973874,135000.0,2850787.8796044695,119991.95679551894,3669106.7939844853
 01/04  13:00:00,5563213.097491482,26465.76462659519,0.0,900907.3654025088,202364.81362271303,4428156.244972482
 01/04  14:00:00,4340113.185834643,14176.729601363228,0.0,482582.6986443282,116100.32576431293,3722377.7653630534
 01/04  15:00:00,4699036.024630707,8989.490152809327,0.0,306006.5712872299,183879.56622448444,4195284.7305045985
 01/04  16:00:00,5580694.935401485,42367.36177014762,0.0,1442205.3853317709,156638.1490060423,3934165.1304263403
 01/04  17:00:00,7201719.895614596,63789.19833619231,0.0,2171415.011998102,291872.32734045153,4666221.752233476
 01/04  18:00:00,8613912.375273172,72463.11536298777,0.0,2466679.322195951,468292.93408845767,5590077.034618627
 01/04  19:00:00,10653944.655485388,64163.085133002205,180000.0,2184142.298506737,648605.17186767,7555315.222103646
 01/04  20:00:00,10716531.885044206,103509.78420021337,180000.0,3523522.871638015,519208.4400800698,6361480.032762
 01/04  21:00:00,12994701.286584433,199513.26473912262,180000.0,6791527.553991555,452077.804791766,5331247.604152514
 01/04  22:00:00,10144402.729871579,165421.67637881922,180000.0,5631033.478517001,173274.87166444806,3948132.2507234565
 01/04  23:00:00,10469625.384203847,204999.79554612862,180000.0,6978291.703234101,31976.23497307613,3034022.591541068
 01/04  24:00:00,11225940.760922827,227753.42106898013,180000.0,7752836.066957047,31976.23497307613,3005450.7663710103
 01/05  01:00:00,11382238.606099509,232700.753452827,180000.0,7921245.642368412,31976.23497307613,2995926.824647658
 01/05  02:00:00,11616652.010524957,239662.34008690147,180000.0,8158221.4018831365,31976.23497307613,2986402.8829243057
 01/05  03:00:00,12096034.942245502,253614.97017494886,180000.0,8633175.645238988,31976.23497307613,2976878.9412009525
 01/05  04:00:00,12876825.897666104,276169.30927688867,180000.0,9400936.203281002,31976.23497307613,2967354.9994776
 01/05  05:00:00,13450947.683499154,292825.63665003655,180000.0,9967925.603464257,31976.23497307613,2957831.057754248
 01/05  06:00:00,13912498.004316308,306111.39887209004,180000.0,10420179.343709745,31976.23497307613,2957831.057754248
 01/05  07:00:00,14355369.721195873,304078.36125951045,180000.0,10350973.764911816,97290.7757801505,3407513.3350484436
 01/05  08:00:00,13955536.052780082,296428.70097994345,180000.0,10090575.64734662,75011.18812649604,3298450.2745366697
 01/05  09:00:00,11949522.252567777,248782.77731180855,180000.0,8468685.474527126,31976.23497307613,3005450.7663710103
 01/05  10:00:00,12932414.139938261,270297.83927336946,180000.0,9201068.538524594,31976.23497307613,3236660.7398104607
 01/05  11:00:00,9032179.484555505,104402.50749951063,180000.0,3553911.6023983243,123883.58782672496,5060230.453907775
 01/05  12:00:00,8119184.018682847,34950.069385825154,180000.0,1189717.1827553348,164097.1084825205,6543771.021975186
 01/05  13:00:00,7318260.541449561,0.0,180000.0,0.0,202364.81362271303,6930576.818959665
 01/05  14:00:00,6160120.295312,0.0,45000.0,0.0,200418.99810711003,5909825.630743306
 01/05  15:00:00,6054390.081626514,0.0,0.0,0.0,205607.83948205138,5843906.575682878
 01/05  16:00:00,8017730.023353425,0.0,0.0,0.0,231552.0463567582,7780859.068129484
 01/05  17:00:00,7224583.592026037,12569.12499661068,0.0,427859.06418635475,291872.32734045153,6483861.469796246
 01/05  18:00:00,8207675.467871374,45714.08344651575,90000.0,1556129.4019144038,555854.6322905931,5943577.381212713
 01/05  19:00:00,8829704.25124817,80030.83987215837,180000.0,2724288.306702588,494399.29225613154,5329266.93454296
