Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,951.9633043585567,2193.896668511933,3145.85997287049,11325095.902333762,220260.33102648953,180000.0,7497767.675616469,47931.92220102081,3358746.8228322463
 01/01  02:00:00,925.9705228326148,2310.6834905613177,3236.654013393933,11651954.448218158,232258.8123254897,180000.0,7906201.753695254,37294.79738239103,3275809.934157486
 01/01  03:00:00,859.2217396408613,2464.122017477186,3323.343757118048,11964037.525624972,248022.82802040846,180000.0,8442816.434897464,31976.23497307613,3040832.877076488
 01/01  04:00:00,838.8112180856147,2591.2343316433717,3430.0455497289868,12348163.97902435,261082.1329799242,180000.0,8887361.460936215,31976.23497307613,2967354.9994776
 01/01  05:00:00,870.3906713400863,2783.035497768964,3653.4261691090505,13152334.208792582,280787.46158207767,180000.0,9558140.330386192,31976.23497307613,3081041.0311936983
 01/01  06:00:00,1375.8141774469675,2769.0495181475253,4144.863695594493,14921509.304140173,279350.56560365064,180000.0,9509227.699727442,64860.517186767,4871670.552615166
 01/01  07:00:00,1664.8050113111735,2574.499423394145,4239.304434705318,15261495.964939147,259362.8167065186,180000.0,8828835.107512403,228957.6256692875,5748826.930854985
 01/01  08:00:00,1833.7951416221663,2293.7438403643223,4127.538981986489,14859140.33515136,230518.46120938254,180000.0,7846959.364102178,289926.5118248485,6296665.756224597
 01/01  09:00:00,1766.741810426115,1455.43622775173,3222.178038177845,11599840.937440243,144392.14972803797,180000.0,4915178.27017819,262036.48943453867,6083607.028714721
 01/01  10:00:00,1660.3446425319069,1299.0315004810773,2959.376143012984,10653754.114846742,128323.39160703523,180000.0,4368190.010124844,221822.96877874315,5743006.956979359
 01/01  11:00:00,1426.6920267338041,91.17332666870425,1517.8653534025084,5464315.27224903,4230.078200459739,180000.0,143993.89780687552,215985.52223193413,4910354.441086592
 01/01  12:00:00,1265.8841074255604,37.5,1303.3841074255604,4692182.786732017,0.0,135000.0,0.0,208202.26016952205,4342331.890478516
 01/01  13:00:00,1287.7333242951051,0.0,1287.7333242951051,4635839.967462379,0.0,0.0,0.0,202364.81362271303,4428156.244972482
 01/01  14:00:00,1287.5335039882339,3.2066054552069483,1290.7401094434408,4646664.393996387,1413.2919939593708,10130.487644785644,0.0,200418.99810711003,4429825.949788948
 01/01  15:00:00,1059.163514096169,0.0,1059.163514096169,3812988.6507462077,0.0,0.0,0.0,118694.7464517836,3689418.237832839
 01/01  16:00:00,1137.811718972102,0.0,1137.811718972102,4096122.1882995665,0.0,0.0,0.0,156638.1490060423,3934165.1304263403
 01/01  17:00:00,1379.5876903556393,0.0,1379.5876903556393,4966515.685280302,0.0,0.0,0.0,291872.32734045153,4666221.752233476
 01/01  18:00:00,1728.8986478522306,0.0,1728.8986478522306,6224035.13226803,0.0,0.0,0.0,468292.93408845767,5739342.2291724235
 01/01  19:00:00,1782.762528168322,197.7657135012451,1980.528241669567,7129901.670010442,20318.1161486243,0.0,691638.452455858,545801.2521266444,5850424.971404983
 01/01  20:00:00,1864.422019944048,506.9557442372852,2371.377764181333,8536959.9510528,52083.77888799508,0.0,1772956.900366232,519208.4400800699,6163900.075354593
 01/01  21:00:00,1898.7385483768153,1379.6712202344015,3278.409768611217,11802275.167000381,137892.40946404837,135000.0,4693923.983379798,375704.5458043478,6419419.169442713
 01/01  22:00:00,1408.4088849755867,1270.8550943902176,2679.2639793658045,9645350.325716896,125428.59512553447,180000.0,4269649.744679249,144638.95332649042,4879092.579997767
 01/01  23:00:00,951.5005521342973,1732.8869661206654,2684.3875182549627,9663795.065717865,172896.97105373308,180000.0,5885496.106980663,80848.63467330507,3304218.2941006906
 01/01  24:00:00,851.4864646935554,2099.3297716219067,2950.816236315462,10622938.450735664,210544.68739539856,180000.0,7167042.490443466,31976.23497307613,3005450.7663710103
 01/02  01:00:00,846.7478361884085,2220.3386848860364,3067.086521074445,11041511.475868002,222976.93923112392,180000.0,7590242.326358607,31976.23497307613,2995926.824647658
 01/02  02:00:00,844.1022968208107,2342.1453401434283,3186.247636964239,11470491.493071258,235491.14973495598,180000.0,8016232.074781384,31976.23497307613,2986402.8829243057
 01/02  03:00:00,841.4567574532126,2489.40787585864,3330.8646333118527,11991112.679922666,250620.65450112853,180000.0,8531247.698589973,31976.23497307613,2976878.9412009525
 01/02  04:00:00,838.8112180856147,2678.290832524645,3517.1020506102595,12661567.382196933,270026.1711809007,180000.0,9191820.82590782,31976.23497307613,2967354.9994776
 01/02  05:00:00,836.1656787180168,2845.0602070978593,3681.2258858158757,13252413.188937154,287159.77570022334,180000.0,9775056.96985207,31976.23497307613,2957831.057754248
 01/02  06:00:00,878.2637583840639,2878.0101006591567,3756.2738590432205,13522585.892555593,290544.9922405972,180000.0,9890291.370132366,42905.23211904637,3102444.3290564343
 01/02  07:00:00,1184.7851671285564,2711.8568197798877,3896.6419869084443,14027911.1528704,273474.6841492064,180000.0,9309209.867058389,196203.0644899702,4053510.0529768807
