Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,370.8430929037984,70.12165536816289,440.9647482719613,1587473.0937790605,72437.9593253864,180000.0,0.0,147020.6307031405,1083329.909329749
 01/01  02:00:00,369.0884404988006,86.89596306214865,455.98440356094926,1641543.8528194174,132825.46702373517,180000.0,0.0,147020.6307031405,1077013.160671757
 01/01  03:00:00,367.3337880938028,99.6552621397133,466.9890502335161,1681160.580840658,178758.94370296787,180000.0,0.0,147020.6307031405,1070696.4120137647
 01/01  04:00:00,371.89161495806604,108.08753008675788,479.9791450448239,1727924.922161366,209115.10831232838,180000.0,0.0,147020.6307031405,1087104.5887251126
 01/01  05:00:00,395.38687963011256,114.73576416322686,510.1226437933394,1836441.5176560218,233048.75098761672,180000.0,0.0,147020.6307031405,1171687.54154448
 01/01  06:00:00,433.88485438337574,119.35093697746906,553.2357913608448,1991648.8488990413,249663.3731188886,180000.0,0.0,147020.6307031405,1330762.0191298593
 01/01  07:00:00,505.5671244593396,329.38371394154046,834.95083840088,3005823.0182431685,1005781.3701895457,180000.0,0.0,147020.6307031405,1593369.6955085807
 01/01  08:00:00,622.0689027680821,283.0325785266068,905.1014812946889,3258365.33266088,838917.2826957846,180000.0,0.0,147020.6307031405,2015051.8494726801
 01/01  09:00:00,875.690572595571,241.07556791596278,1116.7661405115339,4020358.1058415216,687872.044497466,180000.0,0.0,147020.6307031405,2930365.612904265
 01/01  10:00:00,1528.4949564605638,190.36091610700976,1718.855872567574,6187881.141243265,505299.2979852353,180000.0,0.0,1128054.635984462,4310806.149800047
 01/01  11:00:00,1644.5037948965105,180.915245022149,1825.4190399186596,6571508.543707174,471294.88207973656,180000.0,0.0,1416418.2714083046,4453728.845061367
 01/01  12:00:00,2394.0830908984053,120.30333188723966,2514.386422785645,9051791.122028325,433091.9947940628,0.0,0.0,1359642.0115839213,7224920.834860953
 01/01  13:00:00,3406.985675989686,128.09351307383662,3535.079189063523,12726285.08062868,461136.64706581185,0.0,0.0,1320795.0969672378,10917044.311964123
 01/01  14:00:00,1486.0340447753235,100.43308097158122,1586.4671257469045,5711281.652688856,361559.0914976924,0.0,0.0,1308842.2001621043,4015847.0884501766
 01/01  15:00:00,1302.532676160694,92.77800825158,1395.3106844122742,5023118.463884187,334000.82970568805,0.0,0.0,1344700.8905775044,3319383.471022112
 01/01  16:00:00,1283.3503249851356,129.88982293323127,1413.2401479183668,5087664.53250612,332603.3625596325,135000.0,0.0,1535947.2394596385,3056804.905855341
 01/01  17:00:00,1278.3782403311313,144.57422372670777,1422.952464057839,5122628.870608222,340467.20541614806,180000.0,0.0,1963263.3002431565,2595659.0759490263
 01/01  18:00:00,990.91156930713,166.48072600532302,1157.392295312453,4166612.263124831,419330.61361916293,180000.0,0.0,1362630.2357852047,2120448.587773311
 01/01  19:00:00,971.3350823929909,157.67928502221852,1129.0143674152096,4064451.722694753,387645.4260799866,180000.0,0.0,1568817.7056737551,1816476.7403623497
 01/01  20:00:00,909.4452706709353,155.7492877409511,1065.1945584118864,3834700.4102827907,380697.435867424,180000.0,0.0,1479170.9796352547,1646908.1113594386
 01/01  21:00:00,1028.7604551867262,169.90258520022607,1198.6630403869524,4315186.945393029,431649.30672081385,180000.0,0.0,1704781.9068321474,1791662.2950511237
 01/01  22:00:00,1026.4157474244946,50.0,1076.4157474244946,3875096.6907281806,0.0,180000.0,0.0,1685358.4495238054,1770784.275678671
 01/01  23:00:00,660.1467990882123,50.0,710.1467990882123,2556528.4767175643,0.0,180000.0,0.0,815785.2069503528,1353649.8329782682
 01/01  24:00:00,515.8664832254233,51.72242621434684,567.5889094397701,2043320.0739831724,6200.7343716486175,180000.0,0.0,442257.18178993475,1271489.7785061668
 01/02  01:00:00,446.29283135238325,64.46564866669408,510.7584800190773,1838730.5280686785,52076.33520009872,180000.0,0.0,256987.28131036749,1244982.3171374276
 01/02  02:00:00,369.0884404988006,78.33146891273798,447.4199094115386,1610711.6738815391,101993.28808585674,180000.0,0.0,147020.6307031405,1077013.160671757
 01/02  03:00:00,367.3337880938028,90.55862127602637,457.8924093698292,1648412.673731385,146011.03659369497,180000.0,0.0,147020.6307031405,1070696.4120137647
 01/02  04:00:00,371.89161495806604,101.36769781747752,473.25931277554355,1703733.525991957,184923.71214291904,180000.0,0.0,147020.6307031405,1087104.5887251126
 01/02  05:00:00,395.38687963011256,109.32969706318104,504.71657669329363,1816979.676095857,213586.90942745178,180000.0,0.0,147020.6307031405,1171687.54154448
 01/02  06:00:00,433.88485438337574,116.33718547002775,550.2220398534035,1980799.3434722526,238813.86769209988,180000.0,0.0,147020.6307031405,1330762.0191298593
 01/02  07:00:00,550.5008286737684,325.7555701114146,876.2563987851829,3154523.035626659,992720.0524010926,180000.0,0.0,260423.73914184337,1641727.9222418214
 01/02  08:00:00,878.3783589240148,271.48027243426486,1149.8586313582796,4139491.0728898062,797328.9807633534,180000.0,0.0,738091.3777169858,2346695.1446201913
 01/02  09:00:00,1384.0837247850177,232.2087645408042,1616.292489325822,5818652.961572958,655951.5523468952,180000.0,0.0,1416418.2714083046,3491183.320081109
 01/02  10:00:00,1622.7348208909818,210.2757996937452,1833.0106205847271,6598838.234105017,576992.8788974828,180000.0,0.0,1455265.186024988,4322859.111709026
 01/02  11:00:00,1517.6219696101164,197.56322938028035,1715.1851989903967,6174666.716365429,531227.6257690091,180000.0,0.0,1098172.3939716285,4315200.151467024
 01/02  12:00:00,1345.5486095848455,191.70638846364585,1537.2549980484914,5534117.992974568,510142.9984691251,180000.0,0.0,753032.4987234025,4056806.2149926545
 01/02  13:00:00,1339.7688222734278,186.00652293118696,1525.7753452046147,5492791.242736613,489623.4825522731,180000.0,0.0,735103.1535157023,4060755.582037129
 01/02  14:00:00,1348.1466375780612,168.45652449334756,1516.6031620714089,5459771.383457072,426443.4881760512,180000.0,0.0,1163913.3263998623,3664381.296302275
