Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,1850651.3598124303,335616.2253587564,180000.0,0.0,147020.6307031405,1083329.909329749
 01/01  02:00:00,1974990.576008271,466272.1902125887,180000.0,0.0,147020.6307031405,1077013.160671757
 01/01  03:00:00,2031853.519784038,529451.8826463477,180000.0,0.0,147020.6307031405,1070696.4120137647
 01/01  04:00:00,2091475.8697074694,572666.0558584314,180000.0,0.0,147020.6307031405,1087104.5887251126
 01/01  05:00:00,2215478.890273419,612086.1236050143,180000.0,0.0,147020.6307031405,1171687.54154448
 01/01  06:00:00,2385982.5214045825,643997.04562443,180000.0,0.0,147020.6307031405,1330762.0191298593
 01/01  07:00:00,3500727.091019742,1500685.4429661194,180000.0,0.0,147020.6307031405,1593369.6955085807
 01/01  08:00:00,3659643.4984468375,1240195.4484817418,180000.0,0.0,147020.6307031405,2015051.8494726801
 01/01  09:00:00,4275146.302279903,942660.2409358472,180000.0,0.0,147020.6307031405,2930365.612904265
 01/01  10:00:00,6231498.610446967,548916.7671889366,180000.0,0.0,1128054.635984462,4310806.149800047
 01/01  11:00:00,6479050.063801041,378836.4021736032,180000.0,0.0,1416418.2714083046,4453728.845061367
 01/01  12:00:00,9121394.53552962,322695.408295359,180000.0,0.0,1359642.0115839213,7224920.834860953
 01/01  13:00:00,12855169.498370439,410021.06480757147,180000.0,0.0,1320795.0969672378,10917044.311964123
 01/01  14:00:00,5814056.222519899,284333.6613287352,180000.0,0.0,1308842.2001621043,4015847.0884501766
 01/01  15:00:00,5168592.33395397,299474.6997754709,180000.0,0.0,1344700.8905775044,3319383.471022112
 01/01  16:00:00,5168024.383605834,367963.2136593462,180000.0,0.0,1535947.2394596385,3056804.905855341
 01/01  17:00:00,5216918.027108585,434756.3619165118,180000.0,0.0,1963263.3002431565,2595659.0759490263
 01/01  18:00:00,4330197.3716367055,582915.7221310377,180000.0,0.0,1362630.2357852047,2120448.587773311
 01/01  19:00:00,4246521.373817401,569715.0772026335,180000.0,0.0,1568817.7056737551,1816476.7403623497
 01/01  20:00:00,4043702.5929473653,589699.6185319981,180000.0,0.0,1479170.9796352547,1646908.1113594386
 01/01  21:00:00,4562475.052275124,678937.4136029088,180000.0,0.0,1704781.9068321474,1791662.2950511237
 01/01  22:00:00,3914901.6580699496,39804.967341768985,180000.0,0.0,1685358.4495238054,1770784.275678671
 01/01  23:00:00,2667842.3182476065,111313.84153004255,180000.0,0.0,815785.2069503528,1353649.8329782682
 01/01  24:00:00,2238143.1359837307,201023.79637220677,180000.0,0.0,442257.18178993475,1271489.7785061668
 01/02  01:00:00,2056906.9876652686,270252.79479668883,180000.0,0.0,256987.28131036749,1244982.3171374276
 01/02  02:00:00,1836631.5863337144,327913.20053803246,180000.0,0.0,147020.6307031405,1077013.160671757
 01/02  03:00:00,1864542.9104934484,362141.27335575834,180000.0,0.0,147020.6307031405,1070696.4120137647
 01/02  04:00:00,1903070.7296139668,384260.9157649288,180000.0,0.0,147020.6307031405,1087104.5887251126
 01/02  05:00:00,1992120.5055569508,388727.7388885456,180000.0,0.0,147020.6307031405,1171687.54154448
 01/02  06:00:00,2124637.4815039,382652.0057237472,180000.0,0.0,147020.6307031405,1330762.0191298593
 01/02  07:00:00,3302681.675387871,1140878.6921623047,180000.0,0.0,260423.73914184337,1641727.9222418214
 01/02  08:00:00,4217653.794479117,875491.7023526633,180000.0,0.0,738091.3777169858,2346695.1446201913
 01/02  09:00:00,5834790.900354032,672089.4911279688,180000.0,0.0,1416418.2714083046,3491183.320081109
 01/02  10:00:00,6606587.668670882,584742.3134633462,180000.0,0.0,1455265.186024988,4322859.111709026
 01/02  11:00:00,6183949.03646941,540509.9458729916,180000.0,0.0,1098172.3939716285,4315200.151467024
 01/02  12:00:00,5522955.53568179,498980.5411763459,180000.0,0.0,753032.4987234025,4056806.2149926545
 01/02  13:00:00,5326643.860205341,323476.10002100084,180000.0,0.0,735103.1535157023,4060755.582037129
 01/02  14:00:00,5167333.728316295,134005.83303527412,180000.0,0.0,1163913.3263998623,3664381.296302275
 01/02  15:00:00,4223040.619453168,0.0,180000.0,0.0,747056.0503208358,3270951.296553448
 01/02  16:00:00,4451472.385179219,29547.45785939768,180000.0,0.0,1189313.2321107707,3025302.670577541
 01/02  17:00:00,4930136.62327607,135757.58999141876,180000.0,0.0,1963263.3002431565,2607876.444041604
 01/02  18:00:00,5686312.081382813,297295.5797050022,180000.0,0.0,2581825.7099088086,2542987.9658218487
 01/02  19:00:00,6412264.607772873,313628.2850011741,180000.0,0.0,1923669.3295761521,3883455.142616884
 01/02  20:00:00,3866395.2052580114,412392.23084264435,180000.0,0.0,1479170.9796352547,1646908.1113594386
 01/02  21:00:00,4105288.767154509,569620.1472772576,180000.0,0.0,1445553.4573708174,1703021.7257174908
 01/02  22:00:00,4862028.871116099,8333.138196669974,180000.0,0.0,1685358.4495238054,2749383.3178699194
 01/02  23:00:00,2668305.9794275085,111777.50270994418,180000.0,0.0,815785.2069503528,1353649.8329782682
 01/02  24:00:00,1818252.4816784754,258212.81367217202,180000.0,0.0,147020.6307031405,1089646.6579877406
 01/03  01:00:00,1867403.313786548,352368.17933287396,180000.0,0.0,147020.6307031405,1083329.909329749
 01/03  02:00:00,1931971.4897359894,423253.1039403071,180000.0,0.0,147020.6307031405,1077013.160671757
 01/03  03:00:00,1973565.9369324509,471164.29979476053,180000.0,0.0,147020.6307031405,1070696.4120137647
 01/03  04:00:00,2022778.7644771105,503968.95062807266,180000.0,0.0,147020.6307031405,1087104.5887251126
 01/03  05:00:00,2130561.72828817,527168.9616197648,180000.0,0.0,147020.6307031405,1171687.54154448
 01/03  06:00:00,2286042.060997946,544056.5852177937,180000.0,0.0,147020.6307031405,1330762.0191298593
 01/03  07:00:00,3354301.750849301,1354260.1027956787,180000.0,0.0,147020.6307031405,1593369.6955085807
 01/03  08:00:00,3554720.0764352856,1135272.02647019,180000.0,0.0,147020.6307031405,2015051.8494726801
 01/03  09:00:00,4785860.739008691,936017.1684277045,180000.0,0.0,463473.5736190465,3131270.179225291
 01/03  10:00:00,6836654.732967968,814809.3777604332,180000.0,0.0,1455265.186024988,4322859.111709026
 01/03  11:00:00,7361935.381297113,739897.2485094467,180000.0,0.0,1098172.3939716285,5293799.193658272
 01/03  12:00:00,5517857.76061576,718369.5111355855,180000.0,0.0,601529.531718337,3983822.4369724514
 01/03  13:00:00,6589802.549201002,633880.0979235962,180000.0,0.0,1320795.0969672378,4427818.329678659
 01/03  14:00:00,5820790.17862387,618583.2585701232,180000.0,0.0,1308842.2001621043,3688331.447312759
 01/03  15:00:00,5482663.678087131,613546.0439086325,180000.0,0.0,1344700.8905775044,3319383.471022112
 01/03  16:00:00,5402922.566646918,602861.3967004297,180000.0,0.0,1535947.2394596385,3056804.905855341
 01/03  17:00:00,5379930.376519736,597768.7113276619,180000.0,0.0,1963263.3002431565,2595659.0759490263
 01/03  18:00:00,6047542.41765968,658525.9159818706,180000.0,0.0,2581825.7099088086,2542987.9658218487
 01/03  19:00:00,6129663.672894066,590661.0092108333,180000.0,0.0,2988224.201283343,2259266.6118212277
 01/03  20:00:00,5779560.44059882,529255.0411282622,180000.0,0.0,2814907.197608909,2107474.3184409756
 01/03  21:00:00,5237467.5184791675,658191.8422170262,180000.0,0.0,2223238.8057548073,1968943.4337183898
 01/03  22:00:00,3928602.028255903,53505.33752772301,180000.0,0.0,1685358.4495238054,1770784.275678671
 01/03  23:00:00,3596253.0787479887,125249.67122681088,180000.0,0.0,1485147.4280378215,1598762.5426944124
 01/03  24:00:00,2032938.501484275,234358.99767536146,180000.0,0.0,294638.90624653763,1180568.2182469538
 01/04  01:00:00,1826856.379316138,311821.2448624639,180000.0,0.0,147020.6307031405,1083329.909329749
 01/04  02:00:00,1873376.794879721,364658.4090840387,180000.0,0.0,147020.6307031405,1077013.160671757
 01/04  03:00:00,1903932.0628912663,401530.4257535762,180000.0,0.0,147020.6307031405,1070696.4120137647
 01/04  04:00:00,1947784.2016288277,428974.3877797901,180000.0,0.0,147020.6307031405,1087104.5887251126
 01/04  05:00:00,2054383.4810896965,450990.71442129125,180000.0,0.0,147020.6307031405,1171687.54154448
 01/04  06:00:00,2487714.876897427,464062.8731434609,180000.0,0.0,297627.130447821,1461822.047358992
 01/04  07:00:00,3903150.294217728,1256063.3054763307,180000.0,0.0,600633.064457952,1786802.602441544
 01/04  08:00:00,4333052.195043102,1051976.943379537,180000.0,0.0,738091.3777169858,2285608.3041573027
 01/04  09:00:00,5117979.669888776,872952.2709966331,180000.0,0.0,779926.5165349526,3210001.0646205405
 01/04  10:00:00,5853321.354022678,648486.890043521,180000.0,0.0,800844.085943936,4160269.3205617
 01/04  11:00:00,6611004.967956553,498573.93823653774,180000.0,0.0,1416418.2714083046,4465946.213153945
 01/04  12:00:00,6414054.180152527,493141.14514963963,180000.0,0.0,1359642.0115839213,4347134.742629579
 01/04  13:00:00,6383752.894088229,488917.2832737114,180000.0,0.0,1320795.0969672378,4366731.489215771
 01/04  14:00:00,5251756.0173081765,493231.7281625302,180000.0,0.0,1018984.45263762,3534506.563929143
 01/04  15:00:00,5278981.425723339,409863.7915448406,180000.0,0.0,1344700.8905775044,3319383.471022112
 01/04  16:00:00,5200200.476808037,400139.3068615488,180000.0,0.0,1535947.2394596385,3056804.905855341
 01/04  17:00:00,4014860.6663271505,498296.62269029696,180000.0,0.0,1054843.14305302,2238481.611583945
 01/04  18:00:00,4389848.5708648795,642566.9213592113,180000.0,0.0,1362630.2357852047,2120448.587773311
 01/04  19:00:00,4288868.472619323,612062.1760045559,180000.0,0.0,1568817.7056737551,1816476.7403623497
 01/04  20:00:00,4087271.968994165,633268.9945787978,180000.0,0.0,1479170.9796352547,1646908.1113594386
 01/04  21:00:00,3935740.8546642363,747941.2535819479,180000.0,0.0,1186325.0079094875,1614381.1563838576
 01/04  22:00:00,2908247.9295469397,125931.68609886002,180000.0,0.0,917384.8297939863,1445977.4481283892
 01/04  23:00:00,3459560.054878787,217175.38005851305,180000.0,0.0,1317806.8727659544,1537484.3652653762
 01/04  24:00:00,2333759.4790259115,296130.3730900761,180000.0,0.0,443153.6490503198,1271103.0775700933
 01/05  01:00:00,1892204.2748031102,377169.14034943597,180000.0,0.0,147020.6307031405,1083329.909329749
 01/05  02:00:00,1946228.7790959834,437510.3933003012,180000.0,0.0,147020.6307031405,1077013.160671757
 01/05  03:00:00,1988160.8685397198,485759.23140202975,180000.0,0.0,147020.6307031405,1070696.4120137647
 01/05  04:00:00,2198898.156980221,529315.8477880436,180000.0,0.0,147020.6307031405,1237877.0840682527
 01/05  05:00:00,2150877.8279763088,547485.0613079036,180000.0,0.0,147020.6307031405,1171687.54154448
 01/05  06:00:00,2307758.890983156,565773.4152030034,180000.0,0.0,147020.6307031405,1330762.0191298593
 01/05  07:00:00,3381457.4034166383,1381415.755363016,180000.0,0.0,147020.6307031405,1593369.6955085807
 01/05  08:00:00,3590491.586892772,1171043.5369276765,180000.0,0.0,147020.6307031405,2015051.8494726801
 01/05  09:00:00,5228119.3098429665,983091.9109508239,180000.0,0.0,779926.5165349526,3210001.0646205405
 01/05  10:00:00,5954268.386855632,863483.0540206891,180000.0,0.0,800844.085943936,4046220.189417487
 01/05  11:00:00,6849570.02342933,749356.3618018918,180000.0,0.0,1416418.2714083046,4453728.845061367
 01/05  12:00:00,9024931.102276463,698151.4400922891,180000.0,0.0,1359642.0115839213,6753001.369810866
 01/05  13:00:00,13220722.946355406,775574.5127925368,180000.0,0.0,1320795.0969672378,10917044.311964123
 01/05  14:00:00,8048479.250683356,663380.5824487208,180000.0,0.0,1308842.2001621043,5871223.195493647
 01/05  15:00:00,5465084.62984122,595966.9956627211,180000.0,0.0,1344700.8905775044,3319383.471022112
 01/05  16:00:00,5482654.934811186,568544.6337204844,180000.0,0.0,1535947.2394596385,3170854.0369995534
 01/05  17:00:00,5062605.9776044525,584626.3497086067,180000.0,0.0,1736158.2609456223,2518582.0779503337
 01/05  18:00:00,4477935.341637708,730653.6921320402,180000.0,0.0,1362630.2357852047,2120448.587773311
 01/05  19:00:00,6185475.426996008,646472.763312775,180000.0,0.0,2988224.201283343,2259266.6118212277
 01/05  20:00:00,5813924.939502802,624706.380495131,180000.0,0.0,2814907.197608909,2046387.477978087
 01/05  21:00:00,5302057.585011575,722781.9087494342,180000.0,0.0,2223238.8057548073,1968943.4337183898
 01/05  22:00:00,3971907.3852599068,96810.69453172632,180000.0,0.0,1685358.4495238054,1770784.275678671
 01/05  23:00:00,3660492.0927991266,189488.68527794903,180000.0,0.0,1485147.4280378215,1598762.5426944124
 01/05  24:00:00,2328482.6845257776,291363.34491425374,180000.0,0.0,442257.18178993475,1271489.7785061668
 01/06  01:00:00,2155883.6762791807,369229.483410601,180000.0,0.0,256987.28131036749,1244982.3171374276
 01/06  02:00:00,2108335.6152107124,431383.57861296466,180000.0,0.0,183775.7883789256,1208491.6537980374
 01/06  03:00:00,2096223.781535877,480685.2477633966,180000.0,0.0,147020.6307031405,1186109.0607011812
 01/06  04:00:00,2135817.661714538,518748.67612283514,180000.0,0.0,147020.6307031405,1187639.5125204036
 01/06  05:00:00,2151221.254965651,547828.4882972463,180000.0,0.0,147020.6307031405,1171687.54154448
 01/06  06:00:00,2327242.224741723,567050.7325405644,180000.0,0.0,147020.6307031405,1330762.0191298593
