Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,1587473.0937790605,72437.9593253864,180000.0,0.0,147020.6307031405,1083329.909329749
 01/01  02:00:00,1641543.8528194174,132825.46702373517,180000.0,0.0,147020.6307031405,1077013.160671757
 01/01  03:00:00,1681160.580840658,178758.94370296787,180000.0,0.0,147020.6307031405,1070696.4120137647
 01/01  04:00:00,1727924.922161366,209115.10831232838,180000.0,0.0,147020.6307031405,1087104.5887251126
 01/01  05:00:00,1836441.5176560218,233048.75098761672,180000.0,0.0,147020.6307031405,1171687.54154448
 01/01  06:00:00,1991648.8488990413,249663.3731188886,180000.0,0.0,147020.6307031405,1330762.0191298593
 01/01  07:00:00,3005823.0182431685,1005781.3701895457,180000.0,0.0,147020.6307031405,1593369.6955085807
 01/01  08:00:00,3258365.33266088,838917.2826957846,180000.0,0.0,147020.6307031405,2015051.8494726801
 01/01  09:00:00,4020358.1058415216,687872.044497466,180000.0,0.0,147020.6307031405,2930365.612904265
 01/01  10:00:00,6187881.141243265,505299.2979852353,180000.0,0.0,1128054.635984462,4310806.149800047
 01/01  11:00:00,6571508.543707174,471294.88207973656,180000.0,0.0,1416418.2714083046,4453728.845061367
 01/01  12:00:00,9051791.122028325,433091.9947940628,0.0,0.0,1359642.0115839213,7224920.834860953
 01/01  13:00:00,12726285.08062868,461136.64706581185,0.0,0.0,1320795.0969672378,10917044.311964123
 01/01  14:00:00,5711281.652688856,361559.0914976924,0.0,0.0,1308842.2001621043,4015847.0884501766
 01/01  15:00:00,5023118.463884187,334000.82970568805,0.0,0.0,1344700.8905775044,3319383.471022112
 01/01  16:00:00,5087664.53250612,332603.3625596325,135000.0,0.0,1535947.2394596385,3056804.905855341
 01/01  17:00:00,5122628.870608222,340467.20541614806,180000.0,0.0,1963263.3002431565,2595659.0759490263
 01/01  18:00:00,4166612.263124831,419330.61361916293,180000.0,0.0,1362630.2357852047,2120448.587773311
 01/01  19:00:00,4064451.722694753,387645.4260799866,180000.0,0.0,1568817.7056737551,1816476.7403623497
 01/01  20:00:00,3834700.4102827907,380697.435867424,180000.0,0.0,1479170.9796352547,1646908.1113594386
 01/01  21:00:00,4315186.945393029,431649.30672081385,180000.0,0.0,1704781.9068321474,1791662.2950511237
 01/01  22:00:00,3875096.6907281806,0.0,180000.0,0.0,1685358.4495238054,1770784.275678671
 01/01  23:00:00,2556528.4767175643,0.0,180000.0,0.0,815785.2069503528,1353649.8329782682
 01/01  24:00:00,2043320.0739831724,6200.7343716486175,180000.0,0.0,442257.18178993475,1271489.7785061668
 01/02  01:00:00,1838730.5280686785,52076.33520009872,180000.0,0.0,256987.28131036749,1244982.3171374276
 01/02  02:00:00,1610711.6738815391,101993.28808585674,180000.0,0.0,147020.6307031405,1077013.160671757
 01/02  03:00:00,1648412.673731385,146011.03659369497,180000.0,0.0,147020.6307031405,1070696.4120137647
 01/02  04:00:00,1703733.525991957,184923.71214291904,180000.0,0.0,147020.6307031405,1087104.5887251126
 01/02  05:00:00,1816979.676095857,213586.90942745178,180000.0,0.0,147020.6307031405,1171687.54154448
 01/02  06:00:00,1980799.3434722526,238813.86769209988,180000.0,0.0,147020.6307031405,1330762.0191298593
 01/02  07:00:00,3154523.035626659,992720.0524010926,180000.0,0.0,260423.73914184337,1641727.9222418214
 01/02  08:00:00,4139491.0728898062,797328.9807633534,180000.0,0.0,738091.3777169858,2346695.1446201913
 01/02  09:00:00,5818652.961572958,655951.5523468952,180000.0,0.0,1416418.2714083046,3491183.320081109
 01/02  10:00:00,6598838.234105017,576992.8788974828,180000.0,0.0,1455265.186024988,4322859.111709026
 01/02  11:00:00,6174666.716365429,531227.6257690091,180000.0,0.0,1098172.3939716285,4315200.151467024
 01/02  12:00:00,5534117.992974568,510142.9984691251,180000.0,0.0,753032.4987234025,4056806.2149926545
 01/02  13:00:00,5492791.242736613,489623.4825522731,180000.0,0.0,735103.1535157023,4060755.582037129
 01/02  14:00:00,5459771.383457072,426443.4881760512,180000.0,0.0,1163913.3263998623,3664381.296302275
 01/02  15:00:00,4525871.214733903,302830.5952807366,180000.0,0.0,747056.0503208358,3270951.296553448
 01/02  16:00:00,4753261.992228292,331337.0649084708,180000.0,0.0,1189313.2321107707,3025302.670577541
