Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,2616011.474129976,290735.2422077473,180000.0,0.0,45077.35345300373,2082751.4460657605
 01/01  02:00:00,2882304.731467474,376596.1269427884,180000.0,0.0,45077.35345300373,2263183.818668217
 01/01  03:00:00,2657171.4060443207,344776.0636831678,180000.0,0.0,45077.35345300373,2069870.5565046852
 01/01  04:00:00,2737436.0691041695,352608.35414056026,180000.0,0.0,45077.35345300373,2142302.9291071417
 01/01  05:00:00,3062829.7963936543,359786.49872067804,180000.0,0.0,45548.77995823932,2460047.085311272
 01/01  06:00:00,3343070.6963578346,368663.6421429444,180000.0,0.0,45077.35345300373,2735295.896437361
 01/01  07:00:00,3548328.6573232757,376329.9154769813,180000.0,0.0,140305.50751059424,2838418.014028716
 01/01  08:00:00,3483595.5144780227,409286.3542049697,180000.0,0.0,215284.77072425582,2666128.4612505846
 01/01  09:00:00,3587478.002318681,257744.083157054,180000.0,0.0,227631.65538518812,2909585.6274869973
 01/01  10:00:00,2954086.6864706296,291686.5814398565,180000.0,0.0,158040.1236599334,2313739.805125253
 01/01  11:00:00,2989880.10536048,250135.3466947335,180000.0,0.0,154448.30266766215,2396952.0318051237
 01/01  12:00:00,2917161.6392937377,205983.52017019334,180000.0,0.0,103264.85352779737,2422223.885464182
 01/01  13:00:00,3087417.4891650765,218959.22688455458,180000.0,0.0,169040.07544876396,2514866.6827265066
 01/01  14:00:00,3005046.7811472267,268519.72553320037,180000.0,0.0,178693.09436549284,2373661.749152053
 01/01  15:00:00,3163056.2025026404,286128.09526700753,180000.0,0.0,181386.96010969626,2511368.9350294564
 01/01  16:00:00,3768032.6144062746,302596.0203322836,180000.0,0.0,196652.1993268489,3084232.8906418914
 01/01  17:00:00,5311865.152929107,312821.3405262977,180000.0,0.0,237060.18548990006,4574777.078746261
 01/01  18:00:00,6417003.603084988,252074.2037914262,180000.0,0.0,414181.85817127425,5556713.736797761
 01/01  19:00:00,6504282.592178518,272054.0984607319,180000.0,0.0,658201.1968336997,5375441.988454308
 01/01  20:00:00,5211708.185695065,256445.76929801665,180000.0,0.0,735874.3257915648,4014734.110035371
 01/01  21:00:00,4598249.019518972,272862.175344959,180000.0,0.0,562119.9852904448,3548751.2860854105
 01/01  22:00:00,3878766.101515143,280244.8413894172,180000.0,0.0,315406.7808838159,3063288.8183209593
 01/01  23:00:00,2987168.1307099075,283555.3991008477,180000.0,0.0,153550.34741959436,2335546.8113913084
 01/01  24:00:00,2759625.0789478095,288755.8401657443,180000.0,0.0,73564.98369795478,2193408.85853154
 01/02  01:00:00,2675951.1061233697,287431.3937477667,180000.0,0.0,51407.93795188173,2139664.342020257
 01/02  02:00:00,2823911.1464101216,318202.541885437,180000.0,0.0,45077.35345300373,2263183.818668217
 01/02  03:00:00,2595737.949045105,283342.60668395215,180000.0,0.0,45077.35345300373,2069870.5565046852
 01/02  04:00:00,2669894.5877444036,285066.87278079434,180000.0,0.0,45077.35345300373,2142302.9291071417
 01/02  05:00:00,2952880.7768861917,290551.36412434024,180000.0,0.0,45077.35345300373,2419804.626905383
 01/02  06:00:00,3283004.8870327207,290691.8522825507,180000.0,0.0,47950.81024682069,2750328.4201788236
 01/02  07:00:00,3625740.407697467,258811.50688824774,180000.0,0.0,149060.57117925535,3024593.1093229805
 01/02  08:00:00,3548485.849928047,234805.29336342105,180000.0,0.0,192386.91189852683,2928397.7163678864
 01/02  09:00:00,3901251.9348295615,164665.91671515963,180000.0,0.0,141876.9291947129,3402192.452630247
 01/02  10:00:00,3745617.089729643,150614.18166456613,180000.0,0.0,145468.75018698414,3258913.9816325065
 01/02  11:00:00,4074927.954001555,182930.3592014597,180000.0,0.0,141876.9291947129,3561776.2414124217
 01/02  12:00:00,3505325.293488018,187026.20293791118,180000.0,0.0,138285.1082024417,2994324.602216101
 01/02  13:00:00,2740451.5348196146,192910.030459997,180000.0,0.0,134693.28721017047,2228296.713044196
 01/02  14:00:00,2803188.5483453893,174567.43917129622,180000.0,0.0,133795.33196210267,2310653.56511551
