Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,480514,-,-,-,39.81,-105.14,-7,1681,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,
2020,1,1,0,30,-2.2,1.49,0.01,0.62,0,0,0,0,7,-12.8,0,0,0,0,0.324,44.03,162.32,0.89,0.7000000000000001,813,0.9,270,6.300000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,1,30,-2,1.47,0.01,0.62,0,0,0,0,0,-12.100000000000001,0,0,0,0,0.324,46.08,155.22,0.89,0.7000000000000001,812,1,271,6.7,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,2,30,-1.7000000000000002,1.46,0.01,0.62,0,0,0,0,0,-11.3,0,0,0,0,0.323,48.06,144.92000000000002,0.89,0.7000000000000001,812,1,271,7.2,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,3,30,-1.4000000000000001,1.45,0.01,0.62,0,0,0,0,0,-11,0,0,0,0,0.322,48.15,133.64000000000001,0.88,0.7000000000000001,811,0.9,270,7.300000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,4,30,-1.2000000000000002,1.49,0.01,0.62,0,0,0,0,7,-10.5,0,0,0,0,0.322,49.120000000000005,122.13,0.89,0.7000000000000001,810,0.9,269,6.9,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,5,30,-0.8,1.45,0.01,0.62,0,0,0,0,4,-9.700000000000001,0,0,0,0,0.321,51.07,110.76,0.91,0.7000000000000001,810,0.9,268,6.4,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,6,30,-0.30000000000000004,1.37,0.013000000000000001,0.62,0,0,0,0,6,-8.700000000000001,0,0,0,0,0.321,52.92,99.79,0.92,0.7000000000000001,810,1,267,6,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,7,30,0.4,1.35,0.015,0.62,11,160,13,5,7,-8.1,5,0,71,5,0.32,52.85,89.14,0.92,0.7000000000000001,810,0.9,268,5.9,0.0000,0.0000,,,,,,,,,,,,,,,,
