Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1271895,-,-,-,44.45,-73.14,-5,111,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,
2020,1,1,0,30,-3,1.25,0.113,0.61,0,0,0,0,4,-3.8000000000000003,0,0,0,0,0.366,94.16,157.46,0.97,0.74,978,0.7000000000000001,221,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,1,30,-3.7,1.24,0.097,0.61,0,0,0,0,4,-4.5,0,0,0,0,0.366,93.85000000000001,151.19,0.97,0.74,978,0.7000000000000001,216,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,2,30,-4.4,1.19,0.08600000000000001,0.61,0,0,0,0,4,-5.300000000000001,0,0,0,0,0.367,93.17,141.98,0.96,0.74,978,0.7000000000000001,214,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,3,30,-5.1000000000000005,1.1400000000000001,0.085,0.61,0,0,0,0,4,-6.1000000000000005,0,0,0,0,0.37,92.65,131.64000000000001,0.96,0.74,978,0.7000000000000001,213,0.7000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,4,30,-5.4,1.1,0.094,0.61,0,0,0,0,4,-6.7,0,0,0,0,0.372,90.49,120.96000000000001,0.97,0.74,978,0.7000000000000001,215,0.7000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,5,30,-5.5,1.1,0.108,0.61,0,0,0,0,4,-6.9,0,0,0,0,0.371,89.72,110.37,0.97,0.74,978,0.7000000000000001,225,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,6,30,-5.4,1.11,0.122,0.61,0,0,0,0,4,-7,0,0,0,0,0.367,88.84,100.17,0.97,0.74,978,0.7000000000000001,239,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,7,30,-4.7,1.1400000000000001,0.133,0.61,5,21,5,3,4,-6.7,2,0,43,2,0.364,85.98,90.07000000000001,0.97,0.74,979,0.7000000000000001,248,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,8,30,-3.5,1.18,0.134,0.61,54,381,106,7,4,-5.6000000000000005,56,0,100,56,0.363,85.61,82.12,0.97,0.74,980,0.7000000000000001,252,0.7000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,9,30,-2.1,1.23,0.125,0.61,81,604,235,3,4,-4,110,1,43,110,0.364,86.99,75.2,0.97,0.74,980,0.7000000000000001,254,0.8,5.3697,4.1251,,,,,,,,,,,,,,,,
2020,1,1,10,30,-1,1.27,0.112,0.61,92,718,335,0,4,-2.8000000000000003,148,2,0,149,0.365,87.67,70.23,0.96,0.74,980,0.7000000000000001,257,0.9,7.6121,5.8931,,,,,,,,,,,,,,,,
2020,1,1,11,30,-0.2,1.31,0.099,0.61,94,774,388,0,4,-1.7000000000000002,137,0,0,137,0.363,89.52,67.69,0.96,0.74,980,0.7000000000000001,263,1,7.1548,5.5552,,,,,,,,,,,,,,,,
2020,1,1,12,30,0.2,1.32,0.08600000000000001,0.61,89,784,384,0,4,-1.2000000000000002,160,1,0,160,0.359,90.48,67.87,0.96,0.74,980,0.8,269,1.2000000000000002,8.3435,6.4770,,,,,,,,,,,,,,,,
2020,1,1,13,30,0.2,1.32,0.07200000000000001,0.61,79,756,328,1,4,-1,103,1,14,103,0.356,91.8,70.75,0.9500000000000001,0.74,981,0.8,273,1.2000000000000002,5.2373,4.0518,,,,,,,,,,,,,,,,
2020,1,1,14,30,-0.2,1.3,0.069,0.61,64,661,224,7,4,-1.1,74,0,100,74,0.361,93.7,76.01,0.9500000000000001,0.74,982,0.8,274,1.2000000000000002,3.5881,2.7524,,,,,,,,,,,,,,,,
2020,1,1,15,30,-0.7000000000000001,1.25,0.068,0.61,40,439,93,7,4,-1.6,37,0,100,37,0.373,93.71000000000001,83.13,0.9500000000000001,0.74,983,0.8,272,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,16,30,-1.1,1.2,0.069,0.61,0,0,0,2,4,-2.2,0,0,29,0,0.383,92.10000000000001,91.86,0.96,0.74,984,0.8,270,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,17,30,-1.2000000000000002,1.1500000000000001,0.07100000000000001,0.61,0,0,0,0,4,-2.4000000000000004,0,0,0,0,0.381,91.61,101.47,0.96,0.74,984,0.8,267,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,18,30,-1.5,1.11,0.068,0.61,0,0,0,0,4,-2.6,0,0,0,0,0.372,92.31,111.73,0.96,0.74,985,0.8,264,1.1,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,19,30,-2,1.09,0.065,0.61,0,0,0,0,4,-3,0,0,0,0,0.365,92.96000000000001,122.35000000000001,0.96,0.78,985,0.7000000000000001,262,0.9,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,20,30,-2.7,1.09,0.06,0.61,0,0,0,0,4,-3.6,0,0,0,0,0.361,93.57000000000001,133,0.9500000000000001,0.78,986,0.7000000000000001,259,0.8,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,21,30,-3.6,1.12,0.055,0.61,0,0,0,0,4,-4.3,0,0,0,0,0.359,94.62,143.25,0.9500000000000001,0.78,986,0.7000000000000001,257,0.7000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,22,30,-5.2,1.1300000000000001,0.052000000000000005,0.61,0,0,0,0,4,-5.6000000000000005,0,0,0,0,0.357,96.99000000000001,152.19,0.9500000000000001,0.78,987,0.7000000000000001,254,0.7000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,23,30,-6.6000000000000005,1.12,0.05,0.61,0,0,0,0,4,-7.5,0,0,0,0,0.355,93.45,157.84,0.9500000000000001,0.78,987,0.7000000000000001,249,0.7000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
