Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,448.677857436571,343.212926298528,791.8907837350989,2850806.8214463564,1055566.5346747006,180000.0,0.0,230357.12290762636,1266582.2119753167
 01/01  02:00:00,421.36145160260907,361.29351088472083,782.6549624873298,2817557.864954388,1120656.639184995,180000.0,0.0,230357.12290762636,1168243.1509730536
 01/01  03:00:00,414.21724764010054,361.41568008350623,775.6329277236068,2792278.539804985,1121096.4483006224,180000.0,0.0,230357.12290762636,1142524.016708023
 01/01  04:00:00,407.07304367759207,361.41021492216544,768.4832585997574,2766539.7309591267,1121076.7737197955,180000.0,0.0,230357.12290762636,1116804.8824429922
 01/01  05:00:00,405.8618402655111,361.2595712351239,767.121411500635,2761637.081402286,1120534.4564464462,180000.0,0.0,230357.12290762636,1112444.550159501
 01/01  06:00:00,1080.9787643291384,351.61302941656857,1432.591793745707,5157330.457484545,1085806.9058996467,180000.0,0.0,466309.96540005336,3330058.4727091417
 01/01  07:00:00,5106.549040881699,408.1775923297634,5514.726633211462,19853015.879561268,1289439.3323871484,180000.0,0.0,937283.0304541073,17356281.92289164
 01/01  08:00:00,9662.642397763291,493.69596906736115,10156.338366830652,36562818.120590344,1597305.4886425002,180000.0,0.0,2084405.5453382386,32613667.252604906
 01/01  09:00:00,4560.179424143978,390.18197419558226,4950.36139833956,17821301.034022417,1224655.107104096,180000.0,0.0,2214972.335650253,14116805.517087039
 01/01  10:00:00,1140.6426664342164,303.00267692417464,1443.645343358391,5197123.2360902075,910809.6369270288,180000.0,0.0,2280255.730806261,1754048.5932942235
 01/01  11:00:00,942.3206546302774,299.5044517938947,1241.8251064241722,4470570.38312702,898216.0264580209,180000.0,0.0,1718352.2224991964,1617423.4180491131
 01/01  12:00:00,1333.6681496092347,292.21179723352543,1625.87994684276,5853167.808633937,871962.4700406913,180000.0,0.0,1179764.212462135,3582864.7287760954
 01/01  13:00:00,1089.4191659105022,281.5463222940815,1370.9654882045836,4935475.757536501,833566.7602586935,180000.0,0.0,2070416.2463762371,1820631.6330175588
 01/01  14:00:00,5528.198478204444,331.02792917564796,5859.2264073800925,21093215.06656833,1011700.5450323325,180000.0,0.0,2051763.847760235,17821461.315715425
 01/01  15:00:00,1376.4267457680503,294.3416668465894,1670.7684126146394,6014766.285412703,879630.0006477218,180000.0,0.0,2103057.943954241,2823788.982750395
 01/01  16:00:00,894.471872886528,273.09154117037866,1167.5634140569068,4203228.290604864,803129.5482133632,180000.0,0.0,1570298.8084846796,1618938.8160228094
 01/01  17:00:00,1693.5906826440178,271.7119934941306,1965.3026761381482,7075089.634097334,798163.17657887,180000.0,0.0,1622758.6795921857,4425304.341276592
 01/01  18:00:00,3364.0492325311548,236.28079845862317,3600.3300309897777,12961188.1115632,670610.8744510433,180000.0,0.0,3977624.0048624557,8037798.118773998
 01/01  19:00:00,1999.1559475487666,277.23563768602486,2276.3915852347914,8195009.706845248,818048.2956696895,180000.0,0.0,4663099.654000534,2407845.5258153095
 01/01  20:00:00,1907.6158149927294,261.6922531390518,2169.308068131781,7809509.045274412,762092.1113005867,180000.0,0.0,4457923.26922451,2242329.276210918
