Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,448.677857436571,514.5558265789781,963.2336840155491,3467641.2624559766,1672400.9756843213,180000.0,0.0,230357.12290762636,1266582.2119753167
 01/01  02:00:00,421.36145160260907,536.0367012902072,957.3981528928164,3446633.3504141383,1749732.124644746,180000.0,0.0,230357.12290762636,1168243.1509730536
 01/01  03:00:00,414.21724764010054,537.6692745948664,951.8865222349668,3426791.48004588,1755609.388541519,180000.0,0.0,230357.12290762636,1142524.016708023
 01/01  04:00:00,407.07304367759207,538.0512702119343,945.1243138895263,3402447.530002295,1756984.5727629634,180000.0,0.0,230357.12290762636,1116804.8824429922
 01/01  05:00:00,405.8618402655111,538.347299552322,944.2091398178331,3399152.903344199,1758050.2783883591,180000.0,0.0,230357.12290762636,1112444.550159501
 01/01  06:00:00,1080.9787643291384,529.6498187256377,1610.6285830547763,5798262.898997194,1726739.3474122959,180000.0,0.0,466309.96540005336,3330058.4727091417
 01/01  07:00:00,5106.549040881699,541.9682101734993,5648.517251055198,20334662.103798717,1771085.5566245976,180000.0,0.0,937283.0304541073,17356281.92289164
 01/01  08:00:00,9662.642397763291,561.1250000000001,10223.767397763291,36805562.631947845,1840050.0000000002,180000.0,0.0,2084405.5453382386,32613667.252604906
 01/01  09:00:00,4560.179424143978,561.1250000000001,5121.304424143978,18436695.92691832,1840050.0000000002,180000.0,0.0,2214972.335650253,14116805.517087039
 01/01  10:00:00,1140.6426664342164,556.4224338103304,1697.065100244547,6109434.360880368,1823120.7617171896,180000.0,0.0,2280255.730806261,1754048.5932942235
 01/01  11:00:00,942.3206546302774,502.7548773423544,1445.0755319726318,5202271.915101474,1629917.558432476,180000.0,0.0,1718352.2224991964,1617423.4180491131
 01/01  12:00:00,1333.6681496092347,452.11400536640707,1785.782154975642,6428815.75791231,1447610.4193190655,180000.0,0.0,1179764.212462135,3582864.7287760954
 01/01  13:00:00,1089.4191659105022,413.52920413236984,1502.9483700428718,5410614.132154339,1308705.1348765313,180000.0,0.0,2070416.2463762371,1820631.6330175588
 01/01  14:00:00,5528.198478204444,472.7202633540833,6000.9187415585275,21603307.4696107,1521792.9480746998,180000.0,0.0,2051763.847760235,17821461.315715425
 01/01  15:00:00,1376.4267457680503,409.0512763257146,1785.4780220937646,6427720.879537553,1292584.5947725724,180000.0,0.0,2103057.943954241,2823788.982750395
 01/01  16:00:00,894.471872886528,387.79886304445677,1282.2707359309848,4616174.649351546,1216075.9069600445,180000.0,0.0,1570298.8084846796,1618938.8160228094
