Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,2750076.667425738,954836.3806540825,180000.0,0.0,230357.12290762636,1266582.2119753167
 01/01  02:00:00,2684558.7765086754,987657.5507392829,180000.0,0.0,230357.12290762636,1168243.1509730536
 01/01  03:00:00,2649205.1207384495,978023.0292340873,180000.0,0.0,230357.12290762636,1142524.016708023
 01/01  04:00:00,2613841.1970271096,968378.2397877781,180000.0,0.0,230357.12290762636,1116804.8824429922
 01/01  05:00:00,2603956.624467252,962853.9995114119,180000.0,0.0,230357.12290762636,1112444.550159501
 01/01  06:00:00,5001203.920141868,929680.3685569703,180000.0,0.0,466309.96540005336,3330058.4727091417
 01/01  07:00:00,19650443.82823185,1086867.2810577312,180000.0,0.0,937283.0304541073,17356281.92289164
 01/01  08:00:00,36293916.125271946,1328403.4933240963,180000.0,0.0,2084405.5453382386,32613667.252604906
 01/01  09:00:00,17628241.876070365,1031595.9491520412,180000.0,0.0,2214972.335650253,14116805.517087039
 01/01  10:00:00,5062477.798740712,776164.199577533,180000.0,0.0,2280255.730806261,1754048.5932942235
 01/01  11:00:00,4316878.815095545,744524.458426546,180000.0,0.0,1718352.2224991964,1617423.4180491131
 01/01  12:00:00,5629704.675440741,648499.3368474955,180000.0,0.0,1179764.212462135,3582864.7287760954
 01/01  13:00:00,4666350.045559381,564441.0482815733,180000.0,0.0,2070416.2463762371,1820631.6330175588
 01/01  14:00:00,20752240.97733704,670726.4558010362,180000.0,0.0,2051763.847760235,17821461.315715425
 01/01  15:00:00,5705108.70315879,569972.4183938093,180000.0,0.0,2103057.943954241,2823788.982750395
 01/01  16:00:00,3950429.947541831,550331.2051503307,180000.0,0.0,1570298.8084846796,1618938.8160228094
 01/01  17:00:00,6872781.127699589,595854.6701811261,180000.0,0.0,1622758.6795921857,4425304.341276592
 01/01  18:00:00,12789521.94807851,498944.71096635296,180000.0,0.0,3977624.0048624557,8037798.118773998
 01/01  19:00:00,8043660.204295771,666698.7931202117,180000.0,0.0,4663099.654000534,2407845.5258153095
 01/01  20:00:00,7677438.795080978,630021.8611071529,180000.0,0.0,4457923.26922451,2242329.276210918
 01/01  21:00:00,6974187.989115192,728332.5986473685,180000.0,0.0,3553281.9363484066,2278543.310165658
 01/01  22:00:00,2932326.5183168487,754145.9092250777,180000.0,0.0,230357.12290762636,1497788.70469904
 01/01  23:00:00,2867102.6541923992,789180.2323509597,180000.0,0.0,230357.12290762636,1433535.1549800558
 01/01  24:00:00,2748270.1461157324,810970.881339463,180000.0,0.0,230357.12290762636,1364921.27297758
 01/02  01:00:00,2618026.1332839755,822785.8465123198,180000.0,0.0,230357.12290762636,1266582.2119753167
 01/02  02:00:00,2529460.8571876963,832559.6314183037,180000.0,0.0,230357.12290762636,1168243.1509730536
 01/02  03:00:00,2512909.3432237767,841727.251719415,180000.0,0.0,230357.12290762636,1142524.016708023
 01/02  04:00:00,11582604.88385433,930495.7526767562,180000.0,0.0,230357.12290762636,10123451.056381235
 01/02  05:00:00,19963166.71788245,1161812.6000291149,180000.0,0.0,242947.4919734278,18260105.673991196
 01/02  06:00:00,2849900.332849967,861082.7050103028,180000.0,0.0,466309.96540005336,1247352.548963907
 01/02  07:00:00,3427737.760891586,861552.1648320622,180000.0,0.0,937283.0304541073,1358890.9717770484
 01/02  08:00:00,3169170.5455309595,858412.981508263,180000.0,0.0,693402.9185498795,1349914.8114681165
 01/02  09:00:00,2589729.998127504,866279.860743115,180000.0,0.0,230357.12290762636,1228224.94029573
 01/02  10:00:00,2555118.082623571,848798.5047538283,180000.0,0.0,230357.12290762636,1223953.1798994222
 01/02  11:00:00,2508082.333683326,821553.6470390805,180000.0,0.0,230357.12290762636,1219592.8476159307
 01/02  12:00:00,2466206.577759466,797680.209880894,180000.0,0.0,230357.12290762636,1219592.8476159307
