Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,3187826.788794865,1082739.6068917462,0.0,0.0,72251.3951376197,2003260.5487933212
 01/01  02:00:00,3268478.0018284065,1169344.0669111582,0.0,0.0,72251.3951376197,1997307.30180745
 01/01  03:00:00,3297806.8214701144,1204626.1335387384,0.0,0.0,72251.3951376197,1991354.054821578
 01/01  04:00:00,3347483.2159756967,1235913.9794900564,0.0,0.0,72251.3951376197,2009742.6033758428
 01/01  05:00:00,3475703.476433343,1272720.3047730275,0.0,0.0,72251.3951376197,2101156.5385505166
 01/01  06:00:00,4012213.544502071,1285462.997984088,0.0,0.0,146265.01942493743,2556696.7487241197
 01/01  07:00:00,4573111.396081256,1282676.0879165058,0.0,0.0,295173.38257442194,2972759.0271332357
 01/01  08:00:00,4389660.322017762,1294274.8024400603,0.0,0.0,72251.3951376197,3001274.1659389073
 01/01  09:00:00,5326779.516984278,1252411.8687711705,0.0,0.0,72251.3951376197,3980899.234530231
 01/01  10:00:00,6586919.440468209,1147075.2036350209,0.0,0.0,232907.9526184245,5188933.965449091
 01/01  11:00:00,6121933.50813289,1013894.2381948822,0.0,0.0,72251.3951376197,5021643.195770215
 01/01  12:00:00,5872900.022644281,915412.1056385096,0.0,0.0,72251.3951376197,4875592.422529398
 01/01  13:00:00,5796824.053572963,853700.2580033361,0.0,0.0,72251.3951376197,4863157.120961005
 01/01  14:00:00,5247869.823140374,792769.6114237896,0.0,0.0,143768.5281295319,4304259.344071966
 01/01  15:00:00,5570257.44106928,774001.1235983731,0.0,0.0,367131.07285375864,4422052.905102062
 01/01  16:00:00,5364981.0988737615,800374.5678069673,0.0,0.0,412655.32588762476,4144235.925708166
 01/01  17:00:00,5348968.395945216,864664.7101330128,0.0,0.0,628528.3967256347,3843559.4299241463
 01/01  18:00:00,8552841.432074789,820414.2637632345,0.0,0.0,1267336.4634911749,6441301.926451454
