weather_year,net_dc_elec_3d_shade,net_dc_elec_no_shade,nameplate_dc_loss
AMY_18,14633,15552,0.059092078
AMY_19,14766,15625,0.054976
AMY_20,15252,16264,0.062223315
AMY_21,14762,15735,0.06183667
AMY_22,14724,15690,0.061567878
AMY_23,15002,15921,0.057722505
TMY,14669,15599,0.059619206
