Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,4144314.664682648,1733970.922778884,180000.0,0.0,69806.62318693068,2135484.153313265
 01/01  02:00:00,4121704.4793812823,1612672.1692623377,180000.0,0.0,69806.62318693068,2234172.7215284463
 01/01  03:00:00,2823238.762830776,431517.88449665124,180000.0,0.0,69806.62318693068,2116861.2897436265
 01/01  04:00:00,3047988.948938232,665579.5023889262,180000.0,0.0,69806.62318693068,2107549.857958807
 01/01  05:00:00,3148351.0566287255,775253.0418642384,180000.0,0.0,69806.62318693068,2098238.4261739883
 01/01  06:00:00,3212735.0685573276,844538.7209370174,180000.0,0.0,69806.62318693068,2098238.4261739883
 01/01  07:00:00,4685039.001314073,887255.0005926397,180000.0,0.0,284607.12496091414,3314114.836866501
 01/01  08:00:00,28861394.574272223,990168.0056045068,180000.0,0.0,351157.04970301845,27321552.10975337
 01/01  09:00:00,16017745.599639222,920430.194147738,180000.0,0.0,672579.0266489264,14226763.599313913
 01/01  10:00:00,5168527.712025069,843193.7072497403,180000.0,0.0,692402.408487,3437681.965173113
 01/01  11:00:00,5071515.398315505,778583.9852591875,180000.0,0.0,672579.0266489264,3428370.533388294
 01/01  12:00:00,5865533.78862353,2017418.564508371,180000.0,0.0,502664.32517972396,3157281.4536951426
 01/01  13:00:00,4936130.8803290725,1530578.0494937391,180000.0,0.0,348325.138011865,2870692.136631233
 01/01  14:00:00,4678328.719617836,1276152.4301563427,180000.0,0.0,345493.2263207117,2870692.136631233
 01/01  15:00:00,4532259.36339983,1157126.3956508492,180000.0,0.0,352573.0055485951,2836569.0356908366
 01/01  16:00:00,4667426.0842158105,1196455.2765798622,180000.0,0.0,385139.98999685893,2899295.261446855
 01/01  17:00:00,5642767.782404733,1373700.0719106677,180000.0,0.0,671871.0487261381,3406848.697796888
 01/01  18:00:00,7259941.31535596,1521513.511040886,180000.0,0.0,1156835.9258361536,4381440.5802195305
 01/01  19:00:00,10355706.556601029,1547592.168008139,180000.0,0.0,1396132.4637386135,7205295.07040265
 01/01  20:00:00,8531414.664452605,1630146.3437297163,180000.0,0.0,1219137.9830415277,5466729.408306755
 01/01  21:00:00,6307468.61274872,1745441.017486115,180000.0,0.0,865149.0216473558,3467317.272490799
 01/01  22:00:00,7141739.291165165,1822720.5334531865,180000.0,0.0,461601.60565800004,4620231.035371921
 01/01  23:00:00,5741102.923385175,1881773.7147665685,180000.0,0.0,404963.3718349325,3224804.535659224
 01/01  24:00:00,4383525.873050861,1954611.9947566113,180000.0,0.0,69806.62318693068,2144795.5850980845
 01/02  01:00:00,4424747.575698445,2014403.8337946804,180000.0,0.0,69806.62318693068,2135484.153313265
 01/02  02:00:00,4597242.918941623,2088210.6088226782,180000.0,0.0,69806.62318693068,2234172.7215284463
 01/02  03:00:00,3241285.9678728147,849565.0895386895,180000.0,0.0,69806.62318693068,2116861.2897436265
 01/02  04:00:00,3484057.877646977,1101648.4310976714,180000.0,0.0,69806.62318693068,2107549.857958807
 01/02  05:00:00,3593460.616637377,1220362.6018728903,180000.0,0.0,69806.62318693068,2098238.4261739883
 01/02  06:00:00,3679948.7237480143,1311752.3761277043,180000.0,0.0,69806.62318693068,2098238.4261739883
 01/02  07:00:00,4086453.571758218,1377210.3964241385,180000.0,0.0,177206.8740739224,2332974.2623661384
 01/02  08:00:00,4688082.221696988,1392499.248202276,180000.0,0.0,351157.04970301845,2745908.5145803606
 01/02  09:00:00,4456147.804957708,1334281.8642228057,180000.0,0.0,295686.97945255175,2628206.181753704
 01/02  10:00:00,4355291.740458959,1228715.1799482103,180000.0,0.0,303120.74764182937,2628206.181753704
 01/02  11:00:00,3953767.7236305545,1083634.4588304337,180000.0,0.0,220393.5273640114,2457757.8844170114
 01/02  12:00:00,4713192.055354565,2319731.8336140756,180000.0,0.0,69806.62318693068,2135484.153313265
 01/02  13:00:00,4197985.614415474,1787536.418153405,180000.0,0.0,69806.62318693068,2154107.0168829034
 01/02  14:00:00,3883985.737297873,1474081.1707184901,180000.0,0.0,69806.62318693068,2154107.0168829034
 01/02  15:00:00,3765073.6571741705,1355169.0905947876,180000.0,0.0,69806.62318693068,2154107.0168829034
 01/02  16:00:00,5227421.919634267,1356354.166073762,180000.0,0.0,464893.70299896586,3219638.4943693033
 01/02  17:00:00,7589516.236626741,1409609.7070439416,180000.0,0.0,772049.9248006886,5217508.640811071
 01/02  18:00:00,8692305.5099299,1482518.2738233097,180000.0,0.0,1156835.9258361536,5852800.012011045
 01/02  19:00:00,7764610.010023426,1530060.2638042602,180000.0,0.0,1396132.4637386135,4631730.428028926
 01/02  20:00:00,8546558.648819763,1578391.6419029818,180000.0,0.0,1383388.8611284234,5369377.21641375
 01/02  21:00:00,8138394.559254063,1606266.7707286747,180000.0,0.0,1129932.7647701963,5172633.722630743
 01/02  22:00:00,6307499.023102502,1593384.503864439,180000.0,0.0,852405.4190371657,3624522.9835188393
 01/02  23:00:00,4719845.014672634,1592589.620628017,180000.0,0.0,321174.1846729321,2576519.908247236
 01/02  24:00:00,4011814.574491028,1582900.6961967784,180000.0,0.0,69806.62318693068,2144795.5850980845
 01/03  01:00:00,3976903.6856013383,1566559.9436975745,180000.0,0.0,69806.62318693068,2135484.153313265
 01/03  02:00:00,4108231.7639083415,1599199.4537893971,180000.0,0.0,69806.62318693068,2234172.7215284463
 01/03  03:00:00,2832353.9038905576,440633.0255564326,180000.0,0.0,69806.62318693068,2116861.2897436265
 01/03  04:00:00,3068078.382168507,685668.935619201,180000.0,0.0,69806.62318693068,2107549.857958807
 01/03  05:00:00,3180229.942502605,807131.927738118,180000.0,0.0,69806.62318693068,2098238.4261739883
 01/03  06:00:00,3601965.3439435065,870179.5447136216,180000.0,0.0,141453.98897311106,2390180.5119973817
 01/03  07:00:00,3333336.9607216576,947607.0088970821,180000.0,0.0,69806.62318693068,2116861.2897436265
 01/03  08:00:00,3411630.304186823,1007822.1184752941,180000.0,0.0,69806.62318693068,2135484.153313265
 01/03  09:00:00,4336234.579572072,977938.3211967566,180000.0,0.0,370980.43154109205,2789343.047305577
 01/03  10:00:00,4256246.211028589,890761.4101476686,180000.0,0.0,380892.12246012886,2789343.047305577
 01/03  11:00:00,4130718.5181426434,787724.6180616964,180000.0,0.0,370980.43154109205,2780031.6155207576
 01/03  12:00:00,6273232.424796018,1972779.2001099493,180000.0,0.0,358236.8289309019,3754046.9505148726
