Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,1096163.741867143,100827.9496829875,0.0,0.0,65351.281774845425,910267.6850945245
 01/01  02:00:00,928633.7779833038,114334.03065998193,0.0,0.0,47510.71846471471,747072.2035438216
 01/01  03:00:00,936592.7118422335,128864.11486893924,0.0,0.0,47510.71846471471,740501.0531937941
 01/01  04:00:00,966836.808623773,141337.56646036985,0.0,0.0,47510.71846471471,758271.6983839029
 01/01  05:00:00,1246990.1765308976,150694.90255697665,180000.0,0.0,47510.71846471471,849067.730194421
 01/01  06:00:00,1420464.653766681,157634.450747307,180000.0,0.0,47510.71846471471,1019460.2989753755
 01/01  07:00:00,1614246.07382887,161371.0724424985,90000.0,0.0,47510.71846471471,1300362.3506169287
 01/01  08:00:00,1956548.6497942524,142807.65462265292,0.0,0.0,47510.71846471471,1751656.9710394344
 01/01  09:00:00,2895928.310636075,102372.97014627424,0.0,0.0,47510.71846471471,2731899.942994914
 01/01  10:00:00,3746965.939000549,54907.296712098425,0.0,0.0,47510.71846471471,3632546.377979953
 01/01  11:00:00,4018087.4028253877,13386.719839153484,0.0,0.0,150226.19887021132,3845044.6980959084
 01/01  12:00:00,4139887.953369531,0.0,0.0,0.0,244285.8803651323,3889172.6734452294
 01/01  13:00:00,4005034.16617826,65855.83742035566,183779.73596607172,0.0,95021.43692942942,3655233.6362150675
 01/01  14:00:00,3952492.4936717087,244320.0269771778,683089.9400703242,0.0,94540.55921217523,2925827.074401974
 01/01  15:00:00,4500557.188393143,417697.6305760329,1159953.1114040017,0.0,238515.3477580819,2679676.205644969
 01/01  16:00:00,4240108.924111979,437612.89071859233,1193525.882226739,0.0,254865.19014472465,2348961.4413745874
 01/01  17:00:00,3237036.427249699,304540.4702541482,815071.4588311091,0.0,303914.7173046528,1805365.8747515082
 01/01  18:00:00,2653395.803351203,113708.34602236113,301979.4221240472,0.0,567435.7063599529,1654413.1432655582
 01/01  19:00:00,6771994.355952896,29002.81886594795,76791.86701055616,0.0,925208.7279970758,5719988.236852698
 01/01  20:00:00,3093518.639082835,0.0,0.0,0.0,961755.4345083949,2103902.4731513737
 01/01  21:00:00,1530951.717041636,18807.205227248538,0.0,0.0,431828.1900942693,1041311.297727825
 01/01  22:00:00,1418666.9699817253,47984.26892252082,0.0,0.0,332767.3803399046,992909.5238051156
 01/01  23:00:00,1334416.3459917929,73698.66779503747,0.0,0.0,289488.38578702684,932224.2684174355
 01/01  24:00:00,1137340.506776104,92907.554841143,0.0,0.0,143301.55974175083,874127.9140446996
 01/02  01:00:00,1181860.454291617,120059.76759665503,0.0,0.0,83191.84508497614,958892.0162952003
 01/02  02:00:00,930104.2180482651,115804.47072494336,0.0,0.0,47510.71846471471,747072.2035438216
 01/02  03:00:00,929431.1892237293,121702.59225043497,0.0,0.0,47510.71846471471,740501.0531937941
 01/02  04:00:00,952979.3973544884,127480.15519108518,0.0,0.0,47510.71846471471,758271.6983839029
 01/02  05:00:00,1048362.7718318759,132067.4978579548,0.0,0.0,47510.71846471471,849067.730194421
 01/02  06:00:00,1219425.5793391843,136595.3763198101,0.0,0.0,47510.71846471471,1019460.2989753755
 01/02  07:00:00,1764953.688051906,139730.0125346639,0.0,0.0,194274.59777069578,1415947.145441818
 01/02  08:00:00,2296592.4963262663,132962.23674465469,0.0,0.0,239477.10319259032,1909579.8507215711
 01/02  09:00:00,3075093.2673439225,101567.22726849967,0.0,0.0,150226.19887021132,2809155.1621750398
 01/02  10:00:00,3749001.827974489,56943.18568603897,0.0,0.0,47510.71846471471,3632546.377979953
 01/02  11:00:00,4191637.1443730574,11202.283756160867,0.0,0.0,252941.6792757079,3918063.395321074
 01/02  12:00:00,4139887.953369531,0.0,0.0,0.0,244285.8803651323,3889172.6734452294
 01/02  13:00:00,4358228.3836678015,89979.83247543997,248944.09273071465,0.0,237553.5923235735,3776607.346490738
 01/02  14:00:00,4219941.156570175,246430.271951971,683423.2123029695,0.0,235630.08145455676,3049742.6978506204
