Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,1057578.5315689247,63894.10200555635,0.0,0.0,223293.66306557474,652089.814609081
 01/01  02:00:00,1065837.9958472953,78182.68022495948,0.0,0.0,223293.66306557474,646060.7006680483
 01/01  03:00:00,1066450.8591750236,84824.65749372088,0.0,0.0,223293.66306557474,640031.5867270154
 01/01  04:00:00,1065091.53680663,89494.44906635993,0.0,0.0,223293.66306557474,634002.4727859828
 01/01  05:00:00,1059862.8993037853,90294.92550454791,0.0,0.0,223293.66306557474,627973.3588449501
 01/01  06:00:00,1038380.2981833023,91958.16279707389,0.0,0.0,223293.66306557474,627973.3588449501
 01/01  07:00:00,1045319.910629061,91983.06700810259,0.0,0.0,223293.66306557474,640031.5867270154
 01/01  08:00:00,1038671.4749160288,75848.16323667267,0.0,0.0,223293.66306557474,652089.814609081
 01/01  09:00:00,1017352.2219724925,51071.55617577138,0.0,0.0,223293.66306557474,658118.9285501137
 01/01  10:00:00,979675.0439720193,26253.177293636218,0.0,0.0,223293.66306557474,658118.9285501137
 01/01  11:00:00,3163098.8231500285,1182.4639501137062,0.0,0.0,2151902.6400271114,953435.0030521146
 01/01  12:00:00,2537580.0942171374,0.0,0.0,0.0,1608974.9028152507,890028.7940468721
 01/01  13:00:00,3036893.8395724758,0.0,0.0,0.0,2007842.2122428697,998190.509445594
 01/01  14:00:00,3016314.5262757777,0.0,0.0,0.0,1989834.6587698394,998190.509445594
 01/01  15:00:00,3026535.362114597,0.0,0.0,0.0,2016845.988979385,981400.0150748678
 01/01  16:00:00,3232232.6431007287,0.0,0.0,0.0,2192419.6353414296,1008951.8898752877
 01/01  17:00:00,3283379.238173086,0.0,0.0,0.0,2054661.8512727483,1179853.950250653
 01/01  18:00:00,1018771.5026786209,0.0,0.0,0.0,223293.66306557474,700322.7261373426
 01/01  19:00:00,2217601.5286220005,0.0,0.0,0.0,1262554.5928778315,829030.7043844531
 01/01  20:00:00,5786486.711511337,0.0,0.0,0.0,4501888.368257555,1117433.9547153835
 01/01  21:00:00,5076649.730952276,0.0,0.0,0.0,3781586.229336347,1061033.3576621716
 01/01  22:00:00,4154760.9281384307,3720.0676000526355,0.0,0.0,2858699.113843548,1022306.9652097248
 01/01  23:00:00,3643173.8099334436,19430.75283873673,0.0,0.0,2462532.9374368833,927179.9757040667
 01/01  24:00:00,2167894.560667036,37587.2330834821,0.0,0.0,1125472.0920643888,842814.366628102
 01/02  01:00:00,1548387.054941338,50973.476842306874,0.0,0.0,558234.157663937,820878.4685463815
 01/02  02:00:00,1049090.3193044723,61435.003682136456,0.0,0.0,223293.66306557474,646060.7006680483
 01/02  03:00:00,1049177.4658204238,67551.26413912096,0.0,0.0,223293.66306557474,640031.5867270154
 01/02  04:00:00,1049680.9087251127,74083.82098484269,0.0,0.0,223293.66306557474,634002.4727859828
 01/02  05:00:00,1054973.3833753173,85405.40957607972,0.0,0.0,223293.66306557474,627973.3588449501
 01/02  06:00:00,1049654.7510869512,103232.6157007228,0.0,0.0,223293.66306557474,627973.3588449501
 01/02  07:00:00,1471563.8107787082,123010.8350370423,0.0,0.0,568138.3120741035,690403.0698391941
 01/02  08:00:00,3175778.061986441,125843.95358445108,0.0,0.0,2025849.7657159003,936644.5086813885
 01/02  09:00:00,1103320.1422814238,137039.47648470255,0.0,0.0,223293.66306557474,658118.9285501137
 01/02  10:00:00,1089714.9864894878,136293.11981110455,0.0,0.0,223293.66306557474,658118.9285501137
 01/02  11:00:00,1048812.989950091,116850.79615474681,0.0,0.0,223293.66306557474,652089.814609081
 01/02  12:00:00,1011923.6556789177,97963.78064924698,0.0,0.0,223293.66306557474,652089.814609081
 01/02  13:00:00,1007815.271772723,89512.44833198999,0.0,0.0,223293.66306557474,664148.0424911462
 01/02  14:00:00,1006887.3307177029,91156.26710063763,0.0,0.0,223293.66306557474,664148.0424911462
 01/02  15:00:00,1023445.6948162689,107714.63119920355,0.0,0.0,223293.66306557474,664148.0424911462
 01/02  16:00:00,1050975.1107200482,138701.4012203479,0.0,0.0,223293.66306557474,658118.9285501137
 01/02  17:00:00,1470710.4876592373,216347.11757076537,90000.0,0.0,223293.66306557474,892206.2703732118
 01/02  18:00:00,1427954.6222348898,229183.119556269,180000.0,0.0,223293.66306557474,700322.7261373426
 01/02  19:00:00,6113390.298232704,248056.72907879818,180000.0,0.0,4380337.382314602,1178979.9554795888
 01/02  20:00:00,6255395.145767225,288908.4342558884,180000.0,0.0,4501888.368257555,1117433.9547153835
 01/02  21:00:00,5592605.758664785,335956.02771250886,180000.0,0.0,3781586.229336347,1061033.3576621716
 01/02  22:00:00,4708175.891742909,377135.03120453155,180000.0,0.0,2858699.113843548,1022306.9652097248
 01/02  23:00:00,4211746.015402215,408002.95830750733,180000.0,0.0,2462532.9374368833,927179.9757040667
 01/02  24:00:00,2206325.849157054,439455.45511190174,180000.0,0.0,674382.8775649817,750466.647589108
 01/03  01:00:00,1642472.2275983638,468787.79803499545,180000.0,0.0,223293.66306557474,652089.814609081
 01/03  02:00:00,1654270.0455536877,486614.72993135196,180000.0,0.0,223293.66306557474,646060.7006680483
 01/03  03:00:00,1661427.0093454474,499800.8076641448,180000.0,0.0,223293.66306557474,640031.5867270154
 01/03  04:00:00,1663788.8050467279,508191.7173064578,180000.0,0.0,223293.66306557474,634002.4727859828
 01/03  05:00:00,1663903.85898558,514335.8851863426,180000.0,0.0,223293.66306557474,627973.3588449501
 01/03  06:00:00,1647173.2956432481,520751.16025701974,180000.0,0.0,223293.66306557474,627973.3588449501
 01/03  07:00:00,1658872.0050661354,525535.1614451772,180000.0,0.0,223293.66306557474,640031.5867270154
 01/03  08:00:00,1667169.189905441,524345.8782260846,180000.0,0.0,223293.66306557474,652089.814609081
 01/03  09:00:00,3869718.9585600263,493484.1273587349,180000.0,0.0,2151902.6400271114,959464.1169931472
 01/03  10:00:00,2739291.9369994616,459379.76904099004,180000.0,0.0,1219111.3701241463,808791.5227716304
 01/03  11:00:00,1542205.2641877106,430243.0703923664,180000.0,0.0,223293.66306557474,652089.814609081
 01/03  12:00:00,1492710.576165499,398750.70113582833,180000.0,0.0,223293.66306557474,652089.814609081
 01/03  13:00:00,1459775.839670292,361473.0162295593,180000.0,0.0,223293.66306557474,664148.0424911462
 01/03  14:00:00,1421978.1171183304,326247.053501265,180000.0,0.0,223293.66306557474,664148.0424911462
 01/03  15:00:00,1412809.7470799936,317078.68346292834,180000.0,0.0,223293.66306557474,664148.0424911462
 01/03  16:00:00,1434881.103291986,342607.3937922858,180000.0,0.0,223293.66306557474,658118.9285501137
 01/03  17:00:00,1790714.595188792,446351.2251003202,180000.0,0.0,223293.66306557474,892206.2703732118
 01/03  18:00:00,1656877.6999740624,458106.1972954415,180000.0,0.0,223293.66306557474,700322.7261373426
 01/03  19:00:00,1743395.1267264928,501704.27828179445,180000.0,0.0,223293.66306557474,712380.9540194079
 01/03  20:00:00,4147424.389472197,528790.6448458704,180000.0,0.0,2362591.0156615647,908878.340426363
 01/03  21:00:00,5793051.672800953,536401.9418486764,180000.0,0.0,3781586.229336347,1061033.3576621716
 01/03  22:00:00,3413167.4512095097,566850.5495373423,180000.0,0.0,1540996.3884545616,855285.731732501
 01/03  23:00:00,1915798.603067849,602268.5256753049,180000.0,0.0,223293.66306557474,676206.2703732118
 01/03  24:00:00,1845069.1988124272,621635.738305676,180000.0,0.0,223293.66306557474,658118.9285501137
 01/04  01:00:00,1810555.6278722875,636871.1983089192,180000.0,0.0,223293.66306557474,652089.814609081
 01/04  02:00:00,1815992.2936890866,648336.9780667508,180000.0,0.0,223293.66306557474,646060.7006680483
 01/04  03:00:00,1816349.546972197,654723.3452908944,180000.0,0.0,223293.66306557474,640031.5867270154
 01/04  04:00:00,1815059.0998873494,659462.0121470792,180000.0,0.0,223293.66306557474,634002.4727859828
 01/04  05:00:00,1813541.4451782955,663973.471379058,180000.0,0.0,223293.66306557474,627973.3588449501
 01/04  06:00:00,1794768.870062662,668346.7346764336,180000.0,0.0,223293.66306557474,627973.3588449501
 01/04  07:00:00,1793905.40055532,660568.5569343611,180000.0,0.0,223293.66306557474,640031.5867270154
 01/04  08:00:00,2237318.547268528,572717.5364085136,180000.0,0.0,673932.688728156,723228.4881271579
 01/04  09:00:00,1575951.3749456815,429670.7091489603,180000.0,0.0,223293.66306557474,658118.9285501137
 01/04  10:00:00,1421681.7307452601,288259.8640668771,180000.0,0.0,223293.66306557474,658118.9285501137
 01/04  11:00:00,1294837.5423511649,182875.3485558204,180000.0,0.0,223293.66306557474,652089.814609081
 01/04  12:00:00,1202528.890089031,108569.01505936046,180000.0,0.0,223293.66306557474,652089.814609081
 01/04  13:00:00,1157825.5609941503,59522.737553417464,180000.0,0.0,223293.66306557474,664148.0424911462
 01/04  14:00:00,2169929.163838403,23906.368891981394,180000.0,0.0,1106564.1609177073,831169.2759683701
 01/04  15:00:00,1106716.8864488173,10985.822831751917,180000.0,0.0,223293.66306557474,664148.0424911462
 01/04  16:00:00,1131560.1186886535,39286.40918895314,180000.0,0.0,223293.66306557474,658118.9285501137
 01/04  17:00:00,1499705.5143495686,155342.14426109678,180000.0,0.0,223293.66306557474,892206.2703732118
 01/04  18:00:00,1404515.6458768297,205744.1431982089,180000.0,0.0,223293.66306557474,700322.7261373426
 01/04  19:00:00,1514350.1188705708,272659.2704258725,180000.0,0.0,223293.66306557474,712380.9540194079
 01/04  20:00:00,3928748.394168442,310114.64954211604,180000.0,0.0,2362591.015661565,908878.340426363
 01/04  21:00:00,5581345.393967262,324695.66301498556,180000.0,0.0,3781586.229336347,1061033.3576621716
 01/04  22:00:00,8510641.412639732,327569.4088680694,180000.0,0.0,2858699.113843548,4874338.108443009
 01/04  23:00:00,3809644.166593474,359739.2415374374,180000.0,0.0,1902723.1188440563,1133151.6622582232
 01/04  24:00:00,1617796.4507330977,394362.99022634653,180000.0,0.0,223293.66306557474,658118.9285501137
 01/05  01:00:00,1579901.3951748067,406216.96561143844,180000.0,0.0,223293.66306557474,652089.814609081
 01/05  02:00:00,1583532.4450720644,415877.12944972864,180000.0,0.0,223293.66306557474,646060.7006680483
 01/05  03:00:00,1590109.3499574338,428483.148276131,180000.0,0.0,223293.66306557474,640031.5867270154
 01/05  04:00:00,1590207.877618921,434610.78987865074,180000.0,0.0,223293.66306557474,634002.4727859828
 01/05  05:00:00,1584340.1221975137,434772.1483982762,180000.0,0.0,223293.66306557474,627973.3588449501
 01/05  06:00:00,1559911.6762963708,433489.5409101425,180000.0,0.0,223293.66306557474,627973.3588449501
 01/05  07:00:00,4322840.840417191,412333.3051104304,180000.0,0.0,223293.66306557474,3417202.278412819
 01/05  08:00:00,3592923.664091588,362989.55568959855,180000.0,0.0,2025849.7657159003,936644.5086813885
 01/05  09:00:00,2524602.4875947605,263344.73909575434,180000.0,0.0,1187598.1515463432,808791.5227716304
 01/05  10:00:00,1308221.0319960695,174799.16531768654,180000.0,0.0,223293.66306557474,658118.9285501137
 01/05  11:00:00,1030778.5532737555,98816.35947841115,0.0,0.0,223293.66306557474,652089.814609081
