Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,276.0234526564912,17.748361668210098,293.77181432470127,1057578.5315689247,63894.10200555635,0.0,0.0,223293.66306557474,652089.814609081
 01/01  02:00:00,274.3486987839822,21.717411173599857,296.06610995758206,1065837.9958472953,78182.68022495948,0.0,0.0,223293.66306557474,646060.7006680483
 01/01  03:00:00,272.673944911473,23.562404859366914,296.23634977083987,1066450.8591750236,84824.65749372088,0.0,0.0,223293.66306557474,640031.5867270154
 01/01  04:00:00,270.99919103896394,24.85956918509998,295.85876022406393,1065091.53680663,89494.44906635993,0.0,0.0,223293.66306557474,634002.4727859828
 01/01  05:00:00,269.32443716645486,25.081923751263307,294.4063609177182,1059862.8993037853,90294.92550454791,0.0,0.0,223293.66306557474,627973.3588449501
 01/01  06:00:00,262.8950376072857,25.543934110298306,288.438971717584,1038380.2981833023,91958.16279707389,0.0,0.0,223293.66306557474,627973.3588449501
 01/01  07:00:00,264.8157898947107,25.550851946695165,290.36664184140585,1045319.910629061,91983.06700810259,0.0,0.0,223293.66306557474,640031.5867270154
 01/01  08:00:00,267.45091991093227,21.068934232409077,288.5198541433413,1038671.4749160288,75848.16323667267,0.0,0.0,223293.66306557474,652089.814609081
 01/01  09:00:00,268.41129605464477,14.186543382158717,282.5978394368035,1017352.2219724925,51071.55617577138,0.0,0.0,223293.66306557474,658118.9285501137
 01/01  10:00:00,264.839407410662,7.292549248232283,272.13195665889424,979675.0439720193,26253.177293636218,0.0,0.0,223293.66306557474,658118.9285501137
 01/01  11:00:00,878.3100997777541,0.3284622083649184,878.638561986119,3163098.8231500285,1182.4639501137062,0.0,0.0,2151902.6400271114,953435.0030521146
 01/01  12:00:00,704.8833595047604,0.0,704.8833595047604,2537580.0942171374,0.0,0.0,0.0,1608974.9028152507,890028.7940468721
