Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,480514,-,-,-,39.81,-105.14,-7,1681,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2014,1,1,0,30,0,0,0,-5.800000000000001,-0.2,818,249,1.8,0.16,0,0,0
2014,1,1,1,30,0,0,0,-6,-0.30000000000000004,818,252,1.6,0.16,0,0,0
2014,1,1,2,30,0,0,0,-6,-0.30000000000000004,818,258,1.5,0.16,0,0,0
2014,1,1,3,30,0,0,0,-6.1000000000000005,-0.4,818,277,1.2000000000000002,0.16,0,0,0
2014,1,1,4,30,0,0,0,-6.4,-0.9,819,320,1,0.16,0,0,0
2014,1,1,5,30,0,0,0,-6.2,-1.6,819,181,1.1,0.16,0,0,0
2014,1,1,6,30,0,0,0,-5.800000000000001,-2,821,20,1.5,0.16,0,0,0
2014,1,1,7,30,0,0,0,-5.6000000000000005,-1.6,822,28,1.7000000000000002,0.16,0,0,0
2014,1,1,8,30,0,20,20,-5.2,-0.5,822,25,1.9000000000000001,0.16,39,667,153
2014,1,1,9,30,1,110,111,-5.5,0.6000000000000001,823,13,2.2,0.16,51,837,306
2014,1,1,10,30,520,147,355,-6.2,1.5,823,183,2.3000000000000003,0.16,56,926,426
2014,1,1,11,30,86,280,319,-7,2,823,358,2.6,0.16,59,957,490
2014,1,1,12,30,959,59,494,-7.5,2.2,822,358,3.1,0.16,59,959,494
2014,1,1,13,30,937,56,439,-7.800000000000001,1.9000000000000001,823,358,3.6,0.16,56,937,439
2014,1,1,14,30,76,196,221,-7.9,1.1,824,358,3.7,0.16,51,871,329
2014,1,1,15,30,5,96,97,-7.800000000000001,-0.5,825,188,2.8000000000000003,0.16,38,734,180
2014,1,1,16,30,0,10,10,-7.6000000000000005,-2.1,826,27,1.8,0.16,15,353,28
2014,1,1,17,30,0,0,0,-7.6000000000000005,-3.2,826,43,1.2000000000000002,0.16,0,0,0
2014,1,1,18,30,0,0,0,-7.9,-3.8000000000000003,827,75,0.7000000000000001,0.16,0,0,0
2014,1,1,19,30,0,0,0,-8.200000000000001,-4.4,827,162,0.5,0.16,0,0,0
2014,1,1,20,30,0,0,0,-8.9,-5,826,230,0.9,0.16,0,0,0
2014,1,1,21,30,0,0,0,-9.8,-5.4,826,241,1.2000000000000002,0.16,0,0,0
2014,1,1,22,30,0,0,0,-10.8,-5.5,826,247,1.6,0.16,0,0,0
2014,1,1,23,30,0,0,0,-11.700000000000001,-5.5,825,251,2.1,0.16,0,0,0
2014,1,2,0,30,0,0,0,-12.3,-5.5,825,254,2.6,0.16,0,0,0
2014,1,2,1,30,0,0,0,-12.700000000000001,-5.5,825,256,2.8000000000000003,0.16,0,0,0
2014,1,2,2,30,0,0,0,-12.700000000000001,-5.4,825,258,2.8000000000000003,0.16,0,0,0
2014,1,2,3,30,0,0,0,-12.600000000000001,-5.2,825,259,2.9000000000000004,0.16,0,0,0
2014,1,2,4,30,0,0,0,-12.600000000000001,-5.1000000000000005,825,260,3,0.16,0,0,0
2014,1,2,5,30,0,0,0,-12.700000000000001,-5,825,260,3.1,0.16,0,0,0
2014,1,2,6,30,0,0,0,-12.9,-4.9,825,260,3.3000000000000003,0.16,0,0,0
2014,1,2,7,30,0,0,0,-12.9,-3.6,826,259,3.6,0.16,0,0,0
2014,1,2,8,30,4,84,84,-11.4,-0.8,826,256,3.8000000000000003,0.16,29,748,157
2014,1,2,9,30,885,38,308,-10.3,2.3000000000000003,826,262,3.7,0.16,38,885,308
2014,1,2,10,30,151,242,302,-9.3,4.9,826,278,3.1,0.16,43,951,423
2014,1,2,11,30,567,153,409,-8.700000000000001,6.4,825,291,2.2,0.16,49,974,488
2014,1,2,12,30,0,15,15,-8,6.9,824,300,1.4000000000000001,0.16,49,969,490
2014,1,2,13,30,0,56,56,-7.4,6.6000000000000005,824,301,1,0.16,47,946,436
2014,1,2,14,30,0,26,26,-6,5.2,824,277,0.6000000000000001,0.16,41,882,326
2014,1,2,15,30,180,96,131,-4.1000000000000005,2.8000000000000003,824,239,0.4,0.16,33,750,179
2014,1,2,16,30,0,14,14,-6,0.9,823,224,0.7000000000000001,0.16,14,383,29
2014,1,2,17,30,0,0,0,-6.7,0.30000000000000004,823,231,1.2000000000000002,0.16,0,0,0
2014,1,2,18,30,0,0,0,-6.800000000000001,0.1,823,246,2,0.16,0,0,0
2014,1,2,19,30,0,0,0,-7,-0.1,823,257,2.8000000000000003,0.16,0,0,0
2014,1,2,20,30,0,0,0,-7.2,-0.5,823,261,3.1,0.16,0,0,0
2014,1,2,21,30,0,0,0,-7.7,-0.8,822,260,3.4000000000000004,0.16,0,0,0
2014,1,2,22,30,0,0,0,-8.1,-0.8,822,259,3.5,0.16,0,0,0
2014,1,2,23,30,0,0,0,-8.4,-0.8,821,258,3.7,0.16,0,0,0
2014,1,3,0,30,0,0,0,-8.6,-0.6000000000000001,820,258,3.9000000000000004,0.16,0,0,0
2014,1,3,1,30,0,0,0,-8.700000000000001,-0.5,820,259,4.1000000000000005,0.16,0,0,0
