Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1238839,-,-,-,40.69,-74.18,-5,4,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,
2021,1,1,0,30,-1.3,1.5,0.033,0.61,0,0,0,0,0,-2.4000000000000004,0,0,0,0,0.321,92.43,161.23,0.9,0.13,1029,0.4,8,1.7000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,
2021,1,1,1,30,-1.5,1.49,0.033,0.61,0,0,0,0,0,-2.4000000000000004,0,0,0,0,0.321,93.53,154.14000000000001,0.91,0.13,1030,0.4,11,1.6,0.0000,0.0000,,,,,,,,,,,,,,,,
2021,1,1,2,30,-1.7000000000000002,1.45,0.036000000000000004,0.61,0,0,0,0,0,-2.4000000000000004,0,0,0,0,0.32,94.62,144,0.91,0.13,1030,0.4,16,1.4000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2021,1,1,3,30,-1.8,1.46,0.036000000000000004,0.61,0,0,0,0,0,-2.5,0,0,0,0,0.319,95.13,132.87,0.91,0.13,1030,0.4,19,1.4000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2021,1,1,4,30,-1.9000000000000001,1.47,0.037,0.61,0,0,0,0,0,-2.5,0,0,0,0,0.318,95.7,121.51,0.91,0.13,1031,0.4,21,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,
2021,1,1,5,30,-1.9000000000000001,1.47,0.041,0.61,0,0,0,0,0,-2.5,0,0,0,0,0.317,95.47,110.28,0.91,0.13,1031,0.4,23,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,
2021,1,1,6,30,-1.9000000000000001,1.46,0.043000000000000003,0.61,0,0,0,0,4,-2.5,0,0,0,0,0.317,95.39,99.46000000000001,0.91,0.13,1032,0.4,28,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,
2021,1,1,7,30,-0.9,1.41,0.046,0.61,13,144,16,5,8,-2.5,10,1,71,10,0.316,89.05,88.91,0.92,0.13,1032,0.4,38,1.5,0.0000,0.0000,,,,,,,,,,,,,,,,
