Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,570443,-,-,-,35.21,-101.7,-6,1099,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,
2022,1,1,0,30,8.1,1.43,0.016,0.62,0,0,0,0,7,7.2,0,0,0,0,0.271,93.8,167.03,0.9,0.24,877,1.7000000000000002,216,5.300000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,1,30,7.9,1.45,0.02,0.62,0,0,0,0,0,7.300000000000001,0,0,0,0,0.272,96.22,165.05,0.91,0.24,877,1.7000000000000002,217,5.800000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,2,30,7.2,1.3800000000000001,0.022,0.62,0,0,0,0,4,6.7,0,0,0,0,0.277,96.64,155.14000000000001,0.92,0.24,877,1.5,209,5.7,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,3,30,6.1000000000000005,1.35,0.021,0.62,0,0,0,0,8,5.7,0,0,0,0,0.28400000000000003,97.27,143.33,0.92,0.24,877,1.2000000000000002,201,5.300000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,4,30,5.5,1.34,0.018000000000000002,0.62,0,0,0,0,8,5.4,0,0,0,0,0.28600000000000003,99.19,131.11,0.9,0.24,876,1.1,210,5,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,5,30,5,1.28,0.018000000000000002,0.62,0,0,0,0,4,5,0,0,0,0,0.28300000000000003,100,118.92,0.89,0.24,877,1.2000000000000002,228,4.5,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,6,30,4.2,1.19,0.022,0.62,0,0,0,0,0,4.2,0,0,0,0,0.28300000000000003,100,106.97,0.89,0.24,878,1.2000000000000002,249,3.6,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,7,30,2.6,1.12,0.031,0.62,0,0,0,0,4,2.6,0,0,0,0,0.28400000000000003,100,95.49,0.92,0.24,879,1.1,293,4,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,8,30,0.2,1.1,0.049,0.62,32,390,69,2,0,0.2,23,198,36,42,0.28400000000000003,100,84.60000000000001,0.9500000000000001,0.24,881,1,339,5.800000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,9,30,-2.4000000000000004,1.1400000000000001,0.074,0.62,61,683,238,0,4,-3.5,65,45,0,77,0.28300000000000003,92.45,75.02,0.96,0.24,883,0.9,178,6.7,3.7646,2.8930,,,,,,,,,,,,,,,,
