Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,897344,-,-,-,42.97,-87.9,-6,196,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,
2020,1,1,0,30,-6.7,1.41,0.019,0.61,0,0,0,0,4,-8.1,0,0,0,0,0.373,90.08,158.77,0.87,0.76,983,0.4,279,3.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,1,30,-6.7,1.42,0.019,0.61,0,0,0,0,4,-8.1,0,0,0,0,0.374,89.49,151.99,0.87,0.76,983,0.4,274,3.6,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,2,30,-6.6000000000000005,1.43,0.019,0.61,0,0,0,0,4,-8.200000000000001,0,0,0,0,0.369,88.44,142.34,0.87,0.76,983,0.4,267,3.5,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,3,30,-6.5,1.44,0.019,0.61,0,0,0,0,4,-8.1,0,0,0,0,0.362,88.25,131.65,0.87,0.76,983,0.4,258,3.5,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,4,30,-6.300000000000001,1.45,0.02,0.61,0,0,0,0,4,-7.9,0,0,0,0,0.358,88.12,120.7,0.88,0.76,983,0.4,249,3.6,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,5,30,-6.300000000000001,1.44,0.022,0.61,0,0,0,0,4,-7.7,0,0,0,0,0.358,89.78,109.87,0.88,0.76,983,0.4,241,3.5,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,6,30,-6.2,1.45,0.021,0.61,0,0,0,0,4,-7.5,0,0,0,0,0.358,90.46000000000001,99.45,0.88,0.76,982,0.4,233,3.6,0.0000,0.0000,,,,,,,,,,,,,,,,
2020,1,1,7,30,-5.4,1.42,0.021,0.61,10,147,12,5,4,-7.300000000000001,6,0,71,6,0.356,86.26,89.28,0.89,0.76,982,0.4,223,3.9000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,
