Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,1897.8674356979386,315.22396209152055,2213.091397789459,7967129.032042053,954806.2635294739,180000.0,0.0,106659.78783043935,6699491.832076943
 01/01  02:00:00,3097.9839266337935,331.2143619106755,3429.198288544468,12345113.838760087,1012371.7028784319,180000.0,0.0,76150.4136874763,11050420.573588982
 01/01  03:00:00,404.3834288655401,272.1231435944354,676.5065724599756,2435423.660855912,799643.3169399677,180000.0,0.0,61018.74828592609,1368590.4470248222
 01/01  04:00:00,376.38688459800267,268.0724161513275,644.4593007493302,2320053.4826975884,785060.6981447791,180000.0,0.0,61018.74828592609,1267802.8876616876
 01/01  05:00:00,358.9053194659641,263.28471369742294,622.1900331633872,2239884.119388194,767824.9693107227,180000.0,0.0,61018.74828592609,1204869.2531863486
 01/01  06:00:00,359.6985381042476,256.2309533591228,615.9294914633704,2217346.169268133,742431.4320928421,180000.0,0.0,61018.74828592609,1212845.282402577
 01/01  07:00:00,371.69340982491855,250.45034655593668,622.1437563808552,2239717.5229710788,721621.2476013721,180000.0,0.0,61018.74828592609,1257164.6966233053
 01/01  08:00:00,560.7652114105,248.36390091497887,809.1291123254789,2912864.804371724,714110.043293924,180000.0,0.0,183671.35320743476,1815739.5154230462
 01/01  09:00:00,4303.076561788251,308.989189219331,4612.065751007582,16603436.703627294,932361.0811895918,180000.0,0.0,586813.3655723133,14885487.302431226
 01/01  10:00:00,1949.1677066554662,236.84324334772873,2186.010950003195,7869639.420011502,672635.6760518234,180000.0,0.0,604036.3993626958,6397037.0802286025
 01/01  11:00:00,1049.978927258663,228.02147070907623,1278.000397967739,4600801.432683861,640877.2945526743,180000.0,0.0,586813.3655723133,3180594.1362694316
 01/01  12:00:00,2259.2460592643206,309.56416364451223,2568.8102229088327,9247716.802471798,934430.989120244,180000.0,0.0,438572.25330509373,7686179.489849114
 01/01  13:00:00,3050.6059798949,368.09790223386716,3418.7038821287674,12307333.975663563,1145152.4480419217,180000.0,0.0,303863.5247303174,10671490.746733448
 01/01  14:00:00,381.44456817062934,244.6668291612336,626.1113973318629,2254001.0303947064,700800.584980441,180000.0,0.0,61018.74828592609,1305923.3789836187
 01/01  15:00:00,381.44456817062934,245.57531357179104,627.0198817424204,2257271.574272713,704071.1288584478,180000.0,0.0,61018.74828592609,1305923.3789836187
 01/01  16:00:00,469.60252142881177,257.2922209169672,726.8947423457789,2616821.072444804,746251.995301082,180000.0,0.0,184286.46155709127,1499455.359428754
 01/01  17:00:00,1259.1380833332278,254.6114168407044,1513.7495001739321,5449498.200626155,736601.100626536,180000.0,0.0,467482.3457389499,4054604.932010698
 01/01  18:00:00,2028.6646170785107,239.74425379765736,2268.4088708761683,8166271.935154205,683079.3136715665,180000.0,0.0,740590.4529864416,6541551.462009409
 01/01  19:00:00,1077.768839507505,296.20269183251037,1373.9715313400152,4946297.512824055,886329.6905970373,180000.0,0.0,981712.9260517947,2870376.933530558
 01/01  20:00:00,1283.7154275015391,285.56912514796863,1569.2845526495078,5649424.3895382285,848048.850532687,180000.0,0.0,1204382.1486274523,3380012.4195229197
 01/01  21:00:00,1139.7140113313658,294.6414744745943,1434.3554858059601,5163679.748901457,880709.3081085394,180000.0,0.0,640942.9003420866,3410254.1812535953
 01/01  22:00:00,704.295863325361,306.8171920260453,1011.1130553514063,3640006.9992650626,924541.8912937631,180000.0,0.0,537604.6975997923,1938121.9189900816
 01/01  23:00:00,484.80472246198127,314.5616960817352,799.3664185437165,2877719.106757379,952422.1058942466,180000.0,0.0,129726.35094255858,1563797.2907233383
 01/01  24:00:00,424.4950154134077,320.66321463724,745.1582300506478,2682569.6281823316,974387.5726940641,180000.0,0.0,61018.74828592609,1431320.2123734863
 01/02  01:00:00,396.8205982823055,323.54679389508925,720.3673921773948,2593322.611838621,984768.4580223213,180000.0,0.0,61018.74828592609,1341364.2569251778
 01/02  02:00:00,371.8328328799977,323.64522145372405,695.4780543337217,2503720.995601398,985122.7972334066,180000.0,0.0,61018.74828592609,1251408.3014768695
 01/02  03:00:00,365.67735868267425,323.82101801882675,689.498376701501,2482194.156125404,985755.6648677763,180000.0,0.0,61018.74828592609,1229248.594366505
 01/02  04:00:00,359.5218844853508,324.17648721012444,683.6983716954753,2461314.138103711,987035.3539564479,180000.0,0.0,61018.74828592609,1207088.8872561408
 01/02  05:00:00,358.9053194659641,324.71871785151757,683.6240373174817,2461046.534342934,988987.3842654633,180000.0,0.0,61018.74828592609,1204869.2531863486
 01/02  06:00:00,359.6985381042476,326.3990510976047,686.0975892018523,2469951.321126668,995036.5839513768,180000.0,0.0,61018.74828592609,1212845.282402577
 01/02  07:00:00,1650.912038035338,307.5846039552734,1958.4966419906114,7050587.911166201,927304.5742389841,180000.0,0.0,295744.09451485146,5627626.411951891
 01/02  08:00:00,420.4113642204727,320.4854801027093,740.896844323182,2667228.6395634552,973747.7283697535,180000.0,0.0,61018.74828592609,1433118.2704604566
 01/02  09:00:00,384.30484656497634,316.8669404978399,701.1717870628163,2524218.4334261385,960720.9857922235,180000.0,0.0,61018.74828592609,1303703.7449138265
 01/02  10:00:00,382.4068730444495,285.5400511282505,667.9469241727,2404608.9270217204,847944.1840617019,180000.0,0.0,61018.74828592609,1299715.7303057122
 01/02  11:00:00,380.8420780031354,254.72785850196738,635.5699365051026,2288051.77141837,737020.2906070825,180000.0,0.0,61018.74828592609,1297496.0962359195
 01/02  12:00:00,409.73580964422007,253.69236983810833,663.4281794823285,2388341.4461363824,733292.53141719,180000.0,0.0,61018.74828592609,1405496.0962359195
 01/02  13:00:00,381.6026065076172,212.74315046679118,594.3457569744083,2139644.7251078705,585875.3416804482,180000.0,0.0,61018.74828592609,1305923.3789836187
 01/02  14:00:00,381.44456817062934,188.18696436604353,569.6315325366728,2050673.5171320222,497473.0717177567,180000.0,0.0,61018.74828592609,1305923.3789836187
 01/02  15:00:00,381.44456817062934,172.14489041749573,553.5894585881251,1992922.05091725,439721.6055029846,180000.0,0.0,61018.74828592609,1305923.3789836187
 01/02  16:00:00,380.98604148823046,165.5233035429215,546.509345031152,1967433.6421121468,415883.8927545174,180000.0,0.0,61018.74828592609,1303703.7449138265
 01/02  17:00:00,400.558732439116,169.03393539349457,569.5926678326106,2050533.604197398,428522.16741658055,180000.0,0.0,61018.74828592609,1370182.8662449194
 01/02  18:00:00,423.5941919518425,172.66895854524734,596.2631504970898,2146547.341789523,441608.25076289044,180000.0,0.0,61018.74828592609,1442869.6362539188
