Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,332380,-,-,-,35.13,-111.66,-7,2141,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,
2018,1,1,0,30,2.1,1.44,0.02,0.62,0,0,0,0,0,-13.700000000000001,0,0,0,0,0.316,30.080000000000002,167.85,0.88,0.11,791,0.4,34,0.8,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,1,30,1.9000000000000001,1.47,0.019,0.62,0,0,0,0,0,-14,0,0,0,0,0.315,29.740000000000002,162.18,0.88,0.11,791,0.4,38,0.8,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,2,30,1.6,1.48,0.018000000000000002,0.62,0,0,0,0,0,-14.3,0,0,0,0,0.314,29.560000000000002,151.27,0.88,0.11,791,0.4,47,1,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,3,30,1.2000000000000002,1.48,0.017,0.62,0,0,0,0,0,-14.3,0,0,0,0,0.313,30.35,139.24,0.88,0.11,791,0.4,54,1.1,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,4,30,0.5,1.48,0.017,0.62,0,0,0,0,0,-14.3,0,0,0,0,0.314,32.05,126.98,0.88,0.11,791,0.4,49,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,5,30,-0.4,1.48,0.017,0.62,0,0,0,0,0,-14.100000000000001,0,0,0,0,0.315,34.9,114.84,0.88,0.11,791,0.4,44,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,6,30,-1.1,1.47,0.017,0.62,0,0,0,0,0,-13.8,0,0,0,0,0.316,37.45,103.02,0.89,0.11,791,0.4,46,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,7,30,-0.5,1.43,0.018000000000000002,0.62,4,45,3,0,4,-13.5,3,34,7,2,0.317,36.65,91.75,0.9,0.11,792,0.4,52,0.8,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,8,30,2.5,1.42,0.018000000000000002,0.62,32,703,139,6,4,-11,81,114,89,98,0.317,36.230000000000004,81.22,0.89,0.11,792,0.4,59,0.5,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,9,30,6.300000000000001,1.43,0.018000000000000002,0.62,42,895,318,0,0,-13,75,737,0,302,0.318,23.6,72.07000000000001,0.89,0.11,792,0.4,71,0.5,15.1701,11.7145,,,,,,,,,,,,,,,,
2018,1,1,10,30,9.600000000000001,1.43,0.018000000000000002,0.62,49,975,466,0,0,-13.8,72,881,0,449,0.319,17.66,64.69,0.9,0.11,793,0.4,161,0.4,24.0036,18.6885,,,,,,,,,,,,,,,,
2018,1,1,11,30,12.100000000000001,1.43,0.018000000000000002,0.62,53,1011,561,0,7,-14.600000000000001,139,692,0,487,0.319,14.030000000000001,59.81,0.9,0.11,792,0.4,255,0.5,26.8787,20.9954,,,,,,,,,,,,,,,,
2018,1,1,12,30,13.200000000000001,1.44,0.018000000000000002,0.62,53,1023,594,0,0,-14.9,53,1023,0,594,0.319,12.8,58.07,0.9,0.11,791,0.4,279,0.7000000000000001,33.1041,25.8815,,,,,,,,,,,,,,,,
2018,1,1,13,30,13.5,1.44,0.017,0.62,50,1006,556,0,0,-15.100000000000001,50,1006,0,556,0.319,12.26,59.77,0.89,0.11,791,0.5,297,0.8,30.6941,23.9762,,,,,,,,,,,,,,,,
2018,1,1,14,30,13.200000000000001,1.44,0.014,0.62,46,973,463,0,7,-15.5,108,721,0,417,0.319,12.17,64.61,0.9,0.11,790,0.5,312,0.8,22.3059,17.3678,,,,,,,,,,,,,,,,
2018,1,1,15,30,10.700000000000001,1.43,0.014,0.62,40,895,317,0,7,-15.3,88,639,0,286,0.319,14.56,71.96000000000001,0.9,0.11,790,0.5,323,0.8,14.3811,11.1070,,,,,,,,,,,,,,,,
2018,1,1,16,30,6.9,1.3900000000000001,0.013000000000000001,0.62,29,709,139,2,0,-8,38,622,21,134,0.318,33.730000000000004,81.10000000000001,0.9,0.11,791,0.5,331,1,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,17,30,4.6000000000000005,1.34,0.014,0.62,4,48,3,2,7,-10.8,2,0,29,2,0.318,31.82,91.61,0.9,0.11,791,0.5,344,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,18,30,3.5,1.29,0.014,0.62,0,0,0,0,7,-11.600000000000001,0,0,0,0,0.317,32.22,102.88,0.9,0.11,791,0.5,183,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,19,30,2.7,1.22,0.014,0.62,0,0,0,0,7,-12,0,0,0,0,0.315,33.11,114.69,0.9,0.11,791,0.5,18,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,20,30,2.1,1.16,0.015,0.62,0,0,0,0,4,-12.3,0,0,0,0,0.313,33.6,126.83,0.91,0.11,791,0.5,24,1.1,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,21,30,1.4000000000000001,1.1400000000000001,0.015,0.62,0,0,0,0,7,-12.5,0,0,0,0,0.311,34.81,139.08,0.91,0.11,791,0.5,22,1.1,0.0000,0.0000,,,,,,,,,,,,,,,,
2018,1,1,22,30,0.7000000000000001,1.1400000000000001,0.015,0.62,0,0,0,0,4,-12.5,0,0,0,0,0.31,36.62,151.11,0.9,0.11,791,0.5,15,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,
