Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,2827876.099891841,709753.1009732112,180000.0,0.0,80232.32718333328,1828315.4337631182
 01/01  02:00:00,2576216.8298472594,681636.98064761,180000.0,0.0,65512.01591498619,1619492.5953124852
 01/01  03:00:00,2599438.4549623434,739555.5970069274,180000.0,0.0,65512.01591498619,1584795.604068252
 01/01  04:00:00,2624190.764804039,799004.8980928565,180000.0,0.0,65512.01591498619,1550098.6128240186
 01/01  05:00:00,2980815.4505557884,1159397.1043595853,180000.0,0.0,65512.01591498619,1546331.0923090386
 01/01  06:00:00,3125679.191568644,1121104.5150027662,180000.0,0.0,112524.18118191452,1688261.7170150375
 01/01  07:00:00,3802851.7465812108,1092145.8903845067,180000.0,0.0,368339.3202507573,2139863.637488855
 01/01  08:00:00,4012242.6957116947,1167111.2953241975,180000.0,0.0,381932.4004760328,2261339.0414102892
 01/01  09:00:00,3831726.7466327953,1113821.8315562923,180000.0,0.0,376296.2452606747,2140391.6512705702
 01/01  10:00:00,3736390.5912783807,1064838.2127944783,180000.0,0.0,356735.4712779613,2116814.5884402674
 01/01  11:00:00,3903961.00515525,952200.4328431503,180000.0,0.0,404477.0213374653,2353138.871944462
 01/01  12:00:00,3836383.4907514825,920403.0036161914,180000.0,0.0,336180.08166900807,2390156.3061275296
 01/01  13:00:00,3630225.86928112,832645.327938774,180000.0,0.0,379280.0921393937,2230585.1697319495
 01/01  14:00:00,3405477.826316098,748748.2149441427,180000.0,0.0,324907.7712382918,2144749.5006185775
 01/01  15:00:00,3479118.238343668,700585.5696000984,180000.0,0.0,382263.9390181127,2209196.390210371
 01/01  16:00:00,3671955.0684202085,639957.7433624344,180000.0,0.0,416743.94739442127,2427538.09819235
 01/01  17:00:00,4284430.359709587,645966.285797425,180000.0,0.0,655120.1591498619,2791128.0555998785
 01/01  18:00:00,4666866.040737653,713658.8627377732,180000.0,0.0,864652.517744352,2884765.881886602
 01/01  19:00:00,5932749.198360798,737612.5827765771,180000.0,0.0,1299631.0849531675,3684001.472791124
 01/01  20:00:00,6273234.085482028,502867.30781889864,180000.0,0.0,1121594.8878562665,4426980.792672263
 01/01  21:00:00,5054258.436349007,621800.5813721705,180000.0,0.0,876587.9052592281,3317362.41372917
 01/01  22:00:00,4437239.371931661,708955.1619150203,180000.0,0.0,664403.2383280989,2816372.276317265
 01/01  23:00:00,3877331.9727048455,779217.6712478762,180000.0,0.0,449566.26306033036,2410040.5024082004
 01/01  24:00:00,3169692.2973977695,828272.8077050757,180000.0,0.0,118425.56723093658,2002488.7052389912
 01/02  01:00:00,2915430.6116352854,853098.2513801801,180000.0,0.0,70418.78633776856,1782338.335945159
 01/02  02:00:00,2763516.7795277433,868936.9303280937,180000.0,0.0,65512.01591498619,1619492.5953124852
 01/02  03:00:00,2744300.886137264,884418.0281818479,180000.0,0.0,65512.01591498619,1584795.604068252
 01/02  04:00:00,2727658.3489042893,902472.4821931064,180000.0,0.0,65512.01591498619,1550098.6128240186
 01/02  05:00:00,3143763.502565826,1208457.8064772363,180000.0,0.0,66970.7855001377,1658759.6726162734
 01/02  06:00:00,3089250.078797503,1134429.2734711007,180000.0,0.0,99130.02408188698,1651902.0028755895
 01/02  07:00:00,3472147.6169318566,1099111.2591569596,180000.0,0.0,267220.06491639104,1903313.394401414
 01/02  08:00:00,4221378.764269622,1116884.9438855976,180000.0,0.0,488024.73394159746,2414609.1279412527
 01/02  09:00:00,3973673.421581849,1050782.2037466886,180000.0,0.0,461501.6505752064,2260172.5487146964
 01/02  10:00:00,4052088.118782793,1027222.7451434789,180000.0,0.0,327560.07957493095,2499302.9752987092
 01/02  11:00:00,19247881.163513105,979051.6843812059,180000.0,0.0,461501.6505752064,17613183.14952652
 01/02  12:00:00,4140968.6644685203,940808.1136023182,180000.0,0.0,389889.3254859502,2620627.126041498
 01/02  13:00:00,3764271.3746808944,796437.0353160901,180000.0,0.0,379280.0921393937,2400838.967754408
 01/02  14:00:00,3594376.7181577627,772300.18207412,180000.0,0.0,376627.7838027546,2258376.4127658014
 01/02  15:00:00,3195875.100137939,758698.8828828189,180000.0,0.0,250643.1378123965,1999460.7399276386
 01/02  16:00:00,3172225.7013342967,762729.1116347471,180000.0,0.0,241360.05863415968,1980421.2515943872
 01/02  17:00:00,4512575.417302763,781600.8366735957,180000.0,0.0,287112.37744118436,3251646.3440255616
 01/02  18:00:00,4981384.47619855,794729.7071622218,180000.0,0.0,614672.4570161154,3368193.5336512867
