Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,3001026.995801203,882903.9968825734,180000.0,0.0,80232.32718333328,1828315.4337631182
 01/01  02:00:00,2786970.013238446,892390.1640387964,180000.0,0.0,65512.01591498619,1619492.5953124852
 01/01  03:00:00,2771911.768518367,912028.9105629508,180000.0,0.0,65512.01591498619,1584795.604068252
 01/01  04:00:00,2749496.5606389996,924310.6939278173,180000.0,0.0,65512.01591498619,1550098.6128240186
 01/01  05:00:00,3070897.4857492964,1249479.1395530936,180000.0,0.0,65512.01591498619,1546331.0923090386
 01/01  06:00:00,3175332.1779811066,1170757.5014152285,180000.0,0.0,112524.18118191452,1688261.7170150375
 01/01  07:00:00,3822827.104278785,1112121.2480820813,180000.0,0.0,368339.3202507573,2139863.637488855
 01/01  08:00:00,4009920.940578901,1164789.540191404,180000.0,0.0,381932.4004760328,2261339.0414102892
 01/01  09:00:00,3805490.3391423244,1087585.4240658213,180000.0,0.0,376296.2452606747,2140391.6512705702
 01/01  10:00:00,3710917.849437556,1039365.470953654,180000.0,0.0,356735.4712779613,2116814.5884402674
 01/01  11:00:00,3884325.0231675487,932564.4508554495,180000.0,0.0,404477.0213374653,2353138.871944462
 01/01  12:00:00,3806459.892983898,890479.4058486071,180000.0,0.0,336180.08166900807,2390156.3061275296
 01/01  13:00:00,3605835.3297079788,808254.7883656328,180000.0,0.0,379280.0921393937,2230585.1697319495
 01/01  14:00:00,3412998.3620390957,756268.7506671407,180000.0,0.0,324907.7712382918,2144749.5006185775
 01/01  15:00:00,3509855.3694957015,731322.7007521321,180000.0,0.0,382263.9390181127,2209196.390210371
 01/01  16:00:00,3734771.389501569,702774.064443795,180000.0,0.0,416743.94739442127,2427538.09819235
 01/01  17:00:00,4376243.524193965,737779.4502818033,180000.0,0.0,655120.1591498619,2791128.0555998785
 01/01  18:00:00,4791216.465156642,838009.2871567621,180000.0,0.0,864652.517744352,2884765.881886602
 01/01  19:00:00,6075911.51338557,880774.8978013489,180000.0,0.0,1299631.0849531675,3684001.472791124
 01/01  20:00:00,6415978.001242789,645611.2235796598,180000.0,0.0,1121594.8878562665,4426980.792672263
 01/01  21:00:00,5193634.716178981,761176.8612021436,180000.0,0.0,876587.9052592281,3317362.41372917
 01/01  22:00:00,4554392.50511899,826108.29510235,180000.0,0.0,664403.2383280989,2816372.276317265
 01/01  23:00:00,3969921.1313064494,871806.8298494797,180000.0,0.0,449566.26306033036,2410040.5024082004
 01/01  24:00:00,3256713.1274814056,915293.6377887124,180000.0,0.0,118425.56723093658,2002488.7052389912
 01/02  01:00:00,3013365.093862631,951032.7336075256,180000.0,0.0,70418.78633776856,1782338.335945159
 01/02  02:00:00,2868544.658321023,973964.8091213731,180000.0,0.0,65512.01591498619,1619492.5953124852
 01/02  03:00:00,2841610.5205708845,981727.6626154684,180000.0,0.0,65512.01591498619,1584795.604068252
 01/02  04:00:00,2814989.353978396,989803.4872672132,180000.0,0.0,65512.01591498619,1550098.6128240186
 01/02  05:00:00,3240376.7170246528,1305071.020936063,180000.0,0.0,66970.7855001377,1658759.6726162734
 01/02  06:00:00,3194518.716255917,1239697.910929515,180000.0,0.0,99130.02408188698,1651902.0028755895
 01/02  07:00:00,3581202.59855249,1208166.2407775926,180000.0,0.0,267220.06491639104,1903313.394401414
 01/02  08:00:00,4326976.842922898,1222483.022538872,180000.0,0.0,488024.73394159746,2414609.1279412527
 01/02  09:00:00,4035722.5935918526,1112831.3757566924,180000.0,0.0,461501.6505752064,2260172.5487146964
 01/02  10:00:00,4047655.759656785,1022790.3860174711,180000.0,0.0,327560.07957493095,2499302.9752987092
 01/02  11:00:00,19184166.01999082,915336.5408589211,180000.0,0.0,461501.6505752064,17613183.14952652
 01/02  12:00:00,4026539.1362370234,826378.5853708221,180000.0,0.0,389889.3254859502,2620627.126041498
 01/02  13:00:00,3621000.2953559086,653165.9559911045,180000.0,0.0,379280.0921393937,2400838.967754408
 01/02  14:00:00,3417989.154321636,595912.6182379941,180000.0,0.0,376627.7838027546,2258376.4127658014
 01/02  15:00:00,3007146.310432485,569970.0931773642,180000.0,0.0,250643.1378123965,1999460.7399276386
 01/02  16:00:00,3005105.08127609,595608.4915765404,180000.0,0.0,241360.05863415968,1980421.2515943872
 01/02  17:00:00,4411713.126116534,680738.5454873664,180000.0,0.0,287112.37744118436,3251646.3440255616
 01/02  18:00:00,4921924.877260303,735270.1082239752,180000.0,0.0,614672.4570161154,3368193.5336512867
 01/02  19:00:00,4792615.704467868,773575.3738160108,180000.0,0.0,929634.0719920106,2877902.200819918
 01/02  20:00:00,4285021.431050587,534235.9079138302,180000.0,0.0,810280.1968432502,2718714.2291589077
 01/02  21:00:00,5119766.062294011,618912.2592505544,180000.0,0.0,927644.840739531,3334701.426315486
 01/02  22:00:00,9887997.923746422,667044.6097974455,180000.0,0.0,814258.6593482088,8159185.959229492
 01/02  23:00:00,3934536.0051009515,702888.578349871,180000.0,0.0,513221.66313966917,2479918.227622973
 01/02  24:00:00,3160470.988480402,747824.5161107706,180000.0,0.0,118425.56723093658,2073715.6879159291
 01/03  01:00:00,4255891.48196126,769019.4681673909,180000.0,0.0,70418.78633776856,3206877.9894839223
 01/03  02:00:00,3123270.4312039516,801328.6859426734,180000.0,0.0,65512.01591498619,2046854.4913741143
 01/03  03:00:00,2684395.241552768,824512.3835973516,180000.0,0.0,65512.01591498619,1584795.604068252
 01/03  04:00:00,2666519.028489607,841333.161778424,180000.0,0.0,65512.01591498619,1550098.6128240186
 01/03  05:00:00,2980006.916020685,1158588.5698244828,180000.0,0.0,65512.01591498619,1546331.0923090386
 01/03  06:00:00,2906256.965740922,1078253.2908562706,180000.0,0.0,65512.01591498619,1558702.8806007397
 01/03  07:00:00,3306562.2595784483,1053081.3548426272,180000.0,0.0,186324.66064889796,1864653.345629831
 01/03  08:00:00,5721625.427114017,1061760.8247298491,180000.0,0.0,541070.9006743798,3916933.7432086123
 01/03  09:00:00,4462277.46020296,975133.1176822379,180000.0,0.0,518526.2798129474,2767401.0441625174
 01/03  10:00:00,3880967.7774189804,895192.828408483,180000.0,0.0,502612.42979311256,2285160.2004517117
 01/03  11:00:00,3548130.732593742,785541.046973263,180000.0,0.0,404477.0213374653,2163967.9852528414
 01/03  12:00:00,3518975.1142346943,707804.3198252283,180000.0,0.0,363034.7035774791,2258491.9914932335
 01/03  13:00:00,3104857.6884936998,587971.0309518971,180000.0,0.0,274513.9128421486,2054657.4652286514
 01/03  14:00:00,3035811.5058233407,519221.79851141386,180000.0,0.0,273187.7586738291,2056329.6091230118
 01/03  15:00:00,9208376.226391211,488501.7888303852,180000.0,0.0,277166.2211787877,8255635.876866954
 01/03  16:00:00,18122485.946558274,513756.24913209624,180000.0,0.0,299710.8420402203,17121303.575914953
 01/03  17:00:00,3597026.6914561517,566119.2077842698,180000.0,0.0,471116.26829552324,2367575.356213937
 01/03  18:00:00,4317462.05259063,622899.9695649496,180000.0,0.0,714465.5581821622,2776307.746474592
 01/03  19:00:00,6716054.578117327,648727.2568233344,180000.0,0.0,1237964.916126308,4617858.347327755
 01/03  20:00:00,5334842.879949011,442450.8030139109,180000.0,0.0,1183592.5952252059,3487008.3845752943
 01/03  21:00:00,4728435.717540509,544057.2136849319,180000.0,0.0,978701.7762198341,2967169.1916473038
 01/03  22:00:00,4494119.646961012,598117.4588512176,180000.0,0.0,739330.9488381539,2909162.543900364
 01/03  23:00:00,3410377.4653454735,647033.5878445318,180000.0,0.0,289433.14723574364,2235403.194276759
 01/03  24:00:00,3023827.4636535747,682407.9739608816,180000.0,0.0,118425.56723093658,2002488.7052389912
 01/04  01:00:00,2738869.644306194,704432.6033828501,180000.0,0.0,65512.01591498619,1759349.7870361793
 01/04  02:00:00,2610672.094770282,716092.2455706323,180000.0,0.0,65512.01591498619,1619492.5953124852
 01/04  03:00:00,2582643.795847481,722760.9378920647,180000.0,0.0,65512.01591498619,1584795.604068252
 01/04  04:00:00,2603865.641439841,736214.3473821962,180000.0,0.0,65512.01591498619,1592564.0401704807
 01/04  05:00:00,2878734.7722630533,1040667.7690119803,180000.0,0.0,65876.70831127407,1562615.056967621
 01/04  06:00:00,2885703.6403340446,955759.7706273803,180000.0,0.0,92432.9455318732,1633722.1458058655
 01/04  07:00:00,3102788.7263101805,920534.8042512975,180000.0,0.0,186324.66064889796,1793426.362952893
 01/04  08:00:00,9317137.565211542,927951.9997674492,180000.0,0.0,329549.31082741026,7857776.296115508
 01/04  09:00:00,3924019.007751723,864236.5612926288,180000.0,0.0,518526.2798129474,2340039.148100889
 01/04  10:00:00,3688997.5421776585,840261.8745792962,180000.0,0.0,444261.646387052,2206471.702445637
 01/04  11:00:00,3433491.1087690378,806027.4798488682,180000.0,0.0,348115.4691838841,2085203.4807061134
 01/04  12:00:00,3388348.241180418,783015.5997171063,180000.0,0.0,282470.8378520659,2133217.7042724923
 01/04  13:00:00,3337810.677978581,680577.0785365065,180000.0,0.0,326897.0024907711,2142621.3174803006
 01/04  14:00:00,3374547.75662521,577678.2411932264,180000.0,0.0,376627.7838027546,2233169.392114143
 01/04  15:00:00,3305577.5649944716,526801.4755614242,180000.0,0.0,381932.4004760328,2209771.3494419283
 01/04  16:00:00,3151230.1245805314,515426.7139397718,180000.0,0.0,299710.8420402203,2148377.2891295366
 01/04  17:00:00,3399640.322579852,563070.3897758573,180000.0,0.0,360713.9337829199,2283640.1398586533
 01/04  18:00:00,3816675.9849995226,633957.5884928869,180000.0,0.0,515210.8943921485,2463718.7237455607
 01/04  19:00:00,4376094.672137809,659600.5923776589,180000.0,0.0,744635.565511432,2760354.4564087884
 01/04  20:00:00,5948233.795061282,416029.7102068818,180000.0,0.0,997267.934576308,4313145.053143491
 01/04  21:00:00,5757647.516954773,518846.4797280213,180000.0,0.0,876587.9052592281,4123705.5959790833
 01/04  22:00:00,19702043.541589715,603346.6751164467,180000.0,0.0,664403.2383280989,18186784.932773896
 01/04  23:00:00,14303963.012275636,639002.5464116528,180000.0,0.0,449234.72451825044,12977218.205357293
 01/04  24:00:00,3235481.628530762,659930.1420003886,180000.0,0.0,197596.97107961425,2157449.298227994
 01/05  01:00:00,2830241.617135637,684223.2988852453,180000.0,0.0,85139.09760611564,1851303.9826720979
 01/05  02:00:00,2603122.265676251,708542.4164766015,180000.0,0.0,65512.01591498619,1619492.5953124852
 01/05  03:00:00,2594965.460636572,735082.602681156,180000.0,0.0,65512.01591498619,1584795.604068252
 01/05  04:00:00,2586015.787652409,760829.9209412264,180000.0,0.0,65512.01591498619,1550098.6128240186
 01/05  05:00:00,2975621.2703193417,1087608.2959036576,180000.0,0.0,66970.7855001377,1611466.9509433683
 01/05  06:00:00,2950664.821426757,1020720.9517200924,180000.0,0.0,92432.9455318732,1633722.1458058655
 01/05  07:00:00,3180851.120577356,970452.3807953695,180000.0,0.0,145876.9585151514,1862018.882809743
 01/05  08:00:00,4548469.754441032,965143.642071671,180000.0,0.0,303357.766003099,3078108.387865088
 01/05  09:00:00,4866485.500957767,906240.4537254253,180000.0,0.0,291753.9170303028,3467274.11165678
 01/05  10:00:00,3576984.026993091,838719.2596392196,180000.0,0.0,356735.4712779612,2183526.9773102365
 01/05  11:00:00,3231228.784211611,738891.21199175,180000.0,0.0,291753.9170303028,2006438.9761593854
 01/05  12:00:00,3269138.6068530916,663805.96538978,180000.0,0.0,282470.8378520659,2133217.7042724923
 01/05  13:00:00,3059703.3416506597,542816.6841088573,180000.0,0.0,274513.9128421486,2054657.4652286514
 01/05  14:00:00,3001312.7888193377,484723.08150741074,180000.0,0.0,273187.7586738291,2056329.6091230118
 01/05  15:00:00,3151371.7150985594,480727.3261161082,180000.0,0.0,329549.31082741026,2154022.7386399554
 01/05  16:00:00,3575190.652411162,471042.7065731912,180000.0,0.0,445919.33909745154,2470513.327269516
 01/05  17:00:00,4291207.3560472,559281.1065954575,180000.0,0.0,765522.4936624651,2774187.896626856
 01/05  18:00:00,5004262.544823644,608850.0864886977,180000.0,0.0,1064901.7971606054,3126721.8828054154
 01/05  19:00:00,5412583.25163962,644808.5321170284,180000.0,0.0,1299631.0849531675,3256639.576729495
 01/05  20:00:00,5537837.018302085,407038.8278687765,180000.0,0.0,1307588.0099630845,3601419.0833356236
 01/05  21:00:00,6302844.209857961,490782.4683264778,180000.0,0.0,1080815.6471804401,4492738.558362604
 01/05  22:00:00,4349475.171472032,549963.9787784531,180000.0,0.0,664403.2383280989,2887599.258994203
 01/05  23:00:00,3360550.9085507784,597207.031049836,180000.0,0.0,289433.14723574364,2235403.194276759
 01/05  24:00:00,2973206.3987867683,631786.9090940747,180000.0,0.0,118425.56723093658,2002488.7052389912
 01/06  01:00:00,2695982.6940428214,661545.6531194779,180000.0,0.0,65512.01591498619,1759349.7870361793
 01/06  02:00:00,2575018.6083091088,680438.7591094587,180000.0,0.0,65512.01591498619,1619492.5953124852
 01/06  03:00:00,2584084.3586895727,691820.4721289917,180000.0,0.0,65512.01591498619,1617819.5726293335
 01/06  04:00:00,2540822.389154781,702124.3199506947,180000.0,0.0,65512.01591498619,1564253.7552728392
 01/06  05:00:00,2832381.299274671,1010962.9530784677,180000.0,0.0,65512.01591498619,1546331.0923090386
 01/06  06:00:00,2869872.5119928387,934785.1226388391,180000.0,0.0,92432.9455318732,1633722.1458058655
 01/06  07:00:00,3077715.287074855,908707.4017222016,180000.0,0.0,166100.8095820247,1794617.7177102845
 01/06  08:00:00,5205453.370454866,884771.5734343457,180000.0,0.0,329549.31082741026,3784771.9480005167
 01/06  09:00:00,7879807.564967368,822130.2405398533,180000.0,0.0,376296.2452606747,6478235.24075383
