Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,538.3674996996193,471.2415164907573,1009.6090161903767,3634592.458285356,1516469.4593667262,180000.0,0.0,80232.32718333328,1828315.4337631182
 01/01  02:00:00,476.272180333236,482.4365363153541,958.7087166485901,3451351.3799349247,1556771.5307352748,180000.0,0.0,65512.01591498619,1619492.5953124852
 01/01  03:00:00,466.63412720983786,487.5276643052811,954.1617915151189,3434982.449454428,1575099.591499012,180000.0,0.0,65512.01591498619,1584795.604068252
 01/01  04:00:00,456.99607408643965,492.2485871060195,949.2446611924591,3417280.7802928532,1592094.9135816703,180000.0,0.0,65512.01591498619,1550098.6128240186
 01/01  05:00:00,455.9495406100563,567.875,1023.8245406100564,3685768.3461962026,1864350.0,180000.0,0.0,65512.01591498619,1546331.0923090386
 01/01  06:00:00,506.82629904607717,567.875,1074.7012990460773,3868924.676565878,1864350.0,180000.0,0.0,112524.18118191452,1688261.7170150375
 01/01  07:00:00,702.973848943529,559.8755259837418,1262.8493749272707,4546257.7497381745,1835551.8935414706,180000.0,0.0,368339.3202507573,2139863.637488855
 01/01  08:00:00,740.3142778854159,567.875,1308.1892778854158,4709481.400387498,1864350.0,180000.0,0.0,381932.4004760328,2261339.0414102892
 01/01  09:00:00,704.9735875212509,549.8696822738144,1254.8432697950652,4517435.771262234,1799530.8561857315,180000.0,0.0,376296.2452606747,2140391.6512705702
 01/01  10:00:00,692.097882912195,521.5001206494019,1213.598003561597,4368952.812821748,1697400.4343378465,180000.0,0.0,356735.4712779613,2116814.5884402674
 01/01  11:00:00,769.9334923089165,474.22319831984953,1244.156690628766,4478964.086263558,1527203.5139514585,180000.0,0.0,404477.0213374653,2353138.871944462
 01/01  12:00:00,759.9945797598031,458.79787374073095,1218.792453500534,4387652.832601923,1471672.3454666315,180000.0,0.0,336180.08166900807,2390156.3061275296
 01/01  13:00:00,727.1057059284294,426.2298720836458,1153.335578012075,4152008.08084347,1354427.5395011248,180000.0,0.0,379280.0921393937,2230585.1697319495
 01/01  14:00:00,687.980447603321,404.3871704529631,1092.367618056284,3932523.425002623,1275793.813630667,180000.0,0.0,324907.7712382918,2144749.5006185775
 01/01  15:00:00,721.8146302065471,392.2604391006006,1114.0750693071477,4010670.2495057313,1232137.5807621619,180000.0,0.0,382263.9390181127,2209196.390210371
 01/01  16:00:00,792.221479182715,387.05657288839103,1179.278052071106,4245400.987455982,1213403.6623982077,180000.0,0.0,416743.94739442127,2427538.09819235
 01/01  17:00:00,960.6844649756005,410.41789907358924,1371.1023640491896,4935968.510577084,1297504.4366649212,180000.0,0.0,655120.1591498619,2791128.0555998785
 01/01  18:00:00,1048.1131049999665,448.10217705969995,1496.2152820596664,5386375.0154148,1433167.8374149199,180000.0,0.0,864652.517744352,2884765.881886602
 01/01  19:00:00,1393.09350432895,466.7309448797672,1859.8244492087172,6695368.017151383,1500231.401567162,180000.0,0.0,1299631.0849531675,3684001.472791124
 01/01  20:00:00,1552.8796604619804,398.47850937766435,1951.358169839645,7024889.411422722,1254522.6337595917,180000.0,0.0,1121594.8878562665,4426980.792672263
 01/01  21:00:00,1181.2382930491215,438.35068713489727,1619.588980184019,5830520.328662468,1398062.4736856304,180000.0,0.0,876587.9052592281,3317362.41372917
 01/01  22:00:00,985.6345027824,460.2409813090026,1445.8754840914025,5205151.742729049,1476867.5327124093,180000.0,0.0,664403.2383280989,2816372.276317265
