Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,538.3674996996193,295.2511102451593,833.6186099447787,3001026.995801203,882903.9968825734,180000.0,0.0,80232.32718333328,1828315.4337631182
 01/01  02:00:00,476.272180333236,297.88615667744347,774.1583370106794,2786970.013238446,892390.1640387964,180000.0,0.0,65512.01591498619,1619492.5953124852
 01/01  03:00:00,466.63412720983786,303.3413640452641,769.975491255102,2771911.768518367,912028.9105629508,180000.0,0.0,65512.01591498619,1584795.604068252
 01/01  04:00:00,456.99607408643965,306.75297053550474,763.7490446219443,2749496.5606389996,924310.6939278173,180000.0,0.0,65512.01591498619,1550098.6128240186
 01/01  05:00:00,455.9495406100563,397.07753876474817,853.0270793748044,3070897.4857492964,1249479.1395530936,180000.0,0.0,65512.01591498619,1546331.0923090386
 01/01  06:00:00,506.82629904607717,375.21041705978575,882.036716105863,3175332.1779811066,1170757.5014152285,180000.0,0.0,112524.18118191452,1688261.7170150375
 01/01  07:00:00,702.973848943529,358.92256891168927,1061.8964178552183,3822827.104278785,1112121.2480820813,180000.0,0.0,368339.3202507573,2139863.637488855
 01/01  08:00:00,740.3142778854159,373.55265005316784,1113.8669279385836,4009920.940578901,1164789.540191404,180000.0,0.0,381932.4004760328,2261339.0414102892
 01/01  09:00:00,704.9735875212509,352.1070622405059,1057.0806497617566,3805490.3391423244,1087585.4240658213,180000.0,0.0,376296.2452606747,2140391.6512705702
 01/01  10:00:00,692.097882912195,338.7126308204595,1030.8105137326545,3710917.849437556,1039365.470953654,180000.0,0.0,356735.4712779613,2116814.5884402674
 01/01  11:00:00,769.9334923089165,309.04568079318045,1078.9791731020969,3884325.0231675487,932564.4508554495,180000.0,0.0,404477.0213374653,2353138.871944462
 01/01  12:00:00,759.9945797598031,297.355390513502,1057.3499702733052,3806459.892983898,890479.4058486071,180000.0,0.0,336180.08166900807,2390156.3061275296
 01/01  13:00:00,727.1057059284294,274.5152189904535,1001.6209249188829,3605835.3297079788,808254.7883656328,180000.0,0.0,379280.0921393937,2230585.1697319495
 01/01  14:00:00,687.980447603321,260.07465296309465,948.0551005664156,3412998.3620390957,756268.7506671407,180000.0,0.0,324907.7712382918,2144749.5006185775
 01/01  15:00:00,721.8146302065471,253.14519465337005,974.959824859917,3509855.3694957015,731322.7007521321,180000.0,0.0,382263.9390181127,2209196.390210371
 01/01  16:00:00,792.221479182715,245.21501790105413,1037.4364970837692,3734771.389501569,702774.064443795,180000.0,0.0,416743.94739442127,2427538.09819235
 01/01  17:00:00,960.6844649756005,254.9387361893898,1215.6232011649902,4376243.524193965,737779.4502818033,180000.0,0.0,655120.1591498619,2791128.0555998785
 01/01  18:00:00,1048.1131049999665,282.78035754354505,1330.8934625435113,4791216.465156642,838009.2871567621,180000.0,0.0,864652.517744352,2884765.881886602
 01/01  19:00:00,1393.09350432895,294.65969383370805,1687.7531981626582,6075911.51338557,880774.8978013489,180000.0,0.0,1299631.0849531675,3684001.472791124
 01/01  20:00:00,1552.8796604619804,229.33645099434997,1782.2161114563305,6415978.001242789,645611.2235796598,180000.0,0.0,1121594.8878562665,4426980.792672263
 01/01  21:00:00,1181.2382930491215,261.43801700059544,1442.676310049717,5193634.716178981,761176.8612021436,180000.0,0.0,876587.9052592281,3317362.41372917
 01/01  22:00:00,985.6345027824,279.4745264173194,1265.1090291997193,4554392.50511899,826108.29510235,180000.0,0.0,664403.2383280989,2816372.276317265
 01/01  23:00:00,810.5873059602693,292.1685638470777,1102.7558698073472,3969921.1313064494,871806.8298494797,180000.0,0.0,449566.26306033036,2410040.5024082004
 01/01  24:00:00,600.3943026924148,304.24823271908673,904.6425354115015,3256713.1274814056,915293.6377887124,180000.0,0.0,118425.56723093658,2002488.7052389912
 01/02  01:00:00,522.8701000708627,314.1757593354238,837.0458594062865,3013365.093862631,951032.7336075256,180000.0,0.0,70418.78633776856,1782338.335945159
 01/02  02:00:00,476.272180333236,320.54578031149254,796.8179606447286,2868544.658321023,973964.8091213731,180000.0,0.0,65512.01591498619,1619492.5953124852
 01/02  03:00:00,466.63412720983786,322.7021285042968,789.3362557141345,2841610.5205708845,981727.6626154684,180000.0,0.0,65512.01591498619,1584795.604068252
 01/02  04:00:00,456.99607408643965,324.9454131297814,781.941487216221,2814989.353978396,989803.4872672132,180000.0,0.0,65512.01591498619,1550098.6128240186
 01/02  05:00:00,487.58491558016374,412.51972803779535,900.104643617959,3240376.7170246528,1305071.020936063,180000.0,0.0,66970.7855001377,1658759.6726162734
 01/02  06:00:00,493.005779257334,394.36053081375417,887.3663100710883,3194518.716255917,1239697.910929515,180000.0,0.0,99130.02408188698,1651902.0028755895
 01/02  07:00:00,609.1767660485825,385.6017335493313,994.7784995979139,3581202.59855249,1208166.2407775926,180000.0,0.0,267220.06491639104,1903313.394401414
 01/02  08:00:00,812.359394551118,389.5786173719089,1201.9380119230268,4326976.842922898,1222483.022538872,180000.0,0.0,488024.73394159746,2414609.1279412527
 01/02  09:00:00,761.9142271764335,359.1198265990812,1121.0340537755146,4035722.5935918526,1112831.3757566924,180000.0,0.0,461501.6505752064,2260172.5487146964
 01/02  10:00:00,790.2403815664761,334.1084405604086,1124.348822126885,4047655.759656785,1022790.3860174711,180000.0,0.0,327560.07957493095,2499302.9752987092
 01/02  11:00:00,5024.674855314417,304.26015023858923,5328.935005553006,19184166.01999082,915336.5408589211,180000.0,0.0,461501.6505752064,17613183.14952652
 01/02  12:00:00,838.9334863517228,279.5496070474506,1118.4830933991734,4026539.1362370234,826378.5853708221,180000.0,0.0,389889.3254859502,2620627.126041498
 01/02  13:00:00,774.3984276013347,231.4349877753068,1005.8334153766414,3621000.2953559086,653165.9559911045,180000.0,0.0,379280.0921393937,2400838.967754408
 01/02  14:00:00,733.9101489121228,215.53128284388725,949.4414317560102,3417989.154321636,595912.6182379941,180000.0,0.0,376627.7838027546,2258376.4127658014
 01/02  15:00:00,626.993393681978,208.32502588260115,835.318419564579,3007146.310432485,569970.0931773642,180000.0,0.0,250643.1378123965,1999460.7399276386
 01/02  16:00:00,619.304608249875,215.44680321570564,834.7514114655808,3005105.08127609,595608.4915765404,180000.0,0.0,241360.05863415968,1980421.2515943872
