Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1492896,-,-,-,18.37,-66.1,-4,42,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
,Temperature,coszen,DHI,DNI,GHI,Surface Albedo,Pressure,time_index,Wind Direction,Wind Speed,Year,Month,Day,Hour,Minute,Dew Point,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25.01,-0.99252295,0,0,0,0.14680928,1013.8,b'2018-01-01 04:00:00+00:00',106.57,1.92,2018,1,1,0,30,23.3,88.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24.35,-0.98510695,0,0,0,0.14680928,1013.9,b'2018-01-01 05:00:00+00:00',143.69,2.28,2018,1,1,1,30,23.3,88.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24.39,-0.9189733,0,0,0,0.14680928,1013.4,b'2018-01-01 06:00:00+00:00',131.65,1.26,2018,1,1,2,30,23.2,88.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24.54,-0.7986694,0,0,0,0.14680928,1013.3,b'2018-01-01 07:00:00+00:00',122.58,1.67,2018,1,1,3,30,23.1,87.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24.59,-0.63234353,0,0,0,0.14680928,1012.9,b'2018-01-01 08:00:00+00:00',98.75,2.6,2018,1,1,4,30,22.9,87.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,25.11,-0.43134862,0,0,0,0.14680928,1012.6,b'2018-01-01 09:00:00+00:00',93.44,3.35,2018,1,1,5,30,22.6,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,25,-0.20935698,0,0,0,0.14680928,1013.1,b'2018-01-01 10:00:00+00:00',102.8,3.57,2018,1,1,6,30,22.5,83.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,24.67,0.018494217,0.30441284,0,0.30441284,0.14680928,1013.3,b'2018-01-01 11:00:00+00:00',110.09,2.26,2018,1,1,7,30,22.6,81.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24.99,0.23670156,85.89076,167.70464,125.586716,0.14680928,1013.9,b'2018-01-01 12:00:00+00:00',97.23,2.37,2018,1,1,8,30,22.8,79.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25.91,0.43043306,99.18021,645.3375,376.9547,0.14680928,1014.2,b'2018-01-01 13:00:00+00:00',88.88,4.25,2018,1,1,9,30,22.5,74.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,26.25,0.58644366,259.66458,168.15791,358.27972,0.14680928,1014.5,b'2018-01-01 14:00:00+00:00',90.17,4.57,2018,1,1,10,30,22.2,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,26.92,0.6941435,221.56113,583.1054,626.31995,0.14680928,1014.8,b'2018-01-01 15:00:00+00:00',90.22,4.29,2018,1,1,11,30,22,70.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,27.12,0.74617755,239.0305,607.65076,692.4459,0.14680928,1014,b'2018-01-01 16:00:00+00:00',91.14,4.3,2018,1,1,12,30,22,69.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27.03,0.7390057,248.76407,568.14984,668.63,0.14680928,1013.4,b'2018-01-01 17:00:00+00:00',82.48,4.53,2018,1,1,13,30,21.9,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
