Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,605.2388293440607,433.6453907998566,1038.8842201439174,3739983.1925181025,1381123.4068794837,180000.0,0.0,146007.52502587435,1979158.2356079787
 01/01  02:00:00,607.0604476283265,414.62798351672046,1021.6884311450469,3678078.3521221695,1312660.7406601938,180000.0,0.0,146007.52502587435,1985716.0614313358
 01/01  03:00:00,571.2713907468594,415.27204650313826,986.5434372499976,3551556.374099992,1314979.3674112975,180000.0,0.0,146007.52502587435,1856875.4566580541
 01/01  04:00:00,603.0930090311252,413.93798382358096,1017.0309928547063,3661311.574276942,1310176.7417648914,180000.0,0.0,146007.52502587435,1971433.282481411
 01/01  05:00:00,722.8085050308449,410.6342443206481,1133.4427493514931,4080393.897665375,1298283.2795543333,180000.0,0.0,146007.52502587435,2402409.0680804015
 01/01  06:00:00,899.4251924366356,409.890915342045,1309.3161077786806,4713537.98800325,1295607.2952313619,180000.0,0.0,220791.8671122978,2973950.1533731488
 01/01  07:00:00,985.5297510391448,403.278084507151,1388.8078355462958,4999708.207966665,1271801.1042257436,180000.0,0.0,596494.1571179013,2910558.7971628723
 01/01  08:00:00,702.1378840733896,400.7305155971022,1102.868399670492,3970326.238813771,1262629.856149568,180000.0,0.0,440990.20770010015,2047019.2869171018
 01/01  09:00:00,573.0074379840746,404.5101517255846,977.5175897096592,3519063.322954773,1276236.5462121046,180000.0,0.0,146007.52502587435,1878299.6250829406
 01/01  10:00:00,537.580903994059,405.2682009828441,942.8491049769032,3394256.7779168515,1278965.5235382388,180000.0,0.0,146007.52502587435,1756600.4097846197
 01/01  11:00:00,506.6074789405868,408.19663803507325,914.8041169756601,3293294.8211123766,1289507.8969262638,180000.0,0.0,146007.52502587435,1652099.6480710024
 01/01  12:00:00,771.7401609781542,398.0432788807598,1169.7834398589139,4211220.383492091,1252955.803970735,180000.0,0.0,747843.4208642343,2012912.2374599143
 01/01  13:00:00,775.0199340731393,385.58449453029743,1160.6044286034369,4178175.9429723723,1208104.1803090707,180000.0,0.0,730037.6251293716,2046027.000576165
 01/01  14:00:00,773.4029792000964,374.2871348817612,1147.6901140818575,4131684.410694687,1167433.6855743402,180000.0,0.0,724102.3598844174,2047308.4896913117
 01/01  15:00:00,836.7848746474199,357.232997134904,1194.017871782324,4298464.338416366,1106038.7896856542,180000.0,0.0,727069.9925068945,2272515.680679199
 01/01  16:00:00,1082.0923993968995,349.6618374514744,1431.754236848374,5154315.252654146,1078782.6148253079,180000.0,0.0,747843.4208642343,3133682.080006839
