Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,4228732.419452848,1869872.63381423,180000.0,0.0,146007.52502587435,1979158.2356079787
 01/01  02:00:00,4071290.114678351,1705872.503216376,180000.0,0.0,146007.52502587435,1985716.0614313358
 01/01  03:00:00,3945972.5643393258,1709395.5576506318,180000.0,0.0,146007.52502587435,1856875.4566580541
 01/01  04:00:00,4069349.215115657,1718214.3826036062,180000.0,0.0,146007.52502587435,1971433.282481411
 01/01  05:00:00,4505275.968200967,1723165.3500899244,180000.0,0.0,146007.52502587435,2402409.0680804015
 01/01  06:00:00,5163289.066924936,1745358.3741530483,180000.0,0.0,220791.8671122978,2973950.1533731488
 01/01  07:00:00,5487386.326299549,1759479.2225586278,180000.0,0.0,596494.1571179013,2910558.7971628723
 01/01  08:00:00,4471733.761260354,1764037.3785961512,180000.0,0.0,440990.20770010015,2047019.2869171018
 01/01  09:00:00,3839005.7639167206,1596178.9871740523,180000.0,0.0,146007.52502587435,1878299.6250829406
 01/01  10:00:00,3531214.738225883,1415923.4838472705,180000.0,0.0,146007.52502587435,1756600.4097846197
 01/01  11:00:00,3314122.603535464,1310335.679349352,180000.0,0.0,146007.52502587435,1652099.6480710024
 01/01  12:00:00,4163566.5863949987,1205302.0068736437,180000.0,0.0,747843.4208642343,2012912.2374599143
 01/01  13:00:00,4072578.146901237,1102506.384237935,180000.0,0.0,730037.6251293716,2046027.000576165
 01/01  14:00:00,3953374.667516656,989123.9423963097,180000.0,0.0,724102.3598844174,2047308.4896913117
 01/01  15:00:00,4056913.856190486,864488.3074597747,180000.0,0.0,727069.9925068945,2272515.680679199
 01/01  16:00:00,4842254.1477207765,766721.5098919385,180000.0,0.0,747843.4208642343,3133682.080006839
 01/01  17:00:00,8951919.106076594,643062.9442659288,180000.0,0.0,1350272.84322709,6756405.351733781
 01/01  18:00:00,8478928.88161916,887424.336573373,180000.0,0.0,1494203.02541723,5874112.847342113
 01/01  19:00:00,8277774.492391946,1208836.093330989,180000.0,0.0,2558099.320575278,4273643.269241472
 01/01  20:00:00,8355547.15042671,1267668.1868715403,180000.0,0.0,2967632.6224771207,3864374.349223489
 01/01  21:00:00,8013854.915128372,1431089.6810171213,180000.0,0.0,2801445.1956184017,3495099.2498964635
 01/01  22:00:00,7351815.966696982,1619211.787882554,180000.0,0.0,2216821.568990409,3213220.1614435767
 01/01  23:00:00,5340965.987984789,1807151.4357900915,180000.0,0.0,1032736.1526220378,2214857.610976275
 01/01  24:00:00,4250124.284474947,1972279.6653378669,180000.0,0.0,146007.52502587435,1878299.6250829406
 01/02  01:00:00,4565135.403957581,2206275.618318962,180000.0,0.0,146007.52502587435,1979158.2356079787
 01/02  02:00:00,4539565.702938892,2174148.091476917,180000.0,0.0,146007.52502587435,1985716.0614313358
 01/02  03:00:00,4453110.681251096,2216533.674562402,180000.0,0.0,146007.52502587435,1856875.4566580541
 01/02  04:00:00,4612314.4086156795,2261179.576103629,180000.0,0.0,146007.52502587435,1971433.282481411
 01/02  05:00:00,5231675.18827586,2294305.026771681,180000.0,0.0,154020.13310656257,2549656.0033928505
 01/02  06:00:00,5950564.097420657,2265995.6163692754,180000.0,0.0,295576.2091987212,3165803.5995662194
 01/02  07:00:00,5379466.6657803655,2224978.23278878,180000.0,0.0,146007.52502587435,2787626.7585055633
 01/02  08:00:00,5452409.8187535405,2273869.7021059897,180000.0,0.0,735972.8903743259,2222880.3382262248
 01/02  09:00:00,6173153.5594449565,1934083.3987223308,180000.0,0.0,1406657.8630541551,2613892.6710346164
 01/02  10:00:00,5764263.518161049,1621152.0783751868,180000.0,0.0,1445237.0871463579,2485191.033071386
 01/02  11:00:00,4417740.25413629,1421857.0763898594,180000.0,0.0,774552.1144665285,2015651.312190666
 01/02  12:00:00,4207474.745819734,1249210.1662983797,180000.0,0.0,747843.4208642343,2012912.2374599143
 01/02  13:00:00,4048852.7224876126,1078780.959824311,180000.0,0.0,730037.6251293716,2046027.000576165
 01/02  14:00:00,3862028.2129953126,897777.4878749658,180000.0,0.0,724102.3598844174,2047308.4896913117
 01/02  15:00:00,3915387.8845596453,722962.3358289341,180000.0,0.0,727069.9925068945,2272515.680679199
 01/02  16:00:00,4671343.361547229,595810.723718391,180000.0,0.0,747843.4208642343,3133682.080006839
 01/02  17:00:00,5339718.732482426,609145.4550132038,180000.0,0.0,146007.52502587435,4382387.7855935525
 01/02  18:00:00,6882467.88970515,747398.5038898654,180000.0,0.0,1044606.6831119463,4867274.030416897
 01/02  19:00:00,5856106.075407391,1016151.4237072356,180000.0,0.0,1049206.5136767859,3553552.328779162
 01/02  20:00:00,7219599.206515891,988312.9117245937,180000.0,0.0,2262819.8746388042,3712594.4282979313
 01/02  21:00:00,6968275.671603187,971423.2930807583,180000.0,0.0,2138179.3044947656,3572452.2854312784
 01/02  22:00:00,7015187.344574606,1221377.895992404,180000.0,0.0,2216821.568990409,3274425.43121135
 01/02  23:00:00,3817325.9028900573,1485373.7957599708,180000.0,0.0,146007.52502587435,1899723.7935078272
 01/02  24:00:00,3916813.694734982,1638969.0755979014,180000.0,0.0,146007.52502587435,1878299.6250829406
 01/03  01:00:00,4206137.609931799,1847277.82429318,180000.0,0.0,146007.52502587435,1979158.2356079787
 01/03  02:00:00,4180223.039561845,1814805.4280998693,180000.0,0.0,146007.52502587435,1985716.0614313358
 01/03  03:00:00,4083638.9161013165,1847061.9094126225,180000.0,0.0,146007.52502587435,1856875.4566580541
 01/03  04:00:00,4225158.066856053,1874023.2343440019,180000.0,0.0,146007.52502587435,1971433.282481411
 01/03  05:00:00,4667388.6679916,1885278.0498805586,180000.0,0.0,146007.52502587435,2402409.0680804015
 01/03  06:00:00,5146068.905063137,1887666.778477141,180000.0,0.0,146007.52502587435,2889205.9292736812
 01/03  07:00:00,5297207.721261485,1843271.6061248137,180000.0,0.0,371250.84107188776,2861831.124604636
 01/03  08:00:00,4739460.216402294,1796341.9667464173,180000.0,0.0,588481.549037213,2134949.812571663
 01/03  09:00:00,3785846.6535765254,1543019.876833857,180000.0,0.0,146007.52502587435,1878299.6250829406
 01/03  10:00:00,4435722.211383358,1149742.5316033897,180000.0,0.0,795325.5428238685,2277970.817387981
 01/03  11:00:00,4028149.7520846836,955759.987128536,180000.0,0.0,774552.1144665285,2092157.8994003825
 01/03  12:00:00,3774623.4907627446,816358.9112413892,180000.0,0.0,747843.4208642343,2012912.2374599143
 01/03  13:00:00,3625541.8241747958,655470.0615114941,180000.0,0.0,730037.6251293716,2046027.000576165
