Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,1654102.5356854205,103495.20270483856,180000.0,0.0,251435.183403411,986745.2883818138
 01/01  02:00:00,1696942.1035867627,149493.14493517665,180000.0,0.0,251435.183403411,983586.9140528179
 01/01  03:00:00,1719028.452692647,174737.86837005705,180000.0,0.0,251435.183403411,980428.5397238217
 01/01  04:00:00,1733800.7555002936,192668.54550669968,180000.0,0.0,251435.183403411,977270.1653948259
 01/01  05:00:00,1744154.713318229,206180.87765363097,180000.0,0.0,251435.183403411,974111.7910658299
 01/01  06:00:00,4035288.961717694,769457.9657518227,180000.0,0.0,337128.39897151233,2642185.339076354
 01/01  07:00:00,3441711.207118351,605297.0902739073,180000.0,0.0,1282832.56838475,1272821.9801588785
 01/01  08:00:00,4382593.710502133,530226.7788813211,180000.0,0.0,1939642.8433977421,1634843.3647308499
 01/01  09:00:00,21240389.3654551,550191.7989376612,180000.0,0.0,2421987.889110408,17993207.798723403
 01/01  10:00:00,12581248.627145948,482659.04683932883,180000.0,0.0,1744652.2930032602,10093329.632662706
 01/01  11:00:00,3309474.73269209,431481.458180669,180000.0,0.0,1336711.5362569096,1297947.152465427
 01/01  12:00:00,2778264.97226672,404948.0519305799,180000.0,0.0,944164.770331176,1205969.4778760436
 01/01  13:00:00,3081117.4464029884,391747.8013287941,180000.0,0.0,1086559.1854218834,1388264.321949174
 01/01  14:00:00,5612462.196264915,304636.1637641501,180000.0,0.0,1906289.1966197384,3189869.542986485
 01/01  15:00:00,3095317.3531652647,306434.1032894219,180000.0,0.0,1252044.586743516,1325171.370237785
 01/01  16:00:00,2701589.6423537415,304386.74539262604,180000.0,0.0,949296.100604715,1233360.6586532637
 01/01  17:00:00,2865083.1223501978,299323.50125922123,180000.0,0.0,1062185.366622573,1268876.2031051042
 01/01  18:00:00,5101158.822689233,309213.5066854155,180000.0,0.0,2667008.9096718957,1838419.148413918
 01/01  19:00:00,5376854.991182709,264766.902145363,180000.0,0.0,3104454.8154910947,1686569.8779251105
 01/01  20:00:00,5838399.144977827,258362.16792588827,180000.0,0.0,3098040.6526491717,2114871.411844109
 01/01  21:00:00,7884544.743547343,0.0,180000.0,0.0,4343671.076550763,3098898.7894144584
 01/01  22:00:00,29934291.141741335,0.0,180000.0,0.0,3679163.806127463,25772848.63071143
 01/01  23:00:00,5607348.077261979,0.0,180000.0,0.0,2681120.067924128,2484253.131755733
 01/01  24:00:00,1609746.6165401654,7040.5474844777345,180000.0,0.0,251435.183403411,989903.6627108096
 01/02  01:00:00,1586799.2005423936,36191.86756181139,180000.0,0.0,251435.183403411,986745.2883818138
 01/02  02:00:00,1603943.0108087827,56494.052157196726,180000.0,0.0,251435.183403411,983586.9140528179
 01/02  03:00:00,1615010.5620693383,70719.9777467485,180000.0,0.0,251435.183403411,980428.5397238217
 01/02  04:00:00,1621644.239412475,80512.02941888108,180000.0,0.0,251435.183403411,977270.1653948259
 01/02  05:00:00,1626079.733605619,88105.89794102107,180000.0,0.0,251435.183403411,974111.7910658299
 01/02  06:00:00,2139428.511520963,627364.279133718,180000.0,0.0,251435.183403411,974111.7910658299
 01/02  07:00:00,3307520.7440921282,471106.627247685,180000.0,0.0,1282832.56838475,1272821.9801588785
 01/02  08:00:00,4554723.188496638,399006.34608283546,180000.0,0.0,2278310.641451316,1599525.4774702669
 01/02  09:00:00,3978282.0311145643,359195.3843527164,180000.0,0.0,1879349.7126836586,1464735.0553945627
 01/02  10:00:00,3498769.5566383856,328805.79202687676,180000.0,0.0,1557358.7380190867,1351997.37195177
 01/02  11:00:00,3639721.7734505013,296838.29829891934,180000.0,0.0,1698470.320541409,1401078.5688210886
 01/02  12:00:00,3418825.1490857997,268477.4394110373,45000.0,0.0,1636894.357258941,1425270.6802869004
 01/02  13:00:00,2541907.679711296,258029.55807737794,0.0,0.0,918508.118963481,1330823.8649673003
 01/02  14:00:00,2387744.023694099,218489.84464303404,0.0,0.0,913376.7886899419,1224210.0974665808
 01/02  15:00:00,2371129.663617145,206511.66355953892,0.0,0.0,918508.118963481,1214442.5881995829
 01/02  16:00:00,2423389.4963630885,206186.59940197342,0.0,0.0,949296.100604715,1233360.6586532637
 01/02  17:00:00,4982395.885591036,183858.66669123236,0.0,0.0,1266155.7449957482,3477683.422540756
 01/02  18:00:00,4090621.0128682433,218520.43459253942,45000.0,0.0,1860107.2241578875,1860476.096199812
 01/02  19:00:00,3559285.107365153,207865.7639566293,180000.0,0.0,1677944.999447253,1352410.9483401286
 01/02  20:00:00,4730720.136059236,207457.18289648579,180000.0,0.0,2691382.7284712056,1464755.3121328885
 01/02  21:00:00,5216881.217076132,0.0,180000.0,0.0,3227606.742056031,1547299.5974379815
 01/02  22:00:00,5904864.653726373,0.0,180000.0,0.0,3679163.806127463,1743422.142696465
 01/02  23:00:00,4587267.093251131,0.0,180000.0,0.0,2681120.067924128,1464172.1477448838
 01/02  24:00:00,1602706.0690556876,0.0,180000.0,0.0,251435.183403411,989903.6627108096
 01/03  01:00:00,1550607.332980582,0.0,180000.0,0.0,251435.183403411,986745.2883818138
 01/03  02:00:00,1547448.958651586,0.0,180000.0,0.0,251435.183403411,983586.9140528179
 01/03  03:00:00,1364290.58432259,0.0,0.0,0.0,251435.183403411,980428.5397238217
 01/03  04:00:00,1365980.7487429846,4848.538749390769,0.0,0.0,251435.183403411,977270.1653948259
 01/03  05:00:00,1364268.4148714948,6294.579206896555,0.0,0.0,251435.183403411,974111.7910658299
 01/03  06:00:00,1945467.86317241,478458.70271134004,0.0,0.0,337128.39897151233,1023363.5035715532
 01/03  07:00:00,1850363.3128841748,351634.3786094634,0.0,0.0,381001.2728102707,1016968.0931636256
 01/03  08:00:00,1627394.8284370592,291333.63315961417,0.0,0.0,251435.183403411,986745.2883818138
 01/03  09:00:00,2054830.051587928,250924.02155919198,0.0,0.0,613193.9676879107,1095710.1836571994
 01/03  10:00:00,2491967.233461167,218292.45989832087,0.0,0.0,995478.073066566,1197589.0458556279
 01/03  11:00:00,2421551.697645468,188448.62377420868,0.0,0.0,974952.7519724101,1194815.7361097655
 01/03  12:00:00,2360607.8780296706,167290.9576935303,0.0,0.0,944164.770331176,1205969.4778760436
 01/03  13:00:00,2444706.794429338,160828.67279542008,0.0,0.0,918508.118963481,1330823.8649673003
 01/03  14:00:00,2308809.596076859,139555.41702579436,0.0,0.0,913376.7886899419,1224210.0974665808
 01/03  15:00:00,2295531.0703145103,130913.07025690394,0.0,0.0,918508.118963481,1214442.5881995829
 01/03  16:00:00,2351923.7475095913,134720.85054847598,0.0,0.0,949296.100604715,1233360.6586532637
 01/03  17:00:00,3625185.6509982143,122430.24737972004,0.0,0.0,1470126.1233689236,1977931.2288862711
 01/03  18:00:00,7491848.09488899,95385.46185267028,0.0,0.0,2396331.237742713,4893614.1373756025
 01/03  19:00:00,5339139.4968538685,93629.94886109015,0.0,0.0,3104454.8154910947,1999991.3368805419
 01/03  20:00:00,5405630.737500105,97509.38363063631,0.0,0.0,3504698.5768271373,1616297.864483676
 01/03  21:00:00,5915083.62517343,0.0,0.0,0.0,3971649.631719186,1681459.1158721233
 01/03  22:00:00,4334643.462308075,0.0,0.0,0.0,2534877.1551282657,1497487.602277364
 01/03  23:00:00,3830120.755998929,0.0,0.0,0.0,2196209.357074692,1371936.521342118
 01/03  24:00:00,1660966.9430365372,0.0,0.0,0.0,420769.082430198,1058830.637664872
 01/04  01:00:00,1415607.332980582,0.0,45000.0,0.0,251435.183403411,986745.2883818138
 01/04  02:00:00,1547448.958651586,0.0,180000.0,0.0,251435.183403411,983586.9140528179
 01/04  03:00:00,1499290.58432259,0.0,135000.0,0.0,251435.183403411,980428.5397238217
 01/04  04:00:00,1380335.2211965697,0.0,0.0,0.0,251435.183403411,996473.1765978017
 01/04  05:00:00,1381927.8228074159,0.0,0.0,0.0,253744.28202650353,995756.6795855552
 01/04  06:00:00,2934348.943519651,427431.80095401796,0.0,0.0,379975.00675556296,2020424.8778920653
 01/04  07:00:00,3350267.2990141157,318064.8388467109,0.0,0.0,769699.5410308499,2161743.35083574
 01/04  08:00:00,2928025.4854653613,272136.4666197369,0.0,0.0,1264872.9124273635,1293135.3829260403
 01/04  09:00:00,3211008.294187611,239486.9526566528,0.0,0.0,1517590.9283991593,1358928.5344481727
 01/04  10:00:00,2497782.5052109053,224107.73164805933,0.0,0.0,995478.073066566,1197589.0458556279
 01/04  11:00:00,2437961.178443921,204858.10457266122,0.0,0.0,974952.7519724101,1194815.7361097655
 01/04  12:00:00,2388169.486287188,194852.56595104776,0.0,0.0,944164.770331176,1205969.4778760436
 01/04  13:00:00,2485619.3139065597,201741.19227264173,0.0,0.0,918508.118963481,1330823.8649673003
 01/04  14:00:00,2324036.0312221646,154781.85217109945,0.0,0.0,913376.7886899419,1224210.0974665808
 01/04  15:00:00,3568951.0541487047,72479.61860301511,0.0,0.0,1919117.522303586,1545686.6203475618
 01/04  16:00:00,3224663.4734944534,64335.048372951765,0.0,0.0,1647157.017806019,1478625.2696123463
 01/04  17:00:00,3545298.9062235244,74237.36714916733,0.0,0.0,1878066.8801152739,1538296.6075957837
 01/04  18:00:00,6703704.906417455,120004.7446224612,180000.0,0.0,2396331.237742713,3900851.666134275
 01/04  19:00:00,6180055.226860768,134569.22707598435,180000.0,0.0,1321317.5454362924,4403105.058727349
 01/04  20:00:00,6499707.861347666,163708.91077768547,180000.0,0.0,3911356.501005103,2057517.5370062215
 01/04  21:00:00,6973286.033270727,0.0,180000.0,0.0,4715692.521382341,1815618.6343062653
 01/04  22:00:00,6010826.592803838,0.0,180000.0,0.0,3393092.1433776636,2135455.744523729
 01/04  23:00:00,12230832.031260459,20019.399791378186,180000.0,0.0,1221256.605102282,10547581.14878468
 01/04  24:00:00,18014315.883979872,83949.94925405261,180000.0,0.0,590102.981456985,16978895.73032737
 01/05  01:00:00,1633792.008767543,83184.6757869609,180000.0,0.0,251435.183403411,986745.2883818138
 01/05  02:00:00,1674481.192945175,127032.2342935891,180000.0,0.0,251435.183403411,983586.9140528179
 01/05  03:00:00,1701606.2874227855,157315.70310019562,180000.0,0.0,251435.183403411,980428.5397238217
 01/05  04:00:00,1723966.0908544331,182833.8808608392,180000.0,0.0,251435.183403411,977270.1653948259
 01/05  05:00:00,1741960.1244993336,203986.28883473523,180000.0,0.0,251435.183403411,974111.7910658299
 01/05  06:00:00,2282445.588896385,770381.3565091398,180000.0,0.0,251435.183403411,974111.7910658299
 01/05  07:00:00,3126333.916132337,619603.9263027639,180000.0,0.0,1026266.0547078,1199704.3668209577
