Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,380.7242591612728,78.74866741801071,459.4729265792836,1654102.5356854205,103495.20270483856,180000.0,0.0,251435.183403411,986745.2883818138
 01/01  02:00:00,379.8469329587739,91.52587359310463,471.3728065518785,1696942.1035867627,149493.14493517665,180000.0,0.0,251435.183403411,983586.9140528179
 01/01  03:00:00,378.96960675627497,98.53829676946029,477.50790352573523,1719028.452692647,174737.86837005705,180000.0,0.0,251435.183403411,980428.5397238217
 01/01  04:00:00,378.09228055377605,103.5190404185277,481.61132097230376,1733800.7555002936,192668.54550669968,180000.0,0.0,251435.183403411,977270.1653948259
 01/01  05:00:00,377.21495435127724,107.2724660148975,484.4874203661747,1744154.713318229,206180.87765363097,180000.0,0.0,251435.183403411,974111.7910658299
 01/01  06:00:00,857.1752766571863,263.7383238199508,1120.9136004771372,4035288.961717694,769457.9657518227,180000.0,0.0,337128.39897151233,2642185.339076354
 01/01  07:00:00,737.8928102345677,218.1380806316409,956.0308908662087,3441711.207118351,605297.0902739073,180000.0,0.0,1282832.56838475,1272821.9801588785
 01/01  08:00:00,1020.1019254502257,197.2852163559225,1217.3871418061483,4382593.710502133,530226.7788813211,180000.0,0.0,1939642.8433977421,1634843.3647308499
 01/01  09:00:00,5697.2771018103995,202.83105526046145,5900.10815707086,21240389.3654551,550191.7989376612,180000.0,0.0,2421987.889110408,17993207.798723403
 01/01  10:00:00,3310.7193278629497,184.07195745536913,3494.7912853183193,12581248.627145948,482659.04683932883,180000.0,0.0,1744652.2930032602,10093329.632662706
 01/01  11:00:00,749.4425762531723,169.8559606057414,919.2985368589136,3309474.73269209,431481.458180669,180000.0,0.0,1336711.5362569096,1297947.152465427
 01/01  12:00:00,609.2547000933723,162.48556998071663,771.740270074089,2778264.97226672,404948.0519305799,180000.0,0.0,944164.770331176,1205969.4778760436
 01/01  13:00:00,697.0471236317205,158.81883370244282,855.8659573341635,3081117.4464029884,391747.8013287941,180000.0,0.0,1086559.1854218834,1388264.321949174
