Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,380.7242591612728,113.84027234058536,494.5645315018582,1780432.3134066893,229824.9804261073,180000.0,0.0,251435.183403411,986745.2883818138
 01/01  02:00:00,379.8469329587739,122.85632250899629,502.7032554677702,1809731.7196839727,262282.7610323866,180000.0,0.0,251435.183403411,983586.9140528179
 01/01  03:00:00,378.96960675627497,128.81874868561962,507.7883554418946,1828038.0795908205,283747.4952682306,180000.0,0.0,251435.183403411,980428.5397238217
 01/01  04:00:00,378.09228055377605,133.37913638690617,511.4714169406822,1841297.100986456,300164.8909928622,180000.0,0.0,251435.183403411,977270.1653948259
 01/01  05:00:00,377.21495435127724,137.8455468904616,515.0605012417388,1854217.80447026,316243.96880566183,180000.0,0.0,251435.183403411,974111.7910658299
 01/01  06:00:00,857.1752766571863,298.23124030706913,1155.4065169642554,4159463.46107132,893632.4651054487,180000.0,0.0,337128.39897151233,2642185.339076354
 01/01  07:00:00,737.8928102345677,256.85964761657044,994.7524578511382,3581108.8482640972,744694.7314196535,180000.0,0.0,1282832.56838475,1272821.9801588785
 01/01  08:00:00,1020.1019254502257,234.05192289982338,1254.153848350049,4514953.854060177,662586.9224393643,180000.0,0.0,1939642.8433977421,1634843.3647308499
 01/01  09:00:00,5697.2771018103995,230.2346486578197,5927.511750468218,21339042.301685587,648844.735168151,180000.0,0.0,2421987.889110408,17993207.798723403
 01/01  10:00:00,3310.7193278629497,201.61772418603462,3512.3370520489843,12644413.387376344,545823.8070697247,180000.0,0.0,1744652.2930032602,10093329.632662706
 01/01  11:00:00,749.4425762531723,183.70054187568124,933.1431181288536,3359315.225263873,481321.9507524524,180000.0,0.0,1336711.5362569096,1297947.152465427
 01/01  12:00:00,609.2547000933723,171.94613018494576,781.2008302783181,2812322.989001945,439006.0686658047,180000.0,0.0,944164.770331176,1205969.4778760436
 01/01  13:00:00,697.0471236317205,153.3184868146092,850.3656104463298,3061316.197606787,371946.55253259314,180000.0,0.0,1086559.1854218834,1388264.321949174
 01/01  14:00:00,1424.3961201391012,115.56193977177205,1539.9580599108733,5543849.015679144,236022.98317837936,180000.0,0.0,1906289.1966197384,3189869.542986485
 01/01  15:00:00,724.6897916321786,110.66580337856422,835.3555950107428,3007280.1420386746,218396.89216283124,180000.0,0.0,1252044.586743516,1325171.370237785
 01/01  16:00:00,615.8896936003098,112.35664480300991,728.2463384033197,2621686.818251951,224483.9212908357,180000.0,0.0,949296.100604715,1233360.6586532637
 01/01  17:00:00,662.7110058586046,121.45645255873248,784.1674584173371,2823002.8503024136,257243.22921143693,180000.0,0.0,1062185.366622573,1268876.2031051042
 01/01  18:00:00,1281.0959211121717,143.19658369536057,1424.2925048075324,5127453.017307117,335507.701303298,180000.0,0.0,2667008.9096718957,1838419.148413918
 01/01  19:00:00,1370.0244691770408,137.66884543033643,1507.693314607377,5427695.932586558,315607.84354921116,180000.0,0.0,3104454.8154910947,1686569.8779251105
 01/01  20:00:00,1500.010271403316,142.84291319631728,1642.8531845996333,5914271.464558681,334234.48750674224,180000.0,0.0,3098040.6526491717,2114871.411844109
 01/01  21:00:00,2140.1513176520393,50.0,2190.1513176520393,7884544.743547343,0.0,180000.0,0.0,4343671.076550763,3098898.7894144584
 01/01  22:00:00,8265.080872705927,79.86336168677198,8344.944234392698,30041799.243813716,107508.10207237914,180000.0,0.0,3679163.806127463,25772848.63071143
 01/01  23:00:00,1507.5966881283275,72.91842114357286,1580.5151092719007,5689854.393378842,82506.31611686226,180000.0,0.0,2681120.067924128,2484253.131755733
 01/01  24:00:00,395.19613029324654,91.71102524634675,486.90715553959325,1752865.7599425358,150159.69088684826,180000.0,0.0,251435.183403411,989903.6627108096
 01/02  01:00:00,380.7242591612728,101.96309643798025,482.68735559925307,1737674.480157311,187067.1471767289,180000.0,0.0,251435.183403411,986745.2883818138
 01/02  02:00:00,379.8469329587739,109.79741750035586,489.6443504591298,1762719.6616528672,215270.7030012811,180000.0,0.0,251435.183403411,983586.9140528179
 01/02  03:00:00,378.96960675627497,115.45835969158252,494.4279664478575,1779940.679212287,235650.09488969707,180000.0,0.0,251435.183403411,980428.5397238217
