Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,2139695.3422829467,589088.0093023647,180000.0,0.0,251435.183403411,986745.2883818138
 01/01  02:00:00,2155569.164592339,608120.2059407532,180000.0,0.0,251435.183403411,983586.9140528179
 01/01  03:00:00,2173147.923135271,628857.3388126809,180000.0,0.0,251435.183403411,980428.5397238217
 01/01  04:00:00,2181816.8451460735,640684.6351524796,180000.0,0.0,251435.183403411,977270.1653948259
 01/01  05:00:00,2187885.7559172558,649911.9202526575,180000.0,0.0,251435.183403411,974111.7910658299
 01/01  06:00:00,4270230.99596587,1004400.0,180000.0,0.0,337128.39897151233,2642185.339076354
 01/01  07:00:00,3840814.1168444436,1004400.0,180000.0,0.0,1282832.56838475,1272821.9801588785
 01/01  08:00:00,4856766.931620812,1004400.0,180000.0,0.0,1939642.8433977421,1634843.3647308499
 01/01  09:00:00,21693510.426736094,1003312.8602186608,180000.0,0.0,2421987.889110408,17993207.798723403
 01/01  10:00:00,13049466.076650882,950876.4963442655,180000.0,0.0,1744652.2930032602,10093329.632662706
 01/01  11:00:00,3704686.523185235,826693.248673814,180000.0,0.0,1336711.5362569096,1297947.152465427
 01/01  12:00:00,3122824.4486502474,749507.5283141069,180000.0,0.0,944164.770331176,1205969.4778760436
 01/01  13:00:00,3430405.267765037,741035.6226908425,180000.0,0.0,1086559.1854218834,1388264.321949174
 01/01  14:00:00,5920226.89169509,612400.8591943246,180000.0,0.0,1906289.1966197384,3189869.542986485
 01/01  15:00:00,3393334.0693306047,604450.8194547615,180000.0,0.0,1252044.586743516,1325171.370237785
 01/01  16:00:00,3046643.124719692,649440.2277585769,180000.0,0.0,949296.100604715,1233360.6586532637
 01/01  17:00:00,3259589.973244749,693830.352153773,180000.0,0.0,1062185.366622573,1268876.2031051042
 01/01  18:00:00,5566561.4180641975,774616.1020603791,180000.0,0.0,2667008.9096718957,1838419.148413918
 01/01  19:00:00,5854611.562981251,742523.4739439038,180000.0,0.0,3104454.8154910947,1686569.8779251105
 01/01  20:00:00,6352160.13231662,772123.155264682,180000.0,0.0,3098040.6526491717,2114871.411844109
 01/01  21:00:00,8154764.18779948,270219.4442521377,180000.0,0.0,4343671.076550763,3098898.7894144584
 01/01  22:00:00,30562742.460096575,628451.3183552428,180000.0,0.0,3679163.806127463,25772848.63071143
 01/01  23:00:00,6094742.523820214,487394.446558235,180000.0,0.0,2681120.067924128,2484253.131755733
 01/01  24:00:00,2162830.5779800983,560124.5089244104,180000.0,0.0,251435.183403411,989903.6627108096
 01/02  01:00:00,2156005.665799691,605398.3328191092,180000.0,0.0,251435.183403411,986745.2883818138
 01/02  02:00:00,2185769.289153937,638320.3305023509,180000.0,0.0,251435.183403411,983586.9140528179
 01/02  03:00:00,2210115.622166319,665825.0378437291,180000.0,0.0,251435.183403411,980428.5397238217
 01/02  04:00:00,2231671.3332726024,690539.1232790088,180000.0,0.0,251435.183403411,977270.1653948259
 01/02  05:00:00,2249222.10537955,711248.2697149515,180000.0,0.0,251435.183403411,974111.7910658299
 01/02  06:00:00,2516464.2323872456,1004400.0,180000.0,0.0,251435.183403411,974111.7910658299
 01/02  07:00:00,3840814.1168444436,1004400.0,180000.0,0.0,1282832.56838475,1272821.9801588785
 01/02  08:00:00,5160116.842413804,1004400.0,180000.0,0.0,2278310.641451316,1599525.4774702669
 01/02  09:00:00,4623486.646761847,1004400.0,180000.0,0.0,1879349.7126836586,1464735.0553945627
 01/02  10:00:00,4168807.7672996507,998844.0026881415,180000.0,0.0,1557358.7380190867,1351997.37195177
 01/02  11:00:00,4224870.397659005,881986.9225074229,180000.0,0.0,1698470.320541409,1401078.5688210886
 01/02  12:00:00,4058416.536925127,773068.8272503642,180000.0,0.0,1636894.357258941,1425270.6802869004
 01/02  13:00:00,3219102.499341705,755224.3777077867,180000.0,0.0,918508.118963481,1330823.8649673003
 01/02  14:00:00,2982440.141896207,633185.9628451422,180000.0,0.0,913376.7886899419,1224210.0974665808
 01/02  15:00:00,2928694.6109332656,584076.6108756601,180000.0,0.0,918508.118963481,1214442.5881995829
 01/02  16:00:00,2989136.8148620864,591933.9179009714,180000.0,0.0,949296.100604715,1233360.6586532637
 01/02  17:00:00,5612308.356874252,633771.137974448,180000.0,0.0,1266155.7449957482,3477683.422540756
 01/02  18:00:00,4777471.327236345,770370.7489606403,180000.0,0.0,1860107.2241578875,1860476.096199812
 01/02  19:00:00,4126794.844662289,775375.501253766,180000.0,0.0,1677944.999447253,1352410.9483401286
 01/02  20:00:00,5330010.809041183,806747.8558784325,180000.0,0.0,2691382.7284712056,1464755.3121328885
 01/02  21:00:00,5519084.954474376,302203.73739824357,180000.0,0.0,3227606.742056031,1547299.5974379815
 01/02  22:00:00,6337046.955753447,432182.30202707415,180000.0,0.0,3679163.806127463,1743422.142696465
 01/02  23:00:00,5080801.710936175,493534.61768504477,180000.0,0.0,2681120.067924128,1464172.1477448838
 01/02  24:00:00,2172311.1903876564,569605.1213319688,180000.0,0.0,251435.183403411,989903.6627108096
 01/03  01:00:00,2165049.7457353147,614442.4127547329,180000.0,0.0,251435.183403411,986745.2883818138
 01/03  02:00:00,2198257.934654599,650808.9760030129,180000.0,0.0,251435.183403411,983586.9140528179
 01/03  03:00:00,2222920.604353964,678630.0200313738,180000.0,0.0,251435.183403411,980428.5397238217
 01/03  04:00:00,2243718.756023126,702586.5460295323,180000.0,0.0,251435.183403411,977270.1653948259
 01/03  05:00:00,2258868.715868664,720894.8802040659,180000.0,0.0,251435.183403411,974111.7910658299
 01/03  06:00:00,2651409.16046107,1004400.0,180000.0,0.0,337128.39897151233,1023363.5035715532
 01/03  07:00:00,2683128.9342747116,1004400.0,180000.0,0.0,381001.2728102707,1016968.0931636256
 01/03  08:00:00,2520461.195277445,1004400.0,180000.0,0.0,251435.183403411,986745.2883818138
 01/03  09:00:00,2988306.0300287358,1004400.0,180000.0,0.0,613193.9676879107,1095710.1836571994
 01/03  10:00:00,3425102.683679888,971427.910117042,180000.0,0.0,995478.073066566,1197589.0458556279
 01/03  11:00:00,3241949.549805537,828846.475934277,180000.0,0.0,974952.7519724101,1194815.7361097655
 01/03  12:00:00,3072509.3275021035,699192.4071659631,180000.0,0.0,944164.770331176,1205969.4778760436
 01/03  13:00:00,3109908.3587432224,646030.2371093044,180000.0,0.0,918508.118963481,1330823.8649673003
 01/03  14:00:00,2893587.121415399,544332.9423643347,180000.0,0.0,913376.7886899419,1224210.0974665808
 01/03  15:00:00,2862268.498738222,517650.498680616,180000.0,0.0,918508.118963481,1214442.5881995829
 01/03  16:00:00,2933851.236801049,536648.3398399338,180000.0,0.0,949296.100604715,1233360.6586532637
 01/03  17:00:00,4232045.323427366,549289.919808872,180000.0,0.0,1470126.1233689236,1977931.2288862711
