Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,1539777.0245458775,79169.69156529548,90000.0,0.0,251435.183403411,986745.2883818138
 01/01  02:00:00,1432170.8833230597,64721.924671473695,0.0,0.0,251435.183403411,983586.9140528179
 01/01  03:00:00,1433188.6193880006,68898.03506541045,0.0,0.0,251435.183403411,980428.5397238217
 01/01  04:00:00,1428674.9980305638,67542.78803697003,0.0,0.0,251435.183403411,977270.1653948259
 01/01  05:00:00,1425179.5512149779,67205.71555037977,0.0,0.0,251435.183403411,974111.7910658299
 01/01  06:00:00,3667533.161465504,581702.165499633,0.0,0.0,337128.39897151233,2642185.339076354
 01/01  07:00:00,3076205.703222964,419791.5863785201,0.0,0.0,1282832.56838475,1272821.9801588785
 01/01  08:00:00,4018921.7209492754,346554.7893284629,0.0,0.0,1939642.8433977421,1634843.3647308499
 01/01  09:00:00,20830335.699440103,320138.1329226684,0.0,0.0,2421987.889110408,17993207.798723403
 01/01  10:00:00,12201405.094821235,282815.5145146166,0.0,0.0,1744652.2930032602,10093329.632662706
 01/01  11:00:00,2963895.787175684,265902.51266426354,0.0,0.0,1336711.5362569096,1297947.152465427
 01/01  12:00:00,2456086.8382111103,262769.91787496983,0.0,0.0,944164.770331176,1205969.4778760436
 01/01  13:00:00,2776030.4969539875,266660.8518797937,0.0,0.0,1086559.1854218834,1388264.321949174
 01/01  14:00:00,5337091.287993076,209265.2554923118,0.0,0.0,1906289.1966197384,3189869.542986485
 01/01  15:00:00,2837938.703300049,229055.45342420595,0.0,0.0,1252044.586743516,1325171.370237785
 01/01  16:00:00,2460269.901761418,243067.0048003029,0.0,0.0,949296.100604715,1233360.6586532637
 01/01  17:00:00,2729102.722841181,253343.1017502042,90000.0,0.0,1062185.366622573,1268876.2031051042
 01/01  18:00:00,5069716.917262812,277771.60125899425,180000.0,0.0,2667008.9096718957,1838419.148413918
 01/01  19:00:00,5371233.736747758,259145.64771041117,180000.0,0.0,3104454.8154910947,1686569.8779251105
 01/01  20:00:00,5850463.085657735,270426.10860579775,180000.0,0.0,3098040.6526491717,2114871.411844109
 01/01  21:00:00,7884544.743547343,0.0,180000.0,0.0,4343671.076550763,3098898.7894144584
 01/01  22:00:00,29947631.785455644,13340.643714309104,180000.0,0.0,3679163.806127463,25772848.63071143
 01/01  23:00:00,5610765.200369075,3417.1231070961753,180000.0,0.0,2681120.067924128,2484253.131755733
 01/01  24:00:00,1665991.0369374375,63284.96788174976,180000.0,0.0,251435.183403411,989903.6627108096
 01/02  01:00:00,1653027.4050460623,102420.07206548032,180000.0,0.0,251435.183403411,986745.2883818138
 01/02  02:00:00,1678272.8900067895,130823.93135520368,180000.0,0.0,251435.183403411,983586.9140528179
 01/02  03:00:00,1699173.1855263473,154882.60120375743,180000.0,0.0,251435.183403411,980428.5397238217
 01/02  04:00:00,1716740.7887013261,175608.57870773243,180000.0,0.0,251435.183403411,977270.1653948259
 01/02  05:00:00,1730585.3904318896,192611.5547672915,180000.0,0.0,251435.183403411,974111.7910658299
 01/02  06:00:00,2285555.323670451,773491.0912832055,180000.0,0.0,251435.183403411,974111.7910658299
 01/02  07:00:00,3442540.8565717824,606126.7397273388,180000.0,0.0,1282832.56838475,1272821.9801588785
 01/02  08:00:00,4695258.331907052,539541.4894932486,180000.0,0.0,2278310.641451316,1599525.4774702669
 01/02  09:00:00,4135106.065099731,516019.41833788354,180000.0,0.0,1879349.7126836586,1464735.0553945627
 01/02  10:00:00,3666769.8697830373,496806.1051715284,180000.0,0.0,1557358.7380190867,1351997.37195177
 01/02  11:00:00,3799530.917486413,456647.44233483117,180000.0,0.0,1698470.320541409,1401078.5688210886
 01/02  12:00:00,3735257.850724415,449910.14104965224,180000.0,0.0,1636894.357258941,1425270.6802869004
 01/02  13:00:00,2944999.7939011906,481121.67226727266,180000.0,0.0,918508.118963481,1330823.8649673003
 01/02  14:00:00,2795143.5775603266,445889.39850926184,180000.0,0.0,913376.7886899419,1224210.0974665808
 01/02  15:00:00,2796152.361396505,451534.3613388991,180000.0,0.0,918508.118963481,1214442.5881995829
 01/02  16:00:00,2860559.223198541,463356.32623742596,180000.0,0.0,949296.100604715,1233360.6586532637
 01/02  17:00:00,5424554.714527318,446017.49562751484,180000.0,0.0,1266155.7449957482,3477683.422540756
 01/02  18:00:00,4510937.539044442,503836.96076873725,180000.0,0.0,1860107.2241578875,1860476.096199812
 01/02  19:00:00,3835825.7132636933,484406.36985517014,180000.0,0.0,1677944.999447253,1352410.9483401286
 01/02  20:00:00,5013039.536303298,489776.5831405469,180000.0,0.0,2691382.7284712056,1464755.3121328885
 01/02  21:00:00,5271977.053425603,55095.8363494699,180000.0,0.0,3227606.742056031,1547299.5974379815
 01/02  22:00:00,6033798.117190633,128933.46346426068,180000.0,0.0,3679163.806127463,1743422.142696465
 01/02  23:00:00,4778584.167965309,191317.07471417834,180000.0,0.0,2681120.067924128,1464172.1477448838
 01/02  24:00:00,1858176.9145032186,255470.84544753114,180000.0,0.0,251435.183403411,989903.6627108096
 01/03  01:00:00,1841810.8872486902,291203.5542681081,180000.0,0.0,251435.183403411,986745.2883818138
 01/03  02:00:00,1864011.4356398976,316562.47698831174,180000.0,0.0,251435.183403411,983586.9140528179
 01/03  03:00:00,1878828.9085918167,334538.3242692269,180000.0,0.0,251435.183403411,980428.5397238217
 01/03  04:00:00,1894249.6861644876,353117.4761708938,180000.0,0.0,251435.183403411,977270.1653948259
 01/03  05:00:00,1905816.696033189,367842.8603685909,180000.0,0.0,251435.183403411,974111.7910658299
 01/03  06:00:00,2604294.8452345296,957285.6847734594,180000.0,0.0,337128.39897151233,1023363.5035715532
 01/03  07:00:00,2498209.9690366145,819481.0347619033,180000.0,0.0,381001.2728102707,1016968.0931636256
 01/03  08:00:00,2264767.7579010176,748706.5626235727,180000.0,0.0,251435.183403411,986745.2883818138
 01/03  09:00:00,2679372.0605400465,695466.030511311,180000.0,0.0,613193.9676879107,1095710.1836571994
 01/03  10:00:00,3097492.254317876,643817.4807550298,180000.0,0.0,995478.073066566,1197589.0458556279
 01/03  11:00:00,3001767.323055018,588664.2491837586,180000.0,0.0,974952.7519724101,1194815.7361097655
 01/03  12:00:00,2913218.4946114235,539901.5742752831,180000.0,0.0,944164.770331176,1205969.4778760436
 01/03  13:00:00,3008215.746295707,544337.6246617887,180000.0,0.0,918508.118963481,1330823.8649673003
 01/03  14:00:00,2797624.621386151,448370.44233508577,180000.0,0.0,913376.7886899419,1224210.0974665808
 01/03  15:00:00,2741352.0702888453,396734.07023123937,180000.0,0.0,918508.118963481,1214442.5881995829
 01/03  16:00:00,2781580.519033176,384377.6220720606,180000.0,0.0,949296.100604715,1233360.6586532637
 01/03  17:00:00,4080508.945086358,397753.541467864,180000.0,0.0,1470126.1233689236,1977931.2288862711
 01/03  18:00:00,8036866.358401687,460403.7253653669,180000.0,0.0,2396331.237742713,4893614.1373756025
 01/03  19:00:00,5877075.319201125,451565.7712083466,180000.0,0.0,3104454.8154910947,1999991.3368805419
 01/03  20:00:00,5959325.317750319,471203.96388084936,180000.0,0.0,3504698.5768271373,1616297.864483676
 01/03  21:00:00,6144980.023691634,49896.398518204376,180000.0,0.0,3971649.631719186,1681459.1158721233
 01/03  22:00:00,4659671.137563632,145027.6752555562,180000.0,0.0,2534877.1551282657,1497487.602277364
 01/03  23:00:00,4211384.958071505,201264.2020725754,180000.0,0.0,2196209.357074692,1371936.521342118
 01/03  24:00:00,2096672.7261693354,255705.7831327984,180000.0,0.0,420769.082430198,1058830.637664872
 01/04  01:00:00,1837956.2641951838,287348.9312146017,180000.0,0.0,251435.183403411,986745.2883818138
 01/04  02:00:00,1858665.5411211008,311216.58246951475,180000.0,0.0,251435.183403411,983586.9140528179
 01/04  03:00:00,1873420.590850769,329130.00652817916,180000.0,0.0,251435.183403411,980428.5397238217
 01/04  04:00:00,1903938.2032314374,343602.98203486763,180000.0,0.0,251435.183403411,996473.1765978017
 01/04  05:00:00,1920908.1129081016,358980.2901006857,180000.0,0.0,253744.28202650353,995756.6795855552
 01/04  06:00:00,3632870.803872447,945953.6613068138,180000.0,0.0,379975.00675556296,2020424.8778920653
 01/04  07:00:00,4003968.168184191,791765.7080167863,180000.0,0.0,769699.5410308499,2161743.35083574
 01/04  08:00:00,3548594.722379549,712705.7035339244,180000.0,0.0,1264872.9124273635,1293135.3829260403
 01/04  09:00:00,3778582.0950264214,627060.7534954636,180000.0,0.0,1517590.9283991593,1358928.5344481727
 01/04  10:00:00,2986627.824001746,532953.0504388998,180000.0,0.0,995478.073066566,1197589.0458556279
 01/04  11:00:00,2839941.6435459433,426838.56967468385,180000.0,0.0,974952.7519724101,1194815.7361097655
 01/04  12:00:00,2716953.6748150974,343636.7544789569,180000.0,0.0,944164.770331176,1205969.4778760436
 01/04  13:00:00,2779062.9890492936,315184.86741537566,180000.0,0.0,918508.118963481,1330823.8649673003
 01/04  14:00:00,2582980.268068261,233726.0890171962,180000.0,0.0,913376.7886899419,1224210.0974665808
 01/04  15:00:00,3874909.2785005085,198437.84295481848,180000.0,0.0,1919117.522303586,1545686.6203475618
 01/04  16:00:00,3545116.329592677,204787.90447117516,180000.0,0.0,1647157.017806019,1478625.2696123463
 01/04  17:00:00,3893266.1493532816,242204.61027892417,180000.0,0.0,1878066.8801152739,1538296.6075957837
 01/04  18:00:00,6908051.807946062,324351.64615106944,180000.0,0.0,2396331.237742713,3900851.666134275
 01/04  19:00:00,6367046.130632609,321560.1308478261,180000.0,0.0,1321317.5454362924,4403105.058727349
 01/04  20:00:00,6674415.580457788,338416.6298878065,180000.0,0.0,3911356.501005103,2057517.5370062215
 01/04  21:00:00,6973286.033270727,0.0,180000.0,0.0,4715692.521382341,1815618.6343062653
 01/04  22:00:00,6030239.227077386,19412.634273547978,180000.0,0.0,3393092.1433776636,2135455.744523729
 01/04  23:00:00,12338594.986259164,127782.35479008278,180000.0,0.0,1221256.605102282,10547581.14878468
 01/04  24:00:00,18125754.903693575,195388.968967752,180000.0,0.0,590102.981456985,16978895.73032737
 01/05  01:00:00,1719243.6289772503,168636.2959966682,180000.0,0.0,251435.183403411,986745.2883818138
 01/05  02:00:00,1741872.1232706413,194423.16461905534,180000.0,0.0,251435.183403411,983586.9140528179
 01/05  03:00:00,1757717.6278466235,213427.04352403386,180000.0,0.0,251435.183403411,980428.5397238217
 01/05  04:00:00,1770110.4142738301,228978.20428023604,180000.0,0.0,251435.183403411,977270.1653948259
 01/05  05:00:00,1777385.1713267055,239411.33566210733,180000.0,0.0,251435.183403411,974111.7910658299
 01/05  06:00:00,2323914.3094078144,811850.0770205688,180000.0,0.0,251435.183403411,974111.7910658299
 01/05  07:00:00,3144940.0862147133,638210.0963851404,180000.0,0.0,1026266.0547078,1199704.3668209577
 01/05  08:00:00,4048687.9252934256,553715.9234779393,180000.0,0.0,1770308.9443709552,1446782.333952311
 01/05  09:00:00,3658120.6064347806,506599.26490382256,180000.0,0.0,1517590.9283991593,1358928.5344481727
 01/05  10:00:00,2460385.4091578377,482574.77199897845,180000.0,0.0,623456.6282349885,1093746.3542832187
 01/05  11:00:00,2859414.732838177,446311.65896691807,180000.0,0.0,974952.7519724101,1194815.7361097655
 01/05  12:00:00,2799273.0644631647,425956.1441270244,180000.0,0.0,944164.770331176,1205969.4778760436
 01/05  13:00:00,2886267.2401349247,422389.11850100645,180000.0,0.0,918508.118963481,1330823.8649673003
 01/05  14:00:00,3677492.1983556123,355802.50123689685,180000.0,0.0,913376.7886899419,2196645.6155342315
 01/05  15:00:00,3699202.833980946,319428.2365706366,180000.0,0.0,918508.118963481,2249599.185552286
 01/05  16:00:00,2701068.6968098786,303865.79984876345,180000.0,0.0,949296.100604715,1233360.6586532637
 01/05  17:00:00,2628103.3870389634,332405.6661046039,180000.0,0.0,859497.8208177825,1201501.8487532774
 01/05  18:00:00,3477474.807265266,427368.42335666175,180000.0,0.0,1323883.210573062,1439705.9154175376
 01/05  19:00:00,4226069.49047631,434482.960660581,180000.0,0.0,2034572.4534582137,1435950.680736374
 01/05  20:00:00,5942123.697104457,454002.34323498653,180000.0,0.0,3504698.5768271373,1616297.864483676
 01/05  21:00:00,5714728.858070398,58746.436945617184,180000.0,0.0,3599628.1868876084,1614379.3566550524
 01/05  22:00:00,4678676.375688676,164032.91338060098,180000.0,0.0,2534877.1551282657,1497487.602277364
 01/05  23:00:00,3671133.412522611,241628.46642096725,180000.0,0.0,1708732.981088487,1278797.0874310378
 01/05  24:00:00,2379031.7471771697,299803.93015978346,180000.0,0.0,590102.981456985,1127757.6126189344
 01/06  01:00:00,1900488.4808632475,349881.1478826653,180000.0,0.0,251435.183403411,986745.2883818138
