Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,380.7242591612728,46.991580990359864,427.7158401516327,1539777.0245458775,79169.69156529548,90000.0,0.0,251435.183403411,986745.2883818138
 01/01  02:00:00,379.8469329587739,17.978312408742696,397.8252453675166,1432170.8833230597,64721.924671473695,0.0,0.0,251435.183403411,983586.9140528179
 01/01  03:00:00,378.96960675627497,19.138343073725128,398.10794983000005,1433188.6193880006,68898.03506541045,0.0,0.0,251435.183403411,980428.5397238217
 01/01  04:00:00,378.09228055377605,18.76188556582501,396.8541661196011,1428674.9980305638,67542.78803697003,0.0,0.0,251435.183403411,977270.1653948259
 01/01  05:00:00,377.21495435127724,18.668254319549934,395.8832086708272,1425179.5512149779,67205.71555037977,0.0,0.0,251435.183403411,974111.7910658299
 01/01  06:00:00,857.1752766571863,161.58393486100914,1018.7592115181953,3667533.161465504,581702.165499633,0.0,0.0,337128.39897151233,2642185.339076354
 01/01  07:00:00,737.8928102345677,116.60877399403336,854.501584228601,3076205.703222964,419791.5863785201,0.0,0.0,1282832.56838475,1272821.9801588785
 01/01  08:00:00,1020.1019254502257,96.26521925790638,1116.367144708132,4018921.7209492754,346554.7893284629,0.0,0.0,1939642.8433977421,1634843.3647308499
 01/01  09:00:00,5697.2771018103995,88.92725914518567,5786.204360955584,20830335.699440103,320138.1329226684,0.0,0.0,2421987.889110408,17993207.798723403
 01/01  10:00:00,3310.7193278629497,78.55986514294906,3389.2791930058984,12201405.094821235,282815.5145146166,0.0,0.0,1744652.2930032602,10093329.632662706
 01/01  11:00:00,749.4425762531723,73.86180907340655,823.304385326579,2963895.787175684,265902.51266426354,0.0,0.0,1336711.5362569096,1297947.152465427
 01/01  12:00:00,609.2547000933723,72.99164385415828,682.2463439475306,2456086.8382111103,262769.91787496983,0.0,0.0,944164.770331176,1205969.4778760436
 01/01  13:00:00,697.0471236317205,74.07245885549825,771.1195824872187,2776030.4969539875,266660.8518797937,0.0,0.0,1086559.1854218834,1388264.321949174
 01/01  14:00:00,1424.3961201391012,58.129237636753274,1482.5253577758547,5337091.287993076,209265.2554923118,0.0,0.0,1906289.1966197384,3189869.542986485
 01/01  15:00:00,724.6897916321786,63.626514840057204,788.3163064722359,2837938.703300049,229055.45342420595,0.0,0.0,1252044.586743516,1325171.370237785
 01/01  16:00:00,615.8896936003098,67.51861244452857,683.4083060448384,2460269.901761418,243067.0048003029,0.0,0.0,949296.100604715,1233360.6586532637
 01/01  17:00:00,662.7110058586046,95.37308381950116,758.0840896781058,2729102.722841181,253343.1017502042,90000.0,0.0,1062185.366622573,1268876.2031051042
 01/01  18:00:00,1281.0959211121717,127.15877812749841,1408.2546992396701,5069716.917262812,277771.60125899425,180000.0,0.0,2667008.9096718957,1838419.148413918
 01/01  19:00:00,1370.0244691770408,121.98490214178088,1492.0093713188216,5371233.736747758,259145.64771041117,180000.0,0.0,3104454.8154910947,1686569.8779251105
 01/01  20:00:00,1500.010271403316,125.11836350161049,1625.1286349049267,5850463.085657735,270426.10860579775,180000.0,0.0,3098040.6526491717,2114871.411844109
 01/01  21:00:00,2140.1513176520393,50.0,2190.1513176520393,7884544.743547343,0.0,180000.0,0.0,4343671.076550763,3098898.7894144584
 01/01  22:00:00,8265.080872705927,53.70573436508587,8318.786607071012,29947631.785455644,13340.643714309104,180000.0,0.0,3679163.806127463,25772848.63071143
 01/01  23:00:00,1507.5966881283275,50.94920086308227,1558.5458889914098,5610765.200369075,3417.1231070961753,180000.0,0.0,2681120.067924128,2484253.131755733
 01/01  24:00:00,395.19613029324654,67.57915774493048,462.77528803817705,1665991.0369374375,63284.96788174976,180000.0,0.0,251435.183403411,989903.6627108096
 01/02  01:00:00,380.7242591612728,78.45002001818898,459.1742791794618,1653027.4050460623,102420.07206548032,180000.0,0.0,251435.183403411,986745.2883818138
 01/02  02:00:00,379.8469329587739,86.33998093200103,466.1869138907749,1678272.8900067895,130823.93135520368,180000.0,0.0,251435.183403411,983586.9140528179
 01/02  03:00:00,378.96960675627497,93.0229447788215,471.9925515350965,1699173.1855263473,154882.60120375743,180000.0,0.0,251435.183403411,980428.5397238217
 01/02  04:00:00,378.09228055377605,98.7801607521479,476.8724413059239,1716740.7887013261,175608.57870773243,180000.0,0.0,251435.183403411,977270.1653948259
 01/02  05:00:00,377.21495435127724,103.50320965758098,480.7181640088582,1730585.3904318896,192611.5547672915,180000.0,0.0,251435.183403411,974111.7910658299
 01/02  06:00:00,370.01784232979037,264.8586364675571,634.8764787973475,2285555.323670451,773491.0912832055,180000.0,0.0,251435.183403411,974111.7910658299
 01/02  07:00:00,737.8928102345677,218.36853881314966,956.2613490477174,3442540.8565717824,606126.7397273388,180000.0,0.0,1282832.56838475,1272821.9801588785
 01/02  08:00:00,1104.3657895593897,199.87263597034683,1304.2384255297366,4695258.331907052,539541.4894932486,180000.0,0.0,2278310.641451316,1599525.4774702669
 01/02  09:00:00,955.3018463227353,193.33872731607875,1148.6405736388142,4135106.065099731,516019.41833788354,180000.0,0.0,1879349.7126836586,1464735.0553945627
 01/02  10:00:00,830.5454901698636,188.0016958809801,1018.5471860508437,3666769.8697830373,496806.1051715284,180000.0,0.0,1557358.7380190867,1351997.37195177
 01/02  11:00:00,878.5787430976616,176.8465117596753,1055.425254857337,3799530.917486413,456647.44233483117,180000.0,0.0,1698470.320541409,1401078.5688210886
 01/02  12:00:00,862.5965860207674,174.97503918045896,1037.5716252012264,3735257.850724415,449910.14104965224,180000.0,0.0,1636894.357258941,1425270.6802869004
 01/02  13:00:00,634.410589342755,183.6449089631313,818.0554983058863,2944999.7939011906,481121.67226727266,180000.0,0.0,918508.118963481,1330823.8649673003
 01/02  14:00:00,602.5706052919625,173.85816625257274,776.4287715445353,2795143.5775603266,445889.39850926184,180000.0,0.0,913376.7886899419,1224210.0974665808
 01/02  15:00:00,601.2827777937795,175.42621148302754,776.708989276807,2796152.361396505,451534.3613388991,180000.0,0.0,918508.118963481,1214442.5881995829
 01/02  16:00:00,615.8896936003098,178.71009062150722,794.599784221817,2860559.223198541,463356.32623742596,180000.0,0.0,949296.100604715,1233360.6586532637
 01/02  17:00:00,1332.9270052499455,173.8937487854208,1506.8207540353662,5424554.714527318,446017.49562751484,180000.0,0.0,1266155.7449957482,3477683.422540756
 01/02  18:00:00,1063.0834939654733,189.95471132464922,1253.0382052901227,4510937.539044442,503836.96076873725,180000.0,0.0,1860107.2241578875,1860476.096199812
 01/02  19:00:00,880.9498176134787,184.5573249597695,1065.507142573248,3835825.7132636933,484406.36985517014,180000.0,0.0,1677944.999447253,1352410.9483401286
 01/02  20:00:00,1206.4619314340976,186.04905087237415,1392.5109823064715,5013039.536303298,489776.5831405469,180000.0,0.0,2691382.7284712056,1464755.3121328885
 01/02  21:00:00,1399.1336714100366,65.30439898596386,1464.4380703960005,5271977.053425603,55095.8363494699,180000.0,0.0,3227606.742056031,1547299.5974379815
