Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,223323,-,-,-,32.85,-117.14,-8,123,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,
2022,1,1,0,30,11.8,0.8300000000000001,0.10200000000000001,0.64,0,0,0,0,0,8.700000000000001,0,0,0,0,0.28400000000000003,81.36,167.07,0.96,0.16,995,1,290,3.1,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,1,30,11.5,0.96,0.10300000000000001,0.64,0,0,0,0,0,8.200000000000001,0,0,0,0,0.28400000000000003,79.95,156.3,0.96,0.16,996,0.9,309,2.6,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,2,30,11.200000000000001,1.06,0.092,0.64,0,0,0,0,3,7.7,0,0,0,0,0.28500000000000003,78.88,143.98,0.9500000000000001,0.16,997,0.9,337,2.2,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,3,30,10.8,1.12,0.074,0.64,0,0,0,0,0,7.1000000000000005,0,0,0,0,0.28500000000000003,77.72,131.4,0.9400000000000001,0.16,998,0.9,196,2,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,4,30,10.3,1.18,0.066,0.64,0,0,0,0,0,5.9,0,0,0,0,0.28600000000000003,74.2,118.89,0.93,0.16,998,0.8,49,1.9000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,5,30,9.700000000000001,1.22,0.057,0.64,0,0,0,0,0,5,0,0,0,0,0.28500000000000003,72.60000000000001,106.65,0.92,0.16,1000,0.8,65,2,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,6,30,9.9,1.23,0.048,0.64,0,0,0,0,0,4.3,0,0,0,0,0.28400000000000003,68.27,94.86,0.91,0.16,1001,0.7000000000000001,74,2.2,0.0000,0.0000,,,,,,,,,,,,,,,,
2022,1,1,7,30,11.200000000000001,1.24,0.041,0.64,34,489,88,1,0,4.4,36,444,11,85,0.28300000000000003,62.940000000000005,83.65,0.9,0.16,1002,0.7000000000000001,82,3,0.0000,0.0000,,,,,,,,,,,,,,,,
